Symbol,Filename,SHA256,Rows,FirstRaw,LastRaw
USDJPY,USDJPY_M1_201501020900_201612302359.csv,8f4fed06d70ccd507ad5f0e2cf7f45b68258da4e2543aa1c2c57a18887a3c2b5,744183,2015-01-02 09:00:00,2016-12-30 23:59:00
USDJPY,USDJPY_M1_201701020001_201812282357.csv,6dd1b5ad4704e90e9e021e95320f6bf0fb898218a0f65a55b199b78e97304501,741122,2017-01-02 00:01:00,2018-12-28 23:57:00
USDJPY,USDJPY_M1_201901020600_202012310000.csv,e71ae600031120dd7e5856d85f68c1fdaa9ceac892f5285571291af5c1c5620c,743150,2019-01-02 06:00:00,2020-12-31 00:00:00
USDJPY,USDJPY_M1_202101040002_202212302355.csv,67619cc7d74203e8bef46cb48832ee6657c7d1f14520d052cc4d900aa06d0949,745813,2021-01-04 00:02:00,2022-12-30 23:55:00
USDJPY,USDJPY_M1_202301020700_202412310000.csv,32aafd8b812e8325d8830519ed5c340dab8ec31c638922c50e19ec6d19aa024a,742835,2023-01-02 07:00:00,2024-12-31 00:00:00
USDJPY,USDJPY_M1_202501010000_202512302358.csv,e4f64af920744d39b37ff90df78d8d62ab8d088abdc855162f109217cf56db12,369423,2025-01-01 00:00:00,2025-12-30 23:58:00
USDJPY,USDJPY_M1_202601020001_202603310000.csv,f66871bba2c64a2058d9e1b0c7cc6061639f42d4ababf83aec11b3dafe5e222d,88678,2026-01-02 00:01:00,2026-03-31 00:00:00
USDJPY,USDJPY_M1_202604010000_202609090000_RECHECK.csv,4fb9aee7e8b4f1df9ebdb6a144201b12eff137e6a80c65c6c1c622de9e5b1a6c,165589,2026-04-01 00:00:00,2026-09-09 00:00:00
EURAUD,EURAUD_M1_201501020900_201612302359.csv,587d6d7c11bca10d0bb96e4bff05eac296afb91feed92d9b5e29825bae23b7cc,744141,2015-01-02 09:00:00,2016-12-30 23:59:00
EURAUD,EURAUD_M1_201701020002_201812282357.csv,36626a6760e81ab3d200b20d331b70176ad8974d5f79cf136e0ce40127789cad,741016,2017-01-02 00:02:00,2018-12-28 23:57:00
EURAUD,EURAUD_M1_201901020600_202012310000.csv,056f1b85b797862e81e27037fe8b0de192e631bf595b4d45a51104909817d092,743164,2019-01-02 06:00:00,2020-12-31 00:00:00
EURAUD,EURAUD_M1_202101040002_202212302354.csv,83a444c425953805d57b8b854966e136982159f2e5aa034b044d42a0c4abd726,745832,2021-01-04 00:02:00,2022-12-30 23:54:00
EURAUD,EURAUD_M1_202301020708_202412310000.csv,081a57b3e7e5d2e419d1f8f10bf27148cb7ec73b96f2339f423889757245c48c,743086,2023-01-02 07:08:00,2024-12-31 00:00:00
EURAUD,EURAUD_M1_202501010000_202512310000.csv,f76a558640c5950395b3a5cda30ed34cf21d148877e9485cbcc723e70ac0ea31,369429,2025-01-01 00:00:00,2025-12-31 00:00:00
EURAUD,EURAUD_M1_202601020000_202603310000.csv,ae3e85583bf6a8ded09c8861b689ae62cdec14be8bfe11630f4f584860784d8f,88724,2026-01-02 00:00:00,2026-03-31 00:00:00
EURAUD,EURAUD_M1_202604010000_202609090000_RECHECK.csv,10b10d038198b69cfdd50938e33fb438ea63b89b6c49f850e2044aa70452305a,165583,2026-04-01 00:00:00,2026-09-09 00:00:00
