Strategy,ExitReason,Count
10_AJ_SatA,SL,5
10_AJ_SatA,TP,57
10_AJ_SatA,TimeExit,291
11_AJ_SatB,SL,25
11_AJ_SatB,TP,13
11_AJ_SatB,TimeExit,314
12_UJ_Short_Core,SL,55
12_UJ_Short_Core,TP,23
12_UJ_Short_Core,TimeExit,450
13_UJ_Fix_MidWeek,TP,2
13_UJ_Fix_MidWeek,TimeExit,185
14_UJ_Sat_3rd,SL,7
14_UJ_Sat_3rd,TP,15
14_UJ_Sat_3rd,TimeExit,47
15_UJ_Sat_Aug,SL,25
15_UJ_Sat_Aug,TP,21
15_UJ_Sat_Aug,TimeExit,18
16_UJ_T10A,SL,5
16_UJ_T10A,TP,2
16_UJ_T10A,TimeExit,51
17_EA_1B_Wed_Short,SL,54
17_EA_1B_Wed_Short,TP,5
17_EA_1B_Wed_Short,TimeExit,231
18_EA_2_MonWed_Short,SL,177
18_EA_2_MonWed_Short,TP,25
18_EA_2_MonWed_Short,TimeExit,708
19_EA_3_WedThu_Long,SL,66
19_EA_3_WedThu_Long,TimeExit,600
1_EJ_Log1,SL,162
1_EJ_Log1,TP,5
1_EJ_Log1,TimeExit,722
20_EA_1A_MonTue_Short,SL,116
20_EA_1A_MonTue_Short,TP,11
20_EA_1A_MonTue_Short,TimeExit,611
21_GA_B_3,SL,5
21_GA_B_3,TP,61
21_GA_B_3,TimeExit,500
22_GA_C_2,SL,116
22_GA_C_2,TP,119
22_GA_C_2,TimeExit,207
23_GA_F_2,SL,15
23_GA_F_2,TP,3
23_GA_F_2,TimeExit,398
24_GA_D_1,SL,28
24_GA_D_1,TP,6
24_GA_D_1,TimeExit,382
25_AU_China_Demand,SL,45
25_AU_China_Demand,TP,70
25_AU_China_Demand,TimeExit,803
26_AJ_China_Demand,SL,40
26_AJ_China_Demand,TP,16
26_AJ_China_Demand,TimeExit,394
27_EA_China_Demand,SL,42
27_EA_China_Demand,TP,71
27_EA_China_Demand,TimeExit,388
28_GA_China_Demand,SL,41
28_GA_China_Demand,TP,66
28_GA_China_Demand,TimeExit,396
2_EJ_NightBlitz_20,SL,216
2_EJ_NightBlitz_20,TP,113
2_EJ_NightBlitz_20,TimeExit,662
3_EJ_NightBlitz_21,SL,55
3_EJ_NightBlitz_21,TP,98
3_EJ_NightBlitz_21,TimeExit,838
4_GJ_Port_Log1,SL,20
4_GJ_Port_Log1,TP,65
4_GJ_Port_Log1,TimeExit,833
5_GJ_Port_Log2,SL,250
5_GJ_Port_Log2,TimeExit,946
6_GJ_Old_Mon,SL,152
6_GJ_Old_Mon,TP,6
6_GJ_Old_Mon,TimeExit,310
7_GJ_Mon_Blitz,SL,11
7_GJ_Mon_Blitz,TP,2
7_GJ_Mon_Blitz,TimeExit,553
8_AJ_Core1,SL,55
8_AJ_Core1,TP,18
8_AJ_Core1,TimeExit,445
9_AJ_Core2,SL,97
9_AJ_Core2,TP,26
9_AJ_Core2,TimeExit,178
