Period,Segment,Start,EndExclusive,Trades,Weeks,AvgR,TotalR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE
Historical,EARLY_MONTH,2015-01-01,2022-01-01,350,110,0.07979285714285715,27.927500000000002,1.4910977271728136,0.5714285714285714,0.42397499999999994,-0.3895034246575343,False
Historical,LATE_MONTH,2015-01-01,2022-01-01,264,90,0.018996212121212115,5.014999999999999,1.1065264723063035,0.4962121212121212,0.3976526717557252,-0.35664772727272726,False
Recent A,EARLY_MONTH,2022-01-01,2024-01-01,100,31,0.06912499999999999,6.9125,1.4361198738170344,0.56,0.40647321428571426,-0.36860465116279073,False
Recent A,LATE_MONTH,2022-01-01,2024-01-01,74,26,0.04202702702702703,3.11,1.1610773015667488,0.5945945945945946,0.5094886363636364,-0.6435833333333333,False
Recent B,EARLY_MONTH,2024-01-01,2026-01-01,98,31,0.06711734693877551,6.577500000000001,1.6501111934766488,0.5408163265306123,0.31499999999999995,-0.22483333333333336,False
Recent B,LATE_MONTH,2024-01-01,2026-01-01,75,27,0.006966666666666664,0.5224999999999999,1.0435870698644423,0.49333333333333335,0.3381081081081081,-0.31546052631578947,False
2026 Monitor,EARLY_MONTH,2026-01-01,2026-09-10,35,11,-0.016714285714285716,-0.5850000000000001,0.9101037264694581,0.45714285714285713,0.37015624999999996,-0.3425,False
2026 Monitor,LATE_MONTH,2026-01-01,2026-09-10,26,9,0.00740384615384615,0.1924999999999999,1.0447154471544713,0.5,0.34596153846153843,-0.3311538461538462,True
Recent Combined,EARLY_MONTH,2022-01-01,2026-09-10,233,73,0.05538626609442061,12.905000000000001,1.3973826020015394,0.5364806866952789,0.36304,-0.3035046728971963,False
Recent Combined,LATE_MONTH,2022-01-01,2026-09-10,175,62,0.02185714285714286,3.825,1.1074438202247192,0.5371428571428571,0.41941489361702133,-0.4395061728395062,False
ALL,EARLY_MONTH,2015-01-01,2026-09-10,583,183,0.07003859348198971,40.832499999999996,1.4570333268041524,0.5574614065180102,0.40053846153846157,-0.35313241106719373,False
ALL,LATE_MONTH,2015-01-01,2026-09-10,439,152,0.02013667425968109,8.839999999999998,1.106921471984518,0.5125284738041003,0.40674444444444446,-0.3881572769953052,False
