Variant,Period,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R0,Historical,9482,358,729.11113054,0.0768942343956971,1.3689661569293838,0.5449272305420797,0.5235539562544997,-0.45987716114195953,0.0,0.11221261337270617,0.05104408352668213,0.8367433031006117,0.0,-12.116818182,-14.455835720000001,29.211511085999632
R0,Recent A,2688,102,327.28838053,0.1217590701376488,1.5234105752017004,0.5546875,0.6388919509040912,-0.5250205862871536,0.0,0.14211309523809523,0.06956845238095238,0.7883184523809523,0.0,-11.493424242000001,-13.125830227000002,21.641261526000108
R0,Recent B,2701,103,281.752204199,0.10431403339466865,1.5146345450063192,0.552388004442799,0.5557857683967828,-0.45396365028938646,0.0,0.11069974083672714,0.05738615327656423,0.8319141058867087,0.0,-5.102508492,-6.911786467999999,16.014834455999903
R0,2026 Monitor,966,36,22.101648493,0.02287955330538302,1.1117582184383612,0.5165631469979296,0.44061066039879765,-0.42529692698064514,0.0,0.10559006211180125,0.026915113871635612,0.8674948240165632,0.0,-5.912815073,-5.288937839,14.122777596000004
R0,Recent Combined,6355,241,631.142233222,0.09931427745428796,1.460505323531302,0.5479150275373722,0.5748664516901206,-0.478875874061146,0.0,0.12321007081038553,0.05790715971675846,0.818882769472856,0.0,-11.493424242000001,-13.125830227000002,21.641261526000108
R0,ALL,15837,599,1360.253363762,0.08589084825168908,1.406454064792715,0.5461261602576245,0.544211848393109,-0.4674724001941612,0.0,0.11662562353981183,0.05379806781587422,0.829576308644314,0.0,-12.116818182,-14.455835720000001,29.211511085999632
R1_BE50,Historical,9482,358,638.7362524089999,0.06736303020554735,1.3642383343069058,0.4850242564859734,0.5201909039410741,-0.4553678823204363,0.3678548829360894,0.09702594389369332,0.046825564226956336,0.7487871757013288,0.10736131617802151,-10.116818182,-11.709962705,28.308003152000026
R1_BE50,Recent A,2688,102,284.20333335099997,0.10573040675260416,1.53153399636537,0.47507440476190477,0.6412595779522319,-0.5309683691102285,0.4460565476190476,0.12053571428571429,0.06547619047619048,0.6655505952380952,0.1484375,-10.493424242000001,-9.742330227,17.81462038699982
R1_BE50,Recent B,2701,103,251.34837663899998,0.09305752559755645,1.5343485120352987,0.48722695298037766,0.5484279846990882,-0.4467073610873694,0.38022954461310626,0.09403924472417623,0.04961125509070714,0.7345427619400222,0.12180673824509441,-4.393937063,-8.421453135,15.463643977999936
R1_BE50,2026 Monitor,966,36,14.31855503,0.01482252073498965,1.0778648652835712,0.474120082815735,0.4327693488755459,-0.4188833866856492,0.28778467908902694,0.09730848861283643,0.024844720496894408,0.8084886128364389,0.06935817805383022,-5.912815073,-6.486642341999999,15.66527131700002
