Artifact,Location,Bytes,SHA256,PublishedInGit
89_c1_path_management_phase1_plan.md,docs/89_c1_path_management_phase1_plan.md,9277,1247583679e7b628b1bebac956c7c7cb10137d5646c204fbff88846471e0e3d2,True
90_c1_path_management_phase1_result.md,docs/90_c1_path_management_phase1_result.md,6617,a4924da1920d42f45631fabbb7d8628e2ea40de2ad42a0a8fc6d32a0edea4901,True
c1_path_management_phase1.ipynb,notebooks/c1_path_management_phase1.ipynb,3881,1ab1489b930e8063d6230aa356a19bcacc59f7de7c53c7d1b21fb704dce2e862,True
c1_path_management_phase1_coverage.csv,results/c1_path_management_phase1/c1_path_management_phase1_coverage.csv,89,5a82b94dcbd92e67d0889be0556fea7102f74a5b4fb8d763d679c1e73c994ac4,True
c1_path_management_phase1_independent_validation.csv,results/c1_path_management_phase1/c1_path_management_phase1_independent_validation.csv,2402,80457b5489d0d418ea0b18082eb64cd2fdb57887f8c7811f5eabae237d2fdc25,True
c1_path_management_phase1_m1_audit.csv,results/c1_path_management_phase1/c1_path_management_phase1_m1_audit.csv,9786,fef71fbba7622858c5393a9118f3abadf2364443e29e936d66026c701685e734,True
c1_path_management_phase1_multiple_comparison.csv,results/c1_path_management_phase1/c1_path_management_phase1_multiple_comparison.csv,578,845ca392f9bb575e09e68b4e3c4a1271241dcbf11f29a88e0fb9a0df44e14118,True
c1_path_management_phase1_period_summary.csv,results/c1_path_management_phase1/c1_path_management_phase1_period_summary.csv,6891,45f6e34c888417a3febb457a5541946b032aaf778fb51caa55f4367fdabff1ef,True
c1_path_management_phase1_portfolio_summary.csv,results/c1_path_management_phase1/c1_path_management_phase1_portfolio_summary.csv,1399,272ccc659631dd7323fdf92c290c2e7e9a46992a21e8eaa058602f9f547c1a75,True
c1_path_management_phase1_r0_reconciliation.csv,results/c1_path_management_phase1/c1_path_management_phase1_r0_reconciliation.csv,108,2f0a93484cef11613f43d2ffd501bf993642c541388c407d2a2027db2c258ade,True
c1_path_management_phase1_run_record.csv,results/c1_path_management_phase1/c1_path_management_phase1_run_record.csv,336,68a9ce5c732d27333b49e664e88ebdc10f6391ed1672867b2e7be8cf2a185884,True
c1_path_management_phase1_strategy_summary.csv,results/c1_path_management_phase1/c1_path_management_phase1_strategy_summary.csv,32465,6e4c7950b7866de896ac1b5ca1829a33c87bc21ff99413df5243e2491ec2be73,True
c1_path_management_phase1_trade_delta_summary.csv,results/c1_path_management_phase1/c1_path_management_phase1_trade_delta_summary.csv,2437,d572d9ada86cad4f2c5985feb16244e093d0975e080d97f8a2fabf1bdcdcaa1e,True
c1_path_management_phase1_validation.csv,results/c1_path_management_phase1/c1_path_management_phase1_validation.csv,192,01cd43f5f5c8e2d5f429c523b589a321be504b5b69b7dc7bb27c5df56b8ec0f6,True
c1_path_management_phase1_path_anatomy_summary.csv,local_output,2642116,a51e88e6301c4c018eba28e53b95ab966c9904f5389e916fca2eb2324a4d6822,False
