Variant,StrategyNo,Strategy,BaselineTotalR,DeltaTotalR,Improved,Harmed,Unchanged,SampleStatus,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R0,1,1_EJ_Log1,129.86285713499998,0.0,0,0,852,OK,852,544,129.86285713499998,0.15242119382042252,1.600577427416156,0.5774647887323944,0.703440766550813,-0.6006388889111111,0.0,0.17488262910798122,0.004694835680751174,0.8204225352112676,0.0,-1.0,-2.0,9.908571428999998
R0,2,2_EJ_NightBlitz_20,112.95111115899999,0.0,0,0,1029,OK,1029,594,112.95111115899999,0.1097678436919339,1.3807283787613496,0.5607385811467445,0.7099171963102253,-0.6592691358044445,0.0,0.21671525753158405,0.11078717201166181,0.6724975704567542,0.0,-1.0,-2.0,7.624444446
R0,3,3_EJ_NightBlitz_21,69.061333309,0.0,0,0,1029,OK,1029,595,69.061333309,0.06711499835665695,1.421095420291097,0.5675413022351797,0.39908447484246573,-0.3727363636340909,0.0,0.056365403304178816,0.09523809523809523,0.8483965014577259,0.0,-1.0,-2.0,5.096
R0,4,4_GJ_Port_Log1,39.222307666999995,0.0,0,0,956,OK,956,498,39.222307666999995,0.04102751848012552,1.415094800132389,0.5648535564853556,0.24761538457962962,-0.22823671499033812,0.0,0.02092050209205021,0.06903765690376569,0.9100418410041841,0.0,-1.0,-2.0,2.57846154
R0,5,5_GJ_Port_Log2,104.85444444800001,0.0,0,0,1252,OK,1252,586,104.85444444800001,0.08374955626837062,1.2743595931026266,0.5007987220447284,0.7767676767735247,-0.6124661680913461,0.0,0.20447284345047922,0.0,0.7955271565495208,0.0,-1.0,-3.0,9.45
R0,6,6_GJ_Old_Mon,82.97999999999999,0.0,0,0,491,OK,491,491,82.97999999999999,0.16900203665987779,1.4538394224458542,0.5234215885947047,1.0343190661478598,-0.7813675213675214,0.0,0.32179226069246436,0.012219959266802444,0.6659877800407332,0.0,-1.0,-1.0,13.148000000000001
R0,7,7_GJ_Mon_Blitz,24.834615375000002,0.0,0,0,589,OK,589,589,24.834615375000002,0.042164032894736844,1.3557614958155406,0.5551782682512734,0.2894236650152905,-0.2664386377290076,0.0,0.01867572156196944,0.003395585738539898,0.9779286926994907,0.0,-1.0,-1.0,5.838461538000002
R0,8,8_AJ_Core1,54.74999999400001,0.0,0,0,590,OK,590,590,54.74999999400001,0.09279661015932204,1.456423875724678,0.5661016949152542,0.5230667236676646,-0.4685714285585938,0.0,0.1016949152542373,0.03559322033898305,0.8627118644067797,0.0,-1.0,-1.0,4.820000000000002
R0,9,9_AJ_Core2,62.970000006999996,0.0,0,0,340,OK,340,340,62.970000006999996,0.1852058823735294,1.4906116089403243,0.5235294117647059,1.074831460707865,-0.792283950611111,0.0,0.3235294117647059,0.08235294117647059,0.5941176470588235,0.0,-1.0,-1.0,7.919999997999998
R0,10,10_AJ_SatA,2.8739999999999983,0.0,0,0,403,OK,403,403,2.8739999999999983,0.0071315136476426755,1.0611541407779386,0.46898263027295284,0.2638624338624339,-0.22167924528301888,0.0,0.01240694789081886,0.15384615384615385,0.8337468982630273,0.0,-1.0,-1.0,7.084
