Variant,Period,Trades,Weeks,DeltaTotalR,AvgDeltaR,Improved,Harmed,Unchanged,AvgBenefit,AvgDamage,CI_L,CI_U,RawP
R1_BE50,Historical,9482,358,-90.37487813099999,-0.009531204190149757,446,568,8468,0.4988126605627803,-0.5507840224330985,,,
R1_BE50,Recent A,2688,102,-43.085047179,-0.016028663385044644,184,214,2290,0.4924694052934782,-0.624763634359813,,,
R1_BE50,Recent B,2701,103,-30.403827560000003,-0.011256507797112182,153,176,2372,0.5039039936209151,-0.6108019237727272,,,
R1_BE50,2026 Monitor,966,36,-7.783093463,-0.008057032570393375,26,41,899,0.5335870881153846,-0.5282038476585367,,,
R1_BE50,Recent Combined,6355,241,-81.27196820200001,-0.01278866533469709,363,431,5561,0.5002340107134987,-0.609876830837587,,,
R1_BE50,ALL,15837,599,-171.64684633299998,-0.010838343520426848,809,999,14029,0.4994504233621755,-0.5762785173503504,-0.015668897669942113,-0.0061687837805170466,1.0
R2_LOCK100,Historical,9482,358,-52.114520919,-0.005496152807319131,147,227,9108,0.558739376292517,-0.5914062080792952,,,
R2_LOCK100,Recent A,2688,102,-42.868762349,-0.015948200278645835,78,108,2502,0.5042661597435899,-0.7611252111944444,,,
R2_LOCK100,Recent B,2701,103,-18.867352098999998,-0.0069853210288781924,58,82,2561,0.5776378812413794,-0.6386627952560975,,,
R2_LOCK100,2026 Monitor,966,36,-7.964105339,-0.008244415464803312,11,15,940,0.38651515145454546,-0.8143848003333333,,,
R2_LOCK100,Recent Combined,6355,241,-69.70021978700001,-0.010967776520377656,147,205,6003,0.5244042465170069,-0.7160372879268292,,,
R2_LOCK100,ALL,15837,599,-121.81474070599998,-0.007691781316284649,294,432,15111,0.5415718114047618,-0.6505482714328704,-0.0105902075440813,-0.005056935737224894,1.0
R3_STAGED,Historical,9482,358,-111.86620136200001,-0.01179774323581523,526,686,8270,0.5041362936863117,-0.5496237490393586,,,
R3_STAGED,Recent A,2688,102,-76.028138529,-0.0282842777265625,226,280,2182,0.49014142569026553,-0.6671432169107143,,,
R3_STAGED,Recent B,2701,103,-43.394312411,-0.016066017182895225,187,225,2289,0.48852321950802147,-0.5988806864844444,,,
R3_STAGED,2026 Monitor,966,36,-12.440865468,-0.012878742720496895,32,50,884,0.5103624257499999,-0.57544926184,,,
R3_STAGED,Recent Combined,6355,241,-131.863316408,-0.020749538380487806,445,555,5355,0.49091550983820226,-0.6312085014162162,,,
R3_STAGED,ALL,15837,599,-243.72951776999997,-0.01538987925554082,971,1241,13625,0.49807733507415036,-0.586110080682514,-0.020408227555221016,-0.010491948507132776,1.0
