StrategyNo,Variant,Status,Reason
1,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
2,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
3,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
4,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
5,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
6,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
7,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
8,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
9,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
10,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
11,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
12,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
13,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
14,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
15,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
16,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
17,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
18,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
19,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
20,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
21,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
23,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
24,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
25,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
26,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
27,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
28,NP50,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
1,NP75,NOT_EVALUATED,NP50 has 2 open no-progress trades without checkpoint M1 Open through +4min; frozen coverage stop.
