Check,Status,Detail
baseline_hash,PASS,
reference_and_formal_counts,PASS,
universe,PASS,
pair_uniqueness,PASS,
r0_matches_anchor,PASS,
every_paired_delta,PASS,
untriggered_unchanged,PASS,
trigger_classification,PASS,
all_recovery_flags,PASS,
known_missing_identity,PASS,
missing_full_baseline_and_zero_delta,PASS,
primary_totals_NP50_Historical,PASS,
primary_bootstrap_NP50_Historical,PASS,
primary_safety_metrics_R0_NP50_Historical,PASS,
primary_safety_metrics_NP_NP50_Historical,PASS,
primary_totals_NP50_Recent A,PASS,
primary_bootstrap_NP50_Recent A,PASS,
primary_safety_metrics_R0_NP50_Recent A,PASS,
primary_safety_metrics_NP_NP50_Recent A,PASS,
primary_totals_NP50_Recent B,PASS,
primary_bootstrap_NP50_Recent B,PASS,
primary_safety_metrics_R0_NP50_Recent B,PASS,
primary_safety_metrics_NP_NP50_Recent B,PASS,
primary_totals_NP50_2026 Monitor,PASS,
primary_bootstrap_NP50_2026 Monitor,PASS,
primary_safety_metrics_R0_NP50_2026 Monitor,PASS,
primary_safety_metrics_NP_NP50_2026 Monitor,PASS,
primary_totals_NP50_Recent Combined,PASS,
primary_bootstrap_NP50_Recent Combined,PASS,
primary_safety_metrics_R0_NP50_Recent Combined,PASS,
primary_safety_metrics_NP_NP50_Recent Combined,PASS,
primary_totals_NP50_ALL,PASS,
primary_bootstrap_NP50_ALL,PASS,
primary_safety_metrics_R0_NP50_ALL,PASS,
primary_safety_metrics_NP_NP50_ALL,PASS,
primary_totals_NP75_Historical,PASS,
primary_bootstrap_NP75_Historical,PASS,
primary_safety_metrics_R0_NP75_Historical,PASS,
primary_safety_metrics_NP_NP75_Historical,PASS,
primary_totals_NP75_Recent A,PASS,
primary_bootstrap_NP75_Recent A,PASS,
primary_safety_metrics_R0_NP75_Recent A,PASS,
primary_safety_metrics_NP_NP75_Recent A,PASS,
primary_totals_NP75_Recent B,PASS,
primary_bootstrap_NP75_Recent B,PASS,
primary_safety_metrics_R0_NP75_Recent B,PASS,
primary_safety_metrics_NP_NP75_Recent B,PASS,
primary_totals_NP75_2026 Monitor,PASS,
primary_bootstrap_NP75_2026 Monitor,PASS,
primary_safety_metrics_R0_NP75_2026 Monitor,PASS,
primary_safety_metrics_NP_NP75_2026 Monitor,PASS,
primary_totals_NP75_Recent Combined,PASS,
primary_bootstrap_NP75_Recent Combined,PASS,
primary_safety_metrics_R0_NP75_Recent Combined,PASS,
primary_safety_metrics_NP_NP75_Recent Combined,PASS,
primary_totals_NP75_ALL,PASS,
primary_bootstrap_NP75_ALL,PASS,
primary_safety_metrics_R0_NP75_ALL,PASS,
primary_safety_metrics_NP_NP75_ALL,PASS,
sensitivity_totals_NP50_Historical,PASS,
sensitivity_bootstrap_NP50_Historical,PASS,
sensitivity_safety_metrics_R0_NP50_Historical,PASS,
sensitivity_safety_metrics_NP_NP50_Historical,PASS,
sensitivity_totals_NP50_Recent A,PASS,
sensitivity_bootstrap_NP50_Recent A,PASS,
sensitivity_safety_metrics_R0_NP50_Recent A,PASS,
sensitivity_safety_metrics_NP_NP50_Recent A,PASS,
sensitivity_totals_NP50_Recent B,PASS,
sensitivity_bootstrap_NP50_Recent B,PASS,
sensitivity_safety_metrics_R0_NP50_Recent B,PASS,
sensitivity_safety_metrics_NP_NP50_Recent B,PASS,
sensitivity_totals_NP50_2026 Monitor,PASS,
sensitivity_bootstrap_NP50_2026 Monitor,PASS,
sensitivity_safety_metrics_R0_NP50_2026 Monitor,PASS,
sensitivity_safety_metrics_NP_NP50_2026 Monitor,PASS,
