StrategyNo,EntryTime,Variant,Direction,Checkpoint,IndependentMFE,IndependentR,Status
1,2015-01-05 13:55:00,NP50,Long,2015-01-05 21:25:00,,-1.0,PASS
1,2026-09-07 13:55:00,NP50,Long,2026-09-07 21:25:00,,-1.0,PASS
1,2015-01-05 13:55:00,NP75,Long,2015-01-06 01:10:00,,-1.0,PASS
1,2026-09-07 13:55:00,NP75,Long,2026-09-08 01:10:00,,-1.0,PASS
2,2015-01-05 20:56:00,NP50,Long,2015-01-06 00:50:00,,-1.0,PASS
2,2026-09-07 20:56:00,NP50,Long,2026-09-08 00:50:00,,-1.0,PASS
2,2015-01-05 20:56:00,NP75,Long,2015-01-06 02:47:00,,-1.0,PASS
2,2026-09-07 20:56:00,NP75,Long,2026-09-08 02:47:00,,-1.0,PASS
3,2015-01-05 21:56:00,NP50,Long,2015-01-06 01:41:00,0.009333333333340002,-0.550666667,PASS
3,2026-08-26 21:56:00,NP50,Long,2026-08-27 01:41:00,0.12133333333334424,0.005333333,PASS
3,2015-01-05 21:56:00,NP75,Long,2015-01-06 03:34:00,0.009333333333340002,-0.305333333,PASS
3,2026-08-26 21:56:00,NP75,Long,2026-08-27 03:34:00,0.12133333333334424,0.102666667,PASS
1,2015-01-07 13:55:00,NP50,Long,2015-01-07 21:25:00,0.4299999999999824,-0.547142857,PASS
1,2026-08-26 13:55:00,NP50,Long,2026-08-26 21:25:00,0.3100000000000185,0.311428571,PASS
1,2015-01-07 13:55:00,NP75,Long,2015-01-08 01:10:00,0.4299999999999824,-0.547142857,PASS
1,2026-08-31 13:55:00,NP75,Long,2026-09-01 01:10:00,0.574285714285736,0.555714286,PASS
2,2015-01-07 20:56:00,NP50,Long,2015-01-08 00:50:00,1.3600000000000516,0.615555556,PASS
2,2026-08-31 20:56:00,NP50,Long,2026-09-01 00:50:00,0.9000000000000656,0.844444444,PASS
2,2015-01-07 20:56:00,NP75,Long,2015-01-08 02:47:00,1.3600000000000516,0.615555556,PASS
2,2026-08-31 20:56:00,NP75,Long,2026-09-01 02:47:00,0.9000000000000656,0.844444444,PASS
3,2015-01-07 21:56:00,NP50,Long,2015-01-08 01:41:00,0.5600000000000213,0.012,PASS
3,2026-09-07 21:56:00,NP50,Long,2026-09-08 01:41:00,0.36533333333333456,-0.194666667,PASS
3,2015-01-07 21:56:00,NP75,Long,2015-01-08 03:34:00,0.5600000000000213,0.012,PASS
3,2026-09-07 21:56:00,NP75,Long,2026-09-08 03:34:00,0.36533333333333456,-0.194666667,PASS
3,2015-01-12 21:56:00,NP75,Long,2015-01-13 03:34:00,,-1.0,PASS
