Variant,Period,Trades,TriggerCount,TriggerRate,TriggerWeeks,R0TotalR,NPTotalR,DeltaTotalR,R0AvgR,NPAvgR,AvgDeltaR,Improved,Harmed,Unchanged,AvgGainWhenImproved,AvgDamageWhenHarmed,BaselineTriggerAvgR,NPTriggerAvgR,RecoveryRate,LaterTPRate,R0PF,NPPF,R0WinRate,NPWinRate,R0AvgWinR,NPAvgWinR,R0AvgLossR,NPAvgLossR,R0SLRate,NPSLRate,R0TPRate,NPTPRate,R0TimeExitRate,NPTimeExitRate,R0WorstDayR,NPWorstDayR,R0WorstWeekR,NPWorstWeekR,R0MaxDDR,NPMaxDDR,NPExitRate,PeriodEligible,SampleStatus,CILower,CIUpper,BootstrapNonpositiveFractionPlusOne,SafetyPass
NP50,Historical,9482,4294,0.45285804682556424,358,729.11113054,551.682218346,-177.42891219400002,0.0768942343956971,0.05818205213520355,-0.01871218226049357,1964,2324,5194,0.22261416536812625,-0.26447639112607574,-0.13498460605985094,-0.17630479986376338,0.3728458313926409,0.00535631113181183,1.3689661569293838,1.2998351591495856,0.5449272305420797,0.4893482387681924,0.5235539562544997,0.5154383498971983,-0.45987716114195953,-0.38125812788582675,0.11221261337270617,0.07899177388736553,0.05104408352668213,0.0486184349293398,0.8367433031006117,0.41953174435773044,-12.116818182,-11.529565433999998,-14.455835720000001,-14.322279775,29.211511085999632,26.700795370999963,0.45285804682556424,True,ELIGIBLE,-0.024227832968779787,-0.013339873945935658,1.0,True
NP50,Recent A,2688,969,0.36049107142857145,102,327.28838053,286.970491665,-40.317888865,0.1217590701376488,0.10675985553013392,-0.01499921460751488,458,509,1721,0.223347262279476,-0.28017865420235755,-0.15473775795665634,-0.1963454864035088,0.3673890608875129,0.0041279669762641896,1.5234105752017004,1.4847511454009392,0.5546875,0.5115327380952381,0.6388919509040912,0.6392479863883637,-0.5250205862871536,-0.4519049539076336,0.14211309523809523,0.11049107142857142,0.06956845238095238,0.06808035714285714,0.7883184523809523,0.4609375,-11.493424242000001,-10.792104895000001,-13.125830227000002,-11.669801477,21.641261526000108,20.287214638999814,0.36049107142857145,True,ELIGIBLE,-0.023589484541825117,-0.0071314842181234295,1.0,True
NP50,Recent B,2701,1153,0.4268789337282488,103,281.752204199,232.66695692899995,-49.085247269999996,0.10431403339466865,0.08614104292077007,-0.018172990473898556,504,645,1552,0.21070088232738093,-0.24074184800465115,-0.1279167688976583,-0.17048853582740678,0.38248048568950566,0.006938421509106678,1.5146345450063192,1.4484418067696958,0.552388004442799,0.5005553498704184,0.5557857683967828,0.5558440689068047,-0.45396365028938646,-0.38603736922098214,0.11069974083672714,0.08108108108108109,0.05738615327656423,0.05442428730099963,0.8319141058867087,0.4376156978896705,-5.102508492,-4.794816183999999,-6.911786467999999,-6.437088355000001,16.014834455999903,13.231050230999955,0.4268789337282488,True,ELIGIBLE,-0.027392736555575663,-0.008815463886819922,0.9998000399920016,True
NP50,2026 Monitor,966,511,0.5289855072463768,36,22.101648493,20.490495171,-1.6111533220000003,0.02287955330538302,0.021211692723602484,-0.0016678605817805386,261,247,458,0.20859163435249042,-0.22693752991093116,-0.14316721151272016,-0.1463201534344423,0.350293542074364,0.0,1.1117582184383612,1.1192045726524622,0.5165631469979296,0.4824016563146998,0.44061066039879765,0.41284126267381976,-0.42529692698064514,-0.34447601850701404,0.10559006211180125,0.07039337474120083,0.026915113871635612,0.026915113871635612,0.8674948240165632,0.37370600414078675,-5.912815073,-4.7011717179999994,-5.288937839,-4.949964079999999,14.122777596000004,11.76356095300001,0.5289855072463768,True,ELIGIBLE,-0.020326319710125683,0.01489900867073177,0.563887222555489,True
NP50,Recent Combined,6355,2633,0.4143194335169158,241,631.142233222,540.127943765,-91.01428945699999,0.09931427745428796,0.08499259539968529,-0.014321682054602674,1223,1401,3731,0.21498667815453798,-0.2526359720485367,-0.14074719600531713,-0.17531395994644894,0.37067983289023926,0.004557538928978352,1.460505323531302,1.4210790948020966,0.5479150275373722,0.5024390243902439,0.5748664516901206,0.5708898186194801,-0.478875874061146,-0.4068262756381224,0.12321007081038553,0.0918961447678993,0.05790715971675846,0.05601888276947286,0.818882769472856,0.437765538945712,-11.493424242000001,-10.792104895000001,-13.125830227000002,-11.669801477,21.641261526000108,20.287214638999814,0.4143194335169158,True,ELIGIBLE,-0.02039748858359243,-0.008412652110463381,1.0,True
NP50,ALL,15837,6927,0.43739344572835764,599,1360.253363762,1091.810162111,-268.44320165100004,0.08589084825168908,0.06894046613064343,-0.016950382121045656,3187,3725,8925,0.2196871440746784,-0.2600231220985235,-0.13717500584711995,-0.1759281748453876,0.37202252057167606,0.0050526923632164,1.406454064792715,1.3496393866824432,0.5461261602576245,0.49460125023678725,0.544211848393109,0.5380422742723094,-0.4674724001941612,-0.3913616959849605,0.11662562353981183,0.08416998168845109,0.05379806781587422,0.05158805329292164,0.829576308644314,0.4268485192902696,-12.116818182,-11.529565433999998,-14.455835720000001,-14.322279775,29.211511085999632,26.700795370999963,0.43739344572835764,True,ELIGIBLE,-0.020945741858645592,-0.012940414053413384,1.0,True
NP75,Historical,9482,3499,0.36901497574351405,356,729.11113054,644.020244857,-85.09088568300001,0.0768942343956971,0.06792029580858468,-0.008973938587112425,1575,1916,5991,0.1422077884577778,-0.16130905663048017,-0.17165820084767078,-0.19597683065132895,0.30865961703343814,0.0014289797084881394,1.3689661569293838,1.3306410026237532,0.5449272305420797,0.5159249103564649,0.5235539562544997,0.5298064776185609,-0.45987716114195953,-0.42602647498972,0.11221261337270617,0.09860788863109049,0.05104408352668213,0.05051676861421641,0.8367433031006117,0.48186036701117907,-12.116818182,-11.569125874,-14.455835720000001,-14.466709844999999,29.211511085999632,26.548583810000082,0.36901497574351405,True,ELIGIBLE,-0.011984600555456056,-0.005976664573740721,1.0,True
NP75,Recent A,2688,766,0.2849702380952381,100,327.28838053,308.614461234,-18.673919296,0.1217590701376488,0.11481192754241071,-0.006947142595238096,340,422,1926,0.1596491989411765,-0.17287831027488149,-0.19180400900652742,-0.21618249372715406,0.30809399477806787,0.0039164490861618795,1.5234105752017004,1.4986973982360052,0.5546875,0.5286458333333334,0.6388919509040912,0.6526781075270937,-0.5250205862871536,-0.49036539584944533,0.14211309523809523,0.13020833333333334,0.06956845238095238,0.06845238095238096,0.7883184523809523,0.5163690476190477,-11.493424242000001,-11.042006993000003,-13.125830227000002,-12.533199302000005,21.641261526000108,24.96882974599987,0.2849702380952381,True,ELIGIBLE,-0.01199693237162051,-0.001816029668262116,0.9966006798640272,False
NP75,Recent B,2701,926,0.3428359866716031,102,281.752204199,243.56610285199997,-38.186101347000005,0.10431403339466865,0.090176269104776,-0.014137764289892635,364,559,1778,0.14341634931043956,-0.1616988416744186,-0.1557872539676026,-0.1970249444071274,0.3304535637149028,0.0032397408207343412,1.5146345450063192,1.4417502363342212,0.552388004442799,0.5164753794890781,0.5557857683967828,0.5698438695562724,-0.45396365028938646,-0.4244542688060046,0.11069974083672714,0.09959274342835987,0.05738615327656423,0.05627545353572751,0.8319141058867087,0.5012958163643095,-5.102508492,-5.386354646,-6.911786467999999,-6.677763015000001,16.014834455999903,15.359236806999945,0.3428359866716031,True,ELIGIBLE,-0.01982564723950719,-0.008714411052625621,1.0,True
NP75,2026 Monitor,966,435,0.4503105590062112,36,22.101648493,22.667077923,0.5654294300000002,0.02287955330538302,0.02346488397826087,0.000585330672877847,202,231,533,0.15248442846039606,-0.13089361523376622,-0.1640141751149425,-0.16271433734482763,0.2988505747126437,0.0,1.1117582184383612,1.12079647610712,0.5165631469979296,0.4886128364389234,0.44061066039879765,0.445580350338983,-0.42529692698064514,-0.38062240859432045,0.10559006211180125,0.09109730848861283,0.026915113871635612,0.026915113871635612,0.8674948240165632,0.43167701863354035,-5.912815073,-4.880446775,-5.288937839,-5.22884077,14.122777596000004,14.17254325699998,0.4503105590062112,True,ELIGIBLE,-0.008839494530010558,0.009992191973199218,0.4543091381723655,True
