Variant,Period,Category,TriggerCount,Count,Rate
NP50,Historical,RECOVERED_POSITIVE,4294,1601,0.3728458313926409
NP50,Historical,RECOVERED_HALF_R,4294,209,0.048672566371681415
NP50,Historical,NEVER_RECOVERED,4294,2693,0.6271541686073591
NP50,Historical,LATER_HIT_TP,4294,23,0.00535631113181183
NP50,Historical,LATER_HIT_SL,4294,315,0.07335817419655333
NP50,Historical,TIME_EXIT_POSITIVE,4294,1578,0.36748952026082904
NP50,Historical,TIME_EXIT_NEGATIVE,4294,2368,0.5514671634839311
NP50,Historical,TIME_EXIT_ZERO,4294,10,0.002328830926874709
NP50,Recent A,RECOVERED_POSITIVE,969,356,0.3673890608875129
NP50,Recent A,RECOVERED_HALF_R,969,50,0.05159958720330237
NP50,Recent A,NEVER_RECOVERED,969,613,0.6326109391124871
NP50,Recent A,LATER_HIT_TP,969,4,0.0041279669762641896
NP50,Recent A,LATER_HIT_SL,969,85,0.08771929824561403
NP50,Recent A,TIME_EXIT_POSITIVE,969,352,0.3632610939112487
NP50,Recent A,TIME_EXIT_NEGATIVE,969,523,0.5397316821465429
NP50,Recent A,TIME_EXIT_ZERO,969,5,0.005159958720330237
NP50,Recent B,RECOVERED_POSITIVE,1153,441,0.38248048568950566
NP50,Recent B,RECOVERED_HALF_R,1153,51,0.04423243712055507
NP50,Recent B,NEVER_RECOVERED,1153,712,0.6175195143104943
NP50,Recent B,LATER_HIT_TP,1153,8,0.006938421509106678
NP50,Recent B,LATER_HIT_SL,1153,80,0.06938421509106678
NP50,Recent B,TIME_EXIT_POSITIVE,1153,433,0.375542064180399
NP50,Recent B,TIME_EXIT_NEGATIVE,1153,630,0.546400693842151
NP50,Recent B,TIME_EXIT_ZERO,1153,2,0.0017346053772766695
NP50,2026 Monitor,RECOVERED_POSITIVE,511,179,0.350293542074364
NP50,2026 Monitor,RECOVERED_HALF_R,511,18,0.03522504892367906
NP50,2026 Monitor,NEVER_RECOVERED,511,332,0.649706457925636
NP50,2026 Monitor,LATER_HIT_TP,511,0,0.0
NP50,2026 Monitor,LATER_HIT_SL,511,34,0.06653620352250489
NP50,2026 Monitor,TIME_EXIT_POSITIVE,511,179,0.350293542074364
NP50,2026 Monitor,TIME_EXIT_NEGATIVE,511,296,0.5792563600782779
NP50,2026 Monitor,TIME_EXIT_ZERO,511,2,0.003913894324853229
NP50,Recent Combined,RECOVERED_POSITIVE,2633,976,0.37067983289023926
NP50,Recent Combined,RECOVERED_HALF_R,2633,119,0.04519559437903532
NP50,Recent Combined,NEVER_RECOVERED,2633,1657,0.6293201671097607
NP50,Recent Combined,LATER_HIT_TP,2633,12,0.004557538928978352
NP50,Recent Combined,LATER_HIT_SL,2633,199,0.075579187238891
NP50,Recent Combined,TIME_EXIT_POSITIVE,2633,964,0.3661222939612609
NP50,Recent Combined,TIME_EXIT_NEGATIVE,2633,1449,0.5503228256741359
NP50,Recent Combined,TIME_EXIT_ZERO,2633,9,0.003418154196733764
NP50,ALL,RECOVERED_POSITIVE,6927,2577,0.37202252057167606
NP50,ALL,RECOVERED_HALF_R,6927,328,0.04735094557528512
NP50,ALL,NEVER_RECOVERED,6927,4350,0.6279774794283239
NP50,ALL,LATER_HIT_TP,6927,35,0.0050526923632164
NP50,ALL,LATER_HIT_SL,6927,514,0.07420239641980655
NP50,ALL,TIME_EXIT_POSITIVE,6927,2542,0.36696982820845964
NP50,ALL,TIME_EXIT_NEGATIVE,6927,3817,0.5510321928684856
NP50,ALL,TIME_EXIT_ZERO,6927,19,0.0027428901400317596
NP75,Historical,RECOVERED_POSITIVE,3499,1080,0.30865961703343814
NP75,Historical,RECOVERED_HALF_R,3499,53,0.015147184909974278
NP75,Historical,NEVER_RECOVERED,3499,2419,0.6913403829665619
NP75,Historical,LATER_HIT_TP,3499,5,0.0014289797084881394
NP75,Historical,LATER_HIT_SL,3499,129,0.036867676478994
