Variant,Period,Trades,TriggerCount,TriggerRate,TriggerWeeks,R0TotalR,NPTotalR,DeltaTotalR,R0AvgR,NPAvgR,AvgDeltaR,Improved,Harmed,Unchanged,AvgGainWhenImproved,AvgDamageWhenHarmed,BaselineTriggerAvgR,NPTriggerAvgR,RecoveryRate,LaterTPRate,R0PF,NPPF,R0WinRate,NPWinRate,R0AvgWinR,NPAvgWinR,R0AvgLossR,NPAvgLossR,R0SLRate,NPSLRate,R0TPRate,NPTPRate,R0TimeExitRate,NPTimeExitRate,R0WorstDayR,NPWorstDayR,R0WorstWeekR,NPWorstWeekR,R0MaxDDR,NPMaxDDR,NPExitRate,PeriodEligible,SampleStatus,CILower,CIUpper,BootstrapNonpositiveFractionPlusOne,SafetyPass,Analysis
NP50,Historical,9481,4294,0.4529058116232465,358,729.1655749839999,551.7366627900001,-177.42891219400002,0.07690808722539816,0.05819393131420737,-0.018714155911190803,1964,2324,5193,0.22261416536812625,-0.26447639112607574,-0.13498460605985094,-0.17630479986376338,0.3728458313926409,0.00535631113181183,1.3690038751372036,1.2998736226025578,0.5449847062546145,0.48939985233625144,0.5235539562544997,0.5154383498971983,-0.45997153561056797,-0.3813258612918135,0.11222444889779559,0.0790001054741061,0.05104946735576416,0.04862356291530429,0.8367260837464402,0.4194705199873431,-12.116818182,-11.529565433999998,-14.455835720000001,-14.322279775,29.211511085999632,26.700795370999963,0.4529058116232465,True,ELIGIBLE,-0.024227832968779787,-0.01334126278551016,1.0,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP50,Recent A,2688,969,0.36049107142857145,102,327.28838053,286.970491665,-40.317888865,0.1217590701376488,0.10675985553013392,-0.01499921460751488,458,509,1721,0.223347262279476,-0.28017865420235755,-0.15473775795665634,-0.1963454864035088,0.3673890608875129,0.0041279669762641896,1.5234105752017004,1.4847511454009392,0.5546875,0.5115327380952381,0.6388919509040912,0.6392479863883637,-0.5250205862871536,-0.4519049539076336,0.14211309523809523,0.11049107142857142,0.06956845238095238,0.06808035714285714,0.7883184523809523,0.4609375,-11.493424242000001,-10.792104895000001,-13.125830227000002,-11.669801477,21.641261526000108,20.287214638999814,0.36049107142857145,True,ELIGIBLE,-0.023589484541825117,-0.0071314842181234295,1.0,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP50,Recent B,2700,1153,0.42703703703703705,103,281.524204199,232.43895692899997,-49.08524727,0.10426822377740741,0.08608850256629628,-0.018179721211111114,504,645,1551,0.21070088232738093,-0.24074184800465115,-0.1279167688976583,-0.17048853582740678,0.38248048568950566,0.006938421509106678,1.5142180915606576,1.4480023600459622,0.5522222222222222,0.5003703703703704,0.5560056112997989,0.5560867366113988,-0.45396365028938646,-0.38603736922098214,0.11074074074074074,0.0811111111111111,0.05740740740740741,0.05444444444444444,0.8318518518518518,0.4374074074074074,-5.102508492,-4.794816183999999,-6.911786467999999,-6.437088355000001,16.014834455999903,13.231050230999926,0.42703703703703705,True,ELIGIBLE,-0.027402569852433164,-0.008822137037242378,0.9998000399920016,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP50,2026 Monitor,966,511,0.5289855072463768,36,22.101648493,20.490495171,-1.6111533220000003,0.02287955330538302,0.021211692723602484,-0.0016678605817805386,261,247,458,0.20859163435249042,-0.22693752991093116,-0.14316721151272016,-0.1463201534344423,0.350293542074364,0.0,1.1117582184383612,1.1192045726524622,0.5165631469979296,0.4824016563146998,0.44061066039879765,0.41284126267381976,-0.42529692698064514,-0.34447601850701404,0.10559006211180125,0.07039337474120083,0.026915113871635612,0.026915113871635612,0.8674948240165632,0.37370600414078675,-5.912815073,-4.7011717179999994,-5.288937839,-4.949964079999999,14.122777596000004,11.76356095300001,0.5289855072463768,True,ELIGIBLE,-0.020326319710125683,0.01489900867073177,0.563887222555489,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP50,Recent Combined,6354,2633,0.4143846395971042,241,630.914233222,539.899943765,-91.01428945699999,0.09929402474378345,0.08497008872599937,-0.014323936017784072,1223,1401,3730,0.21498667815453798,-0.2526359720485367,-0.14074719600531713,-0.17531395994644894,0.37067983289023926,0.004557538928978352,1.4603389660793071,1.4209013479650312,0.5478438778722065,0.502360717658168,0.5749660973240448,0.5709972402418546,-0.478875874061146,-0.4068262756381224,0.12322946175637393,0.09191060749134404,0.05791627321372364,0.05602769908718917,0.8188542650299024,0.4376770538243626,-11.493424242000001,-10.792104895000001,-13.125830227000002,-11.669801477,21.641261526000108,20.287214638999814,0.4143846395971042,True,ELIGIBLE,-0.02040088308536829,-0.008412716390094922,1.0,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP50,ALL,15835,6927,0.4374486896116198,599,1360.079808206,1091.636606555,-268.44320165100004,0.08589073623024945,0.06893821323365962,-0.016952522996589836,3187,3725,8923,0.2196871440746784,-0.2600231220985235,-0.13717500584711995,-0.1759281748453876,0.37202252057167606,0.0050526923632164,1.4064088166978748,1.3495899027209388,0.5461319861067256,0.4946005683612251,0.5442484131304348,0.5380818608752554,-0.467530101780665,-0.3914039267761344,0.11664035364698452,0.0841806125670982,0.05380486264603726,0.05159456899273761,0.8295547837069782,0.4267761288285444,-12.116818182,-11.529565433999998,-14.455835720000001,-14.322279775,29.211511085999632,26.700795370999963,0.4374486896116198,True,ELIGIBLE,-0.020950796460478312,-0.012941908007913209,1.0,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP75,Historical,9481,3498,0.3689484231621137,356,729.1655749839999,644.226911524,-84.93866346,0.07690808722539816,0.06794925762303554,-0.00895882960236262,1575,1915,5991,0.1422077884577778,-0.1613138017133159,-0.17169170964036595,-0.19597377466609492,0.30874785591766724,0.001429388221841052,1.3690038751372036,1.330782202595285,0.5449847062546145,0.515979327075203,0.5235539562544997,0.5298064776185609,-0.45997153561056797,-0.42607446444672936,0.11222444889779559,0.09861828920999895,0.05104946735576416,0.05052209682522941,0.8367260837464402,0.48191119080265793,-12.116818182,-11.569125874,-14.455835720000001,-14.466709844999999,29.211511085999632,26.548583810000082,0.3689484231621137,True,ELIGIBLE,-0.011976412746772585,-0.0059675236999177554,1.0,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP75,Recent A,2688,766,0.2849702380952381,100,327.28838053,308.614461234,-18.673919296,0.1217590701376488,0.11481192754241071,-0.006947142595238096,340,422,1926,0.1596491989411765,-0.17287831027488149,-0.19180400900652742,-0.21618249372715406,0.30809399477806787,0.0039164490861618795,1.5234105752017004,1.4986973982360052,0.5546875,0.5286458333333334,0.6388919509040912,0.6526781075270937,-0.5250205862871536,-0.49036539584944533,0.14211309523809523,0.13020833333333334,0.06956845238095238,0.06845238095238096,0.7883184523809523,0.5163690476190477,-11.493424242000001,-11.042006993000003,-13.125830227000002,-12.533199302000005,21.641261526000108,24.96882974599987,0.2849702380952381,True,ELIGIBLE,-0.01199693237162051,-0.001816029668262116,0.9966006798640272,False,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP75,Recent B,2700,925,0.3425925925925926,102,281.524204199,243.382102852,-38.142101347,0.10426822377740741,0.09014151957481481,-0.014126704202592592,364,558,1778,0.14341634931043956,-0.16190977149820787,-0.15620215910702703,-0.19743686326594595,0.32972972972972975,0.003243243243243243,1.5142180915606576,1.4414165197680255,0.5522222222222222,0.5162962962962963,0.5560056112997989,0.5701206585588237,-0.45396365028938646,-0.4244542688060046,0.11074074074074074,0.09962962962962962,0.05740740740740741,0.056296296296296296,0.8318518518518518,0.5014814814814815,-5.102508492,-5.386354646,-6.911786467999999,-6.677763015000001,16.014834455999903,15.359236806999945,0.3425925925925926,True,ELIGIBLE,-0.019816638361458024,-0.008714411052625621,1.0,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
NP75,2026 Monitor,966,435,0.4503105590062112,36,22.101648493,22.667077923,0.5654294300000002,0.02287955330538302,0.02346488397826087,0.000585330672877847,202,231,533,0.15248442846039606,-0.13089361523376622,-0.1640141751149425,-0.16271433734482763,0.2988505747126437,0.0,1.1117582184383612,1.12079647610712,0.5165631469979296,0.4886128364389234,0.44061066039879765,0.445580350338983,-0.42529692698064514,-0.38062240859432045,0.10559006211180125,0.09109730848861283,0.026915113871635612,0.026915113871635612,0.8674948240165632,0.43167701863354035,-5.912815073,-4.880446775,-5.288937839,-5.22884077,14.122777596000004,14.17254325699998,0.4503105590062112,True,ELIGIBLE,-0.008839494530010558,0.009992191973199218,0.4543091381723655,True,EXCLUDE_BOTH_SIDES_DESCRIPTIVE_ONLY
