Variant,Period,Trades,DeltaTotalR,AvgDeltaR,CILower,CIUpper,Improved,Harmed,Unchanged
NP50,Historical,9482,-177.42891219400002,-0.01871218226049357,-0.024227832968779787,-0.013339873945935658,1964,2324,5194
NP50,Recent A,2688,-40.317888865,-0.01499921460751488,-0.023589484541825117,-0.0071314842181234295,458,509,1721
NP50,Recent B,2701,-49.085247269999996,-0.018172990473898556,-0.027392736555575663,-0.008815463886819922,504,645,1552
NP50,2026 Monitor,966,-1.6111533220000003,-0.0016678605817805386,-0.020326319710125683,0.01489900867073177,261,247,458
NP50,Recent Combined,6355,-91.01428945699999,-0.014321682054602674,-0.02039748858359243,-0.008412652110463381,1223,1401,3731
NP50,ALL,15837,-268.44320165100004,-0.016950382121045656,-0.020945741858645592,-0.012940414053413384,3187,3725,8925
NP75,Historical,9482,-85.09088568300001,-0.008973938587112425,-0.011984600555456056,-0.005976664573740721,1575,1916,5991
NP75,Recent A,2688,-18.673919296,-0.006947142595238096,-0.01199693237162051,-0.001816029668262116,340,422,1926
NP75,Recent B,2701,-38.186101347000005,-0.014137764289892635,-0.01982564723950719,-0.008714411052625621,364,559,1778
NP75,2026 Monitor,966,0.5654294300000002,0.000585330672877847,-0.008839494530010558,0.009992191973199218,202,231,533
NP75,Recent Combined,6355,-56.294591213,-0.008858314903697876,-0.012492156189491475,-0.005371730639327628,906,1212,4237
NP75,ALL,15837,-141.385476896,-0.00892754163642104,-0.011244368694668749,-0.006545272334526063,2481,3128,10228
