Variant,Period,Trades,TriggerCount,TriggerRate,TriggerWeeks,R0TotalR,NPTotalR,DeltaTotalR,R0AvgR,NPAvgR,AvgDeltaR,Improved,Harmed,Unchanged,AvgGainWhenImproved,AvgDamageWhenHarmed,BaselineTriggerAvgR,NPTriggerAvgR,RecoveryRate,LaterTPRate,R0PF,NPPF,R0WinRate,NPWinRate,R0AvgWinR,NPAvgWinR,R0AvgLossR,NPAvgLossR,R0SLRate,NPSLRate,R0TPRate,NPTPRate,R0TimeExitRate,NPTimeExitRate,R0WorstDayR,NPWorstDayR,R0WorstWeekR,NPWorstWeekR,R0MaxDDR,NPMaxDDR,NPExitRate,PeriodEligible,SampleStatus
NP50,Historical,4294,4294,1.0,358,-579.6238984209999,-757.052810615,-177.42891219400002,-0.13498460605985094,-0.17630479986376338,-0.04132019380391244,1964,2324,6,0.22261416536812625,-0.26447639112607574,-0.13498460605985094,-0.17630479986376338,0.3728458313926409,0.00535631113181183,0.40923464861902453,0.10407973633389396,0.3728458313926409,0.2501164415463437,0.2507912226514678,0.08188770858566109,-0.36568790379649646,-0.2630760303972603,0.07335817419655333,0.0,0.00535631113181183,0.0,0.9212855146716349,0.0,-6.387359362000001,-3.8753727380000003,-9.459705182,-7.9807856,580.2562216539984,757.4074570800002,1.0,True,ELIGIBLE
NP50,Recent A,969,969,1.0,102,-149.94088746,-190.258776325,-40.317888865,-0.15473775795665634,-0.1963454864035088,-0.04160772844685243,458,509,2,0.223347262279476,-0.28017865420235755,-0.15473775795665634,-0.1963454864035088,0.3673890608875129,0.0041279669762641896,0.386654791349318,0.09898319959360644,0.3673890608875129,0.2476780185758514,0.26551465587921347,0.0870887499125,-0.4020791199884869,-0.29045402517744157,0.08771929824561403,0.0,0.0041279669762641896,0.0,0.9081527347781218,0.0,-5.243858975,-3.4762277169999996,-8.449340325,-8.30533067,150.14088746000002,190.46373359000037,1.0,True,ELIGIBLE
NP50,Recent B,1153,1153,1.0,103,-147.488034539,-196.573281809,-49.085247269999996,-0.1279167688976583,-0.17048853582740678,-0.04257176692974848,504,645,4,0.21070088232738093,-0.24074184800465115,-0.1279167688976583,-0.17048853582740678,0.38248048568950566,0.006938421509106678,0.41592971024363823,0.12193767653878423,0.38248048568950566,0.2610581092801388,0.23816230611791386,0.090692331269103,-0.35565860779859154,-0.26399961500117924,0.06938421509106678,0.0,0.006938421509106678,0.0,0.9236773633998265,0.0,-3.808081196,-2.416504718,-6.357333333,-5.977091076,147.48803453899984,196.57328180899992,1.0,True,ELIGIBLE
NP50,2026 Monitor,511,511,1.0,36,-73.158445083,-74.76959840500001,-1.6111533220000003,-0.14316721151272016,-0.1463201534344423,-0.0031529419217221142,261,247,3,0.20859163435249042,-0.22693752991093116,-0.14316721151272016,-0.1463201534344423,0.350293542074364,0.0,0.34411889031516296,0.12726457117757692,0.350293542074364,0.2857142857142857,0.21443458236871515,0.07467876103424657,-0.33800677371818183,-0.2353645536153846,0.06653620352250489,0.0,0.0,0.0,0.9334637964774951,0.0,-5.2729899,-2.7811818180000007,-5.546234268000001,-5.399739583000001,73.83226459600006,75.0895479,1.0,True,ELIGIBLE
NP50,Recent Combined,2633,2633,1.0,241,-370.587367082,-461.60165653900003,-91.014289457,-0.14074719600531713,-0.17531395994644894,-0.03456676394113179,1223,1401,9,0.21498667815453798,-0.2526359720485367,-0.14074719600531713,-0.17531395994644894,0.37067983289023926,0.004557538928978352,0.3910061124538186,0.11350544652309189,0.37067983289023926,0.2609191036840106,0.24378748435963116,0.0860302631761281,-0.36924997076274274,-0.26854277841206814,0.075579187238891,0.0,0.004557538928978352,0.0,0.9198632738321306,0.0,-5.2729899,-3.4762277169999996,-8.449340325,-8.30533067,370.8095893040011,461.8377249150007,1.0,True,ELIGIBLE
NP50,ALL,6927,6927,1.0,599,-950.2112655029999,-1218.654467154,-268.443201651,-0.13717500584711995,-0.1759281748453876,-0.03875316899826765,3187,3725,15,0.2196871440746784,-0.2600231220985235,-0.13717500584711995,-0.1759281748453876,0.37202252057167606,0.0050526923632164,0.40225676103247426,0.10767349226771837,0.37202252057167606,0.25422260718925943,0.24813866208769886,0.08350379887734241,-0.36704331510113136,-0.2651338879784508,0.07420239641980655,0.0,0.0050526923632164,0.0,0.920744911216977,0.0,-6.387359362000001,-3.8753727380000003,-9.459705182,-8.30533067,950.233487724997,1218.7266893760027,1.0,True,ELIGIBLE
NP75,Historical,3499,3499,1.0,356,-600.632044766,-685.722930449,-85.09088568300001,-0.17165820084767078,-0.19597683065132895,-0.02431862980365819,1575,1916,8,0.1422077884577778,-0.16130905663048017,-0.17165820084767078,-0.19597683065132895,0.30865961703343814,0.0014289797084881394,0.22797025202985893,0.08532675160026228,0.30865961703343814,0.23006573306659045,0.1642210738814815,0.07946429358385093,-0.32295176610958903,-0.27931881027719824,0.036867676478994,0.0,0.0014289797084881394,0.0,0.9617033438125179,0.0,-4.828461538,-4.274805306999999,-9.459705182,-8.703403818999998,600.6320447659988,685.7229304489977,1.0,True,ELIGIBLE
NP75,Recent A,766,766,1.0,100,-146.921870899,-165.595790195,-18.673919296,-0.19180400900652742,-0.21618249372715406,-0.024378484720626634,340,422,4,0.1596491989411765,-0.17287831027488149,-0.19180400900652742,-0.21618249372715406,0.30809399477806787,0.0039164490861618795,0.2073199995033046,0.07431440974411595,0.30809399477806787,0.21671018276762402,0.1628237471525424,0.08008491762650602,-0.35170450707210626,-0.2991469674264214,0.04177545691906005,0.0,0.0039164490861618795,0.0,0.9543080939947781,0.0,-3.579777778,-2.8880606070000003,-6.764895880999999,-5.670609558000001,147.13417859099994,165.90903805899998,1.0,True,ELIGIBLE
NP75,Recent B,926,926,1.0,102,-144.258997174,-182.44509852099998,-38.186101347000005,-0.1557872539676026,-0.1970249444071274,-0.04123769043952484,364,559,3,0.14341634931043956,-0.1616988416744186,-0.1557872539676026,-0.1970249444071274,0.3304535637149028,0.0032397408207343412,0.26470488717055174,0.08812969706824915,0.3304535637149028,0.22570194384449244,0.16971559950000004,0.08436748818181818,-0.31746273563268607,-0.28140352116877637,0.032397408207343416,0.0,0.0032397408207343412,0.0,0.9643628509719222,0.0,-3.174265568,-2.620277778,-4.761885005,-5.011898715,144.25899717399994,182.445098521,1.0,True,ELIGIBLE
NP75,2026 Monitor,435,435,1.0,36,-71.346166175,-70.78073674500001,0.56542943,-0.1640141751149425,-0.16271433734482763,0.0012998377701149426,202,231,2,0.15248442846039606,-0.13089361523376622,-0.1640141751149425,-0.16271433734482763,0.2988505747126437,0.0,0.2115601931791166,0.11935879014998114,0.2988505747126437,0.2367816091954023,0.14726268031538461,0.0931393617669903,-0.29864790302310235,-0.24282202721148038,0.03218390804597701,0.0,0.0,0.0,0.967816091954023,0.0,-2.818888889,-2.562051281,-4.52728205,-4.5174079250000005,71.55331902200004,70.97811936299999,1.0,True,ELIGIBLE
NP75,Recent Combined,2127,2127,1.0,238,-362.527034248,-418.821625461,-56.294591213000004,-0.1704405426647861,-0.1969072052002821,-0.026466662535496007,906,1212,9,0.15152994849668874,-0.15972006976155115,-0.1704405426647861,-0.1969072052002821,0.3159379407616361,0.0028208744710860366,0.23198397601282308,0.08821371899034636,0.3159379407616361,0.22472966619652093,0.16295167591666665,0.08477040924267783,-0.32598795612154696,-0.2800865128530488,0.035731076633756464,0.0,0.0028208744710860366,0.0,0.9614480488951574,0.0,-3.579777778,-2.8880606070000003,-6.764895880999999,-5.670609558000001,362.73934194000117,419.0093177690005,1.0,True,ELIGIBLE
NP75,ALL,5626,5626,1.0,594,-963.1590790140001,-1104.5445559099999,-141.385476896,-0.17119784554105938,-0.19632857374866688,-0.025130728207607537,2481,3128,17,0.14561201134985893,-0.16069337501758316,-0.17119784554105938,-0.19632857374866688,0.3114113046569499,0.0019552079630287948,0.22948590642924832,0.08642358221508044,0.3114113046569499,0.22804834696054035,0.1637341815114155,0.08144116286282152,-0.3240916165470573,-0.2796099833170675,0.03643796658371845,0.0,0.0019552079630287948,0.0,0.9616068254532527,0.0,-4.828461538,-4.274805306999999,-9.459705182,-8.703403818999998,963.1590790139977,1104.5445559100015,1.0,True,ELIGIBLE
