Method,Group,Trades,Valid,Fallback,Coverage,Mean,Median,Q10,Q25,Q75,Q90,Min,Max,LowerCap,UpperCap
ATR,ALL,15837,14651,1186,0.9251120793079497,1.0242206046204112,0.983032406807761,0.7502691262065088,0.850217687958926,1.108457911106652,1.373777085106541,0.5,2.0,3,327
ATR,Symbol:EURJPY,2910,2699,211,0.9274914089347079,1.0278446597779785,0.9712323581895848,0.7416689686346404,0.8516104399050853,1.1151204322680084,1.3738615664845149,0.5945536135073685,2.0,0,69
ATR,Symbol:GBPJPY,3288,3038,250,0.9239659367396593,1.024227508282745,0.9921747186249595,0.7379758352906368,0.8322204079899999,1.124654286272449,1.3849510325160515,0.566596560682914,2.0,0,59
ATR,Symbol:AUDJPY,2250,2086,164,0.9271111111111111,1.0413899830080031,1.0,0.7402618790952801,0.8498520425809905,1.1368784079787453,1.4392966076631337,0.5093687067682345,2.0,0,38
ATR,Symbol:USDJPY,972,895,77,0.9207818930041153,1.0408566118237164,0.993960477363864,0.7370996730991783,0.849275768681897,1.1430210635979152,1.4574345841922187,0.5,2.0,3,23
ATR,Symbol:EURAUD,3360,3106,254,0.924404761904762,1.0178003516835248,0.9724252360447224,0.7623084533052021,0.8531656011548752,1.0691554189471004,1.3782501031778749,0.5908158390242505,2.0,0,80
ATR,Symbol:GBPAUD,2035,1884,151,0.9257985257985258,1.0029762874783819,0.9741268824094819,0.7717727683650555,0.8597175650726849,1.0856033196474753,1.2629489337147395,0.5767615014173983,2.0,0,28
ATR,Symbol:AUDUSD,1022,943,79,0.9227005870841487,1.023667018639982,0.9814993564763381,0.7691622110585508,0.8470665299717954,1.0949209259106936,1.328818058351576,0.6486999051754228,2.0,0,30
ATR,Period:Historical,9482,8296,1186,0.8749209027631302,1.0044677154026882,0.9830463284212171,0.7597903259167507,0.856327396736392,1.0593696123071454,1.2545329535409095,0.5093687067682345,2.0,0,209
ATR,Period:Recent A,2688,2688,0,1.0,1.102297955788072,1.01353974454216,0.7741804830377489,0.8888451276256538,1.2693801202158996,1.5805799753412826,0.5,2.0,1,31
ATR,Period:Recent B,2701,2701,0,1.0,1.034883756319573,0.9708037687565417,0.7299551257094853,0.8117330436285555,1.1594778319196308,1.435168467895739,0.5840683946261371,2.0,0,85
ATR,Period:2026 Monitor,966,966,0,1.0,0.9710361355565851,0.8954342273307765,0.714157008886521,0.7746225019645001,1.1429060321251334,1.2927211276003812,0.5,2.0,2,2
ATR,Period:Recent Combined,6355,6355,0,1.0,1.0536929721361392,0.9830129221130343,0.7392877622446773,0.8399574585417755,1.1928103261088046,1.4916729959207378,0.5,2.0,3,118
ATR,Period:ALL,15837,14651,1186,0.9251120793079497,1.0242206046204112,0.983032406807761,0.7502691262065088,0.850217687958926,1.108457911106652,1.373777085106541,0.5,2.0,3,327
RV,ALL,15837,14642,1195,0.9245437898591905,1.0255624404363761,0.9892720325895142,0.6886095988146868,0.8126268329063435,1.153299834756474,1.4552622041691536,0.5,2.0,148,458
RV,Symbol:EURJPY,2910,2696,214,0.9264604810996564,1.0265242248356716,0.9754057770926692,0.6593477156426434,0.8098847003492484,1.1532501612968793,1.4791259528493212,0.5,2.0,38,115
RV,Symbol:GBPJPY,3288,3036,252,0.9233576642335767,1.0286935654816642,0.9961575348793483,0.6814800157999963,0.7953560498011445,1.1663091285289342,1.4581586302893754,0.5,2.0,21,89
RV,Symbol:AUDJPY,2250,2085,165,0.9266666666666666,1.0399098366710375,1.0,0.6736823698221938,0.8252788251486629,1.2083243142085311,1.4728595977673942,0.5,2.0,34,62
RV,Symbol:USDJPY,972,895,77,0.9207818930041153,1.0362685325861625,0.9899923729226245,0.6661785777871279,0.8041913321299785,1.2136404454643008,1.5021209992432654,0.5,2.0,16,24
RV,Symbol:EURAUD,3360,3104,256,0.9238095238095239,1.014431833624617,0.9799509747744984,0.7037247667337383,0.816991007300968,1.1068716823083504,1.4355137006306369,0.5,2.0,31,100
RV,Symbol:GBPAUD,2035,1883,152,0.9253071253071253,1.0119400252868431,0.984725016600628,0.7028917611257401,0.8132851637628562,1.1417161782242797,1.3997782049696248,0.5,2.0,8,32
RV,Symbol:AUDUSD,1022,943,79,0.9227005870841487,1.034699973575687,0.9999768181471291,0.7407018985892074,0.8307613862126071,1.1530479278305878,1.3692831237173104,0.5168991810132147,2.0,0,36
RV,Period:Historical,9482,8287,1195,0.8739717359206919,1.0144548661629287,0.998097061249086,0.6915536002271826,0.8193218151298621,1.1176673925099916,1.4011443760917035,0.5,2.0,56,270
RV,Period:Recent A,2688,2688,0,1.0,1.0906336738203777,1.0086316716834878,0.7292283677966764,0.8370699870271193,1.2906916180868138,1.6223303461405698,0.5,2.0,41,72
RV,Period:Recent B,2701,2701,0,1.0,1.0173716235136292,0.9514022682730734,0.638928335884311,0.7787797657963644,1.1846045956081734,1.4744506768650243,0.5,2.0,37,116
RV,Period:2026 Monitor,966,966,0,1.0,0.9764257328100557,0.9105082327204874,0.654807721891689,0.7745352343979846,1.154673485428603,1.3861809702925627,0.5,1.9920607662713115,14,0
RV,Period:Recent Combined,6355,6355,0,1.0,1.0421355355206927,0.9767420583530959,0.6805493448032518,0.8035895451312263,1.2142879514450746,1.520717023858902,0.5,2.0,92,188
RV,Period:ALL,15837,14642,1195,0.9245437898591905,1.0255624404363761,0.9892720325895142,0.6886095988146868,0.8126268329063435,1.153299834756474,1.4552622041691536,0.5,2.0,148,458
