Method,StrategyNo,Strategy,TPPresent,R0TotalR,V1TotalR,DeltaTotalR,AvgDeltaR,MeanScale,MedianScale,MinScale,MaxScale,LowerCap,UpperCap,FallbackRate,SLRate,TPRate,TimeExitRate
ATR,1,1_EJ_Log1,True,129.862857135,118.42379527499999,-11.43906186,-0.013426128943661972,1.0283564302726482,0.9698599151194544,0.5945536135073685,2.0,0,21,0.0715962441314554,0.18309859154929578,0.002347417840375587,0.8145539906103286
ATR,2,2_EJ_NightBlitz_20,True,112.951111159,113.28899973600001,0.33788857699999153,0.0003283659640427517,1.0274042591483536,0.9712323581895848,0.5945536135073685,2.0,0,24,0.0728862973760933,0.2108843537414966,0.10204081632653061,0.6870748299319728
ATR,3,3_EJ_NightBlitz_21,True,69.061333309,66.566087833,-2.4952454759999987,-0.0024249227172011647,1.027861320406186,0.9715375446960687,0.5945536135073685,2.0,0,24,0.0728862973760933,0.05442176870748299,0.09426627793974733,0.8513119533527697
ATR,4,4_GJ_Port_Log1,True,39.222307666999995,35.985517788,-3.236789878999999,-0.003385763471757321,1.0283369838752332,1.0,0.566596560682914,2.0,0,18,0.08263598326359832,0.013598326359832637,0.06276150627615062,0.9236401673640168
ATR,5,5_GJ_Port_Log2,False,104.854444448,95.30132517700001,-9.553119271000003,-0.007630286957667734,1.0298386394387646,0.9946087743187011,0.566596560682914,2.0,0,21,0.07268370607028754,0.213258785942492,0.0,0.786741214057508
ATR,6,6_GJ_Old_Mon,True,82.98,71.66500657,-11.314993429999996,-0.023044793136456205,1.0132541335623533,0.983032406807761,0.5761227267103791,2.0,0,10,0.07331975560081466,0.329938900203666,0.012219959266802444,0.6578411405295316
ATR,7,7_GJ_Mon_Blitz,True,24.834615375,20.576907489999996,-4.257707884999999,-0.007228706086587436,1.0147778174745228,0.983032406807761,0.5761227267103791,2.0,0,10,0.07470288624787776,0.023769100169779286,0.003395585738539898,0.9728353140916808
ATR,8,8_AJ_Core1,True,54.749999994,49.559441883,-5.190558111000002,-0.008797556120338987,1.023161257902202,0.9865792158969949,0.5093687067682345,2.0,0,7,0.07627118644067797,0.10508474576271186,0.02711864406779661,0.8677966101694915
ATR,9,9_AJ_Core2,True,62.970000006999996,54.666659033,-8.303340973999997,-0.024421591099999994,1.0678204060089433,1.0,0.5622537431048075,2.0,0,8,0.07058823529411765,0.31470588235294117,0.06470588235294118,0.6205882352941177
ATR,10,10_AJ_SatA,True,2.874,0.9399419029999998,-1.9340580969999996,-0.004799151605459056,1.0520750814095996,1.0,0.542290517467824,2.0,0,7,0.07196029776674938,0.009925558312655087,0.13647642679900746,0.8535980148883374
ATR,11,11_AJ_SatB,True,23.105454531,19.14895942,-3.956495110999998,-0.00981760573449131,1.051466668655887,1.0,0.542290517467824,2.0,0,7,0.06947890818858561,0.07692307692307693,0.02977667493796526,0.8933002481389578
ATR,12,12_UJ_Short_Core,True,129.353,114.35031064399999,-15.002689356,-0.02747745303296703,1.0246967759755552,0.9829272047457154,0.5,2.0,3,13,0.07875457875457875,0.11721611721611722,0.045787545787545784,0.836996336996337
ATR,13,13_UJ_Fix_MidWeek,True,19.084210522,18.459169533,-0.6250409890000004,-0.002802874390134531,1.0339082733882996,0.9880371478041803,0.5005053253517866,2.0,0,4,0.07174887892376682,0.008968609865470852,0.004484304932735426,0.9865470852017937
ATR,14,14_UJ_Sat_3rd,True,28.233333342,22.920808532,-5.312524810000001,-0.07277431246575344,1.0004470364468836,0.9713043785560332,0.5052390057361398,2.0,0,1,0.0958904109589041,0.1506849315068493,0.2054794520547945,0.6438356164383562
ATR,15,15_UJ_Sat_Aug,True,24.075,18.320237658,-5.754762341999999,-0.08221089059999999,1.1963465387510983,1.0667287116529534,0.80217539089055,2.0,0,3,0.07142857142857142,0.32857142857142857,0.2714285714285714,0.4
ATR,16,16_UJ_T10A,True,11.744444443999999,5.666634492,-6.077809951999998,-0.1012968325333333,1.0814958445201486,1.0,0.6566452234037901,2.0,0,2,0.1,0.11666666666666667,0.0,0.8833333333333333
ATR,17,17_EA_1B_Wed_Short,True,52.781428568,52.146541629,-0.6348869389999994,-0.0018087946980056963,1.028903837933324,0.9721159974506044,0.6078464435264034,2.0,0,9,0.07407407407407407,0.16524216524216523,0.008547008547008548,0.8262108262108262
ATR,18,18_EA_2_MonWed_Short,True,39.053333343,34.695507238,-4.357826104999999,-0.004572745125918152,1.014815336318857,0.9733185980423105,0.5908158390242505,2.0,0,24,0.07345225603357818,0.19412381951731375,0.023084994753410283,0.782791185729276
ATR,19,19_EA_3_WedThu_Long,False,63.135555576,57.302241475,-5.833314100999999,-0.008297744098150782,1.0286588132910581,0.9750803207430015,0.6078464435264034,2.0,0,18,0.07965860597439545,0.09388335704125178,0.0,0.9061166429587483
ATR,20,20_EA_1A_MonTue_Short,True,24.314,11.216133353,-13.097866646999998,-0.01701021642467532,1.0030125396167555,0.9666021529931239,0.5908158390242505,2.0,0,15,0.07402597402597402,0.16883116883116883,0.007792207792207792,0.8233766233766234
ATR,21,21_GA_B_3,True,8.894545481,9.841993760000001,0.9474482790000005,0.0016140515826235102,0.9828675445796723,0.956619778803823,0.5767615014173983,2.0,0,7,0.07495741056218058,0.0068143100511073255,0.10902896081771721,0.8841567291311755
ATR,23,23_GA_F_2,True,19.614444442,15.605351318999999,-4.009093123,-0.009237541758064518,1.0190531307648942,0.991963095902703,0.6343454352949212,2.0,0,6,0.07142857142857142,0.041474654377880185,0.004608294930875576,0.9539170506912442
ATR,24,24_GA_D_1,True,24.537777772000002,22.601265538999996,-1.936512233000001,-0.004462009753456224,1.0190531307648942,0.991963095902703,0.6343454352949212,2.0,0,6,0.07142857142857142,0.06221198156682028,0.01152073732718894,0.9262672811059908
ATR,25,25_AU_China_Demand,True,49.6725,44.790586685,-4.881913314999998,-0.004776823204500976,1.023667018639982,0.9814993564763381,0.6486999051754228,2.0,0,30,0.07729941291585127,0.050880626223091974,0.06262230919765166,0.8864970645792564
ATR,26,26_AJ_China_Demand,True,59.173333336,52.450930963,-6.722402373,-0.013078603838521401,1.0285526386892527,0.986059419767737,0.5093687067682345,2.0,0,9,0.07392996108949416,0.09922178988326848,0.01556420233463035,0.8852140077821011
ATR,27,27_EA_China_Demand,True,54.554999998,46.047800073000005,-8.507199925,-0.014592109648370497,1.022432449025145,0.982930431693687,0.5908158390242505,2.0,0,14,0.07718696397941681,0.08919382504288165,0.1183533447684391,0.7924528301886793
ATR,28,28_GA_China_Demand,True,44.565333313,45.856512616,1.2911793030000007,0.002226171212068967,0.9992678945626056,0.9772915506769677,0.6360721187538515,2.0,0,9,0.07758620689655173,0.08103448275862069,0.15,0.7689655172413793
RV,1,1_EJ_Log1,True,129.862857135,118.19427982200001,-11.668577313,-0.013695513278169015,1.0270871371048245,0.9747756229061192,0.5,2.0,12,35,0.07276995305164319,0.18544600938967137,0.002347417840375587,0.812206572769953
RV,2,2_EJ_NightBlitz_20,True,112.951111159,111.29157897,-1.6595321890000028,-0.0016127620884353769,1.026012049486473,0.9754057770926692,0.5,2.0,13,40,0.0738581146744412,0.22157434402332363,0.12147716229348883,0.6569484936831875
RV,3,3_EJ_NightBlitz_21,True,69.061333309,65.111524325,-3.9498089839999997,-0.003838492695821185,1.0265703153905856,0.9755516400074816,0.5,2.0,13,40,0.0738581146744412,0.062196307094266275,0.09426627793974733,0.8435374149659864
RV,4,4_GJ_Port_Log1,True,39.222307666999995,33.572528547000005,-5.649779119999998,-0.005909810794979077,1.0347528752282271,0.997746679314861,0.5,2.0,5,26,0.08263598326359832,0.0198744769874477,0.06589958158995816,0.9142259414225942
RV,5,5_GJ_Port_Log2,False,104.854444448,95.402391821,-9.452052627,-0.007549562801118211,1.0311269005794665,1.0,0.5,2.0,8,33,0.07268370607028754,0.22124600638977635,0.0,0.7787539936102237
RV,6,6_GJ_Old_Mon,True,82.98,58.981360683000005,-23.998639317,-0.04887706581873727,1.0186843758453277,0.992140821335109,0.5,2.0,4,13,0.07535641547861507,0.34419551934826886,0.010183299389002037,0.6456211812627292
RV,7,7_GJ_Mon_Blitz,True,24.834615375,16.559017529999995,-8.275597845,-0.014050251010186757,1.0220301978267894,0.9928062541361126,0.5,2.0,4,17,0.07640067911714771,0.03735144312393888,0.003395585738539898,0.9592529711375212
RV,8,8_AJ_Core1,True,54.749999994,49.495911883,-5.2540881110000015,-0.00890523408644068,1.026120506066814,0.9999895457482026,0.5,2.0,11,13,0.07796610169491526,0.11864406779661017,0.03898305084745763,0.8423728813559322
RV,9,9_AJ_Core2,True,62.970000006999996,52.708937695,-10.261062311999995,-0.0301795950352941,1.06493652683673,1.0,0.5031891423941277,2.0,0,11,0.07058823529411765,0.3323529411764706,0.061764705882352944,0.6058823529411764
RV,10,10_AJ_SatA,True,2.874,2.218641823000002,-0.6553581769999999,-0.0016261989503722082,1.0432633824186766,1.0,0.5,2.0,5,11,0.07196029776674938,0.01488833746898263,0.1588089330024814,0.826302729528536
