Symbol,TradeID,StrategyNo,EntryTime,DailyDate,ATR5,ATR20,ATRChangeRatio,ATRState,RV5,RV20,RVChangeRatio,RVState,Status
USDJPY,66,12,2015-01-20 09:55:00,2015-01-19,1.4256,,,UNAVAILABLE,0.14014113164123196,,,UNAVAILABLE,PASS
USDJPY,94,13,2015-01-28 18:04:00,2015-01-27,1.0987999999999971,1.2398499999999983,0.8862362382546264,UNAVAILABLE,0.0675773721155852,0.0962233980002599,0.7022966712878158,UNAVAILABLE,PASS
USDJPY,116,14,2015-02-03 20:01:00,2015-02-02,0.8541999999999973,1.1523499999999984,0.7412678439710144,UNAVAILABLE,0.038387820689135446,0.0903763478885488,0.4247551664344184,UNAVAILABLE,PASS
USDJPY,136,16,2015-02-10 02:58:00,2015-02-09,0.8599999999999965,0.9713499999999982,0.88536572811036,UNAVAILABLE,0.09094528474374737,0.07384581229715784,1.2315564270290742,UNAVAILABLE,PASS
USDJPY,860,15,2015-08-03 19:00:00,2015-08-01,0.675999999999999,0.6216999999999985,1.0873411613318331,UNAVAILABLE,0.05236402177869218,0.05894598784038161,0.8883390320048147,UNAVAILABLE,PASS
EURJPY,2,1,2015-01-05 13:55:00,2015-01-03,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
EURJPY,4,2,2015-01-05 20:56:00,2015-01-03,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
EURJPY,6,3,2015-01-05 21:56:00,2015-01-03,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
GBPJPY,3,7,2015-01-05 18:02:00,2015-01-03,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
GBPJPY,7,4,2015-01-06 00:00:00,2015-01-05,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
GBPJPY,8,5,2015-01-06 09:55:00,2015-01-05,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
GBPJPY,220,6,2015-03-02 15:45:00,2015-02-28,1.1740000000000008,1.4734500000000026,0.7967694865791162,UNAVAILABLE,0.06357233111596308,0.0829707783301009,0.7662014554454255,UNAVAILABLE,PASS
AUDJPY,0,8,2015-01-05 08:01:00,2015-01-03,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
AUDJPY,16,9,2015-01-08 17:14:00,2015-01-07,0.7210000000000008,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
AUDJPY,19,26,2015-01-09 10:00:00,2015-01-08,0.9184000000000025,,,UNAVAILABLE,0.10079675273616341,,,UNAVAILABLE,PASS
AUDJPY,76,10,2015-01-23 10:58:00,2015-01-22,1.1214,,,UNAVAILABLE,0.13878163979806418,,,UNAVAILABLE,PASS
AUDJPY,77,11,2015-01-23 18:57:00,2015-01-22,1.1214,,,UNAVAILABLE,0.13878163979806418,,,UNAVAILABLE,PASS
AUDUSD,18,25,2015-01-09 10:00:00,2015-01-08,0.007822000000000018,,,UNAVAILABLE,0.10821221349788944,,,UNAVAILABLE,PASS
EURAUD,1,20,2015-01-05 10:01:00,2015-01-03,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
EURAUD,11,17,2015-01-07 09:59:00,2015-01-06,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
EURAUD,14,19,2015-01-07 20:56:00,2015-01-06,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
EURAUD,20,27,2015-01-09 10:00:00,2015-01-08,0.013360000000000084,,,UNAVAILABLE,0.08505260619612552,,,UNAVAILABLE,PASS
EURAUD,108,18,2015-02-02 09:59:00,2015-01-31,0.02072799999999999,0.01749999999999998,1.1844571428571435,UNAVAILABLE,0.19093500519572806,0.13514683372612482,1.4127967332379983,UNAVAILABLE,PASS
GBPAUD,5,21,2015-01-05 21:02:00,2015-01-03,,,,UNAVAILABLE,,,,UNAVAILABLE,PASS
GBPAUD,21,28,2015-01-09 10:00:00,2015-01-08,0.018148000000000008,,,UNAVAILABLE,0.07802535120284187,,,UNAVAILABLE,PASS
GBPAUD,54,22,2015-01-15 16:56:00,2015-01-14,0.01773600000000002,,,UNAVAILABLE,0.0753749298973413,,,UNAVAILABLE,PASS
GBPAUD,78,23,2015-01-23 19:42:00,2015-01-22,0.022597999999999986,,,UNAVAILABLE,0.14269705973280025,,,UNAVAILABLE,PASS
GBPAUD,79,24,2015-01-23 22:44:00,2015-01-22,0.022597999999999986,,,UNAVAILABLE,0.14269705973280025,,,UNAVAILABLE,PASS
