Method,Period,ValidTrades,CompressionTrades,NeutralTrades,ExpansionTrades,CompressionAvgR,NeutralAvgR,ExpansionAvgR,RawDelta,AdjustedEffect,CILow,CIHigh,ValidBootstraps,EqualWeightEffect,EqualCILow,EqualCIHigh,EqualValidBootstraps,ContributingStrata,InformativeStrata,RepresentedStrategies,PeriodEligible,PeriodStatus
ATR,Historical,8296,2840,2772,2684,0.08051080118873238,0.06323465362121211,0.09350542149515648,0.012994620306424093,0.02189625087249771,-0.02418448476563742,0.06804716282040991,5000,0.02258990933134114,-0.06203415632838495,0.07381449911963057,5000,132,48,16,True,ELIGIBLE
ATR,Recent A,2688,942,897,849,0.14235353343312102,0.08206091605239688,0.1408512489246172,-0.001502284508503815,0.029390436318329768,-0.05878904080488355,0.11946789538648028,5000,-0.0009680416421404686,,,4297,117,1,1,False,INSUFFICIENT_SAMPLE
ATR,Recent B,2701,905,918,878,0.07155733060773481,0.12185076067429194,0.1197423937357631,0.048185063128028296,0.03608983846961221,-0.06245626745574411,0.13545698353891952,5000,-0.022705784204671845,,,4645,118,1,1,False,INSUFFICIENT_SAMPLE
ATR,2026 Monitor,966,362,282,322,-0.04103108235359115,0.0836176009326241,0.04153644981987579,0.08256753217346693,0.06383578218153921,-0.04738544842365976,0.1724351601926181,5000,,,,3,92,0,0,False,INSUFFICIENT_SAMPLE
ATR,Recent Combined,6355,2209,2097,2049,0.08329703978361251,0.09968898591368622,0.11619876470424596,0.03290172492063345,0.03184526444762467,-0.02442755520539976,0.09277535318004287,5000,0.05187872956872889,-0.033594436437173525,0.17326376398416013,5000,128,26,12,True,ELIGIBLE
ATR,ALL,14651,5049,4869,4733,0.08172981506397306,0.07893494830540151,0.103329773964082,0.021599958900108934,0.02881459463649973,-0.007267032422615034,0.06514946014808017,5000,0.030416935173046226,-0.016306603095312542,0.06825088052661865,5000,135,95,23,True,ELIGIBLE
RV,Historical,8287,2840,2644,2803,0.07465521296866198,0.09199184265355521,0.07072491195897253,-0.003930301009689455,-0.003328078854694101,-0.049082938259462625,0.039858281907122074,5000,-0.03399424426745494,-0.09233889555836534,0.0325614140386757,5000,132,46,17,True,ELIGIBLE
RV,Recent A,2688,901,907,880,0.12293282686903441,0.08670215743329658,0.15668982582840912,0.033756998959374715,0.043260940395705855,-0.05540785813984072,0.15336851139854987,5000,-0.23773148149999987,,,4049,118,1,1,False,INSUFFICIENT_SAMPLE
RV,Recent B,2701,915,870,916,0.079148763084153,0.08881043193103447,0.14417686702729257,0.06502810394313957,0.06568680529264205,-0.02773545965745035,0.15107798583790993,5000,0.09480835367536862,-0.15196518231553396,0.45418868008119706,4832,118,6,6,False,INSUFFICIENT_SAMPLE
RV,2026 Monitor,966,369,281,316,0.018852379707317075,0.03734727159430606,0.014716889439873423,-0.004135490267443653,-0.028109483298541387,-0.154689864495543,0.09857576118722894,5000,,,,3,91,0,0,False,INSUFFICIENT_SAMPLE
RV,Recent Combined,6355,2185,2058,2112,0.08702065141556065,0.08085447808066083,0.13002064109327652,0.04299998967771587,0.03294433892015648,-0.026126136849172855,0.08955137887322664,5000,0.07533996248362046,-0.04983118246010418,0.1489400113919791,5000,130,24,14,True,ELIGIBLE
RV,ALL,14642,5025,4702,4915,0.08003202550726368,0.08711717308932368,0.09620458234181077,0.01617255683454709,0.017080404086170387,-0.019993973821391158,0.05298157715315021,5000,0.029031270211464698,-0.020399830708454917,0.06409030152776822,5000,134,98,23,True,ELIGIBLE
