Method,Period,State,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR
ATR,Historical,COMPRESSION,2840,228.65067537599998,0.08051080118873238,1.4243510055514628,0.5535211267605634,0.48821569593511455,-0.4279780767545671
ATR,Historical,NEUTRAL,2772,175.28645983799998,0.06323465362121211,1.3174923821096682,0.5407647907647908,0.485245526724483,-0.4350642905610717
ATR,Historical,EXPANSION,2684,250.968551293,0.09350542149515648,1.4455707765561452,0.5491803278688525,0.5523883122951153,-0.4662680637665563
ATR,Recent A,COMPRESSION,942,134.097028494,0.14235353343312102,1.667398572318933,0.583864118895966,0.6091308801254546,-0.5151921937820513
ATR,Recent A,NEUTRAL,897,73.608641699,0.08206091605239688,1.3433115448493347,0.5395763656633222,0.5950751041157024,-0.520407059934466
ATR,Recent A,EXPANSION,849,119.58271033700001,0.1408512489246172,1.5695313715421004,0.5382803297997645,0.7211150204310722,-0.5397605501285347
ATR,Recent B,COMPRESSION,905,64.7593842,0.07155733060773481,1.387520081852005,0.5469613259668509,0.4684277075393939,-0.40759105129756096
ATR,Recent B,NEUTRAL,918,111.858998299,0.12185076067429194,1.6124481622877098,0.5588235294117647,0.5740767872729045,-0.45320693194044664
ATR,Recent B,EXPANSION,878,105.13382170000001,0.1197423937357631,1.5317162169531233,0.55125284738041,0.6257422713739671,-0.5031181619465649
ATR,2026 Monitor,COMPRESSION,362,-14.853251811999998,-0.04103108235359115,0.7951497578507849,0.4972375690607735,0.32030335531666665,-0.3983948119175824
ATR,2026 Monitor,NEUTRAL,282,23.580163462999998,0.0836176009326241,1.4902562737342746,0.5638297872340425,0.4508037145597484,-0.3975010508429752
ATR,2026 Monitor,EXPANSION,322,13.374736842000004,0.04153644981987579,1.1733431172100937,0.4968944099378882,0.56582703104375,-0.47628140817901227
ATR,Recent Combined,COMPRESSION,2209,184.00316088200003,0.08329703978361251,1.4176715237163038,0.5545495699411498,0.5098353495983674,-0.4486203079185337
ATR,Recent Combined,NEUTRAL,2097,209.047803461,0.09968898591368622,1.4696144440291434,0.5512637100619934,0.5659130907249135,-0.4755851810010684
ATR,Recent Combined,EXPANSION,2049,238.09126887899998,0.11619876470424596,1.4910618292654714,0.5373352855051244,0.6566222966839238,-0.5136121607733051
ATR,ALL,COMPRESSION,5049,412.653836258,0.08172981506397306,1.4213464060077263,0.5539710833828481,0.4976844394951734,-0.43702344534136545
ATR,ALL,NEUTRAL,4869,384.334263299,0.07893494830540151,1.3853962944184106,0.5452865064695009,0.5203685790726931,-0.45226499507437645
ATR,ALL,EXPANSION,4733,489.05982017200006,0.103329773964082,1.466614852164354,0.5440523980562011,0.5969559304745631,-0.48703610631970257
RV,Historical,COMPRESSION,2840,212.02080483100002,0.07465521296866198,1.3775269048475411,0.5447183098591549,0.5000809920872656,-0.436028330689441
RV,Historical,NEUTRAL,2644,243.226431976,0.09199184265355521,1.4778060113520815,0.5510590015128594,0.5163177275628003,-0.4313970314262712
RV,Historical,EXPANSION,2803,198.241928221,0.07072491195897253,1.3406734874628732,0.5472707813057438,0.5085748015619296,-0.4596459852883097
RV,Recent A,COMPRESSION,901,110.76247700900001,0.12293282686903441,1.5379468388198967,0.58157602663707,0.6043149473950381,-0.5461500143925729
RV,Recent A,NEUTRAL,907,78.638856792,0.08670215743329658,1.3649701433259411,0.5314222712238148,0.6101771877199171,-0.5130155897357143
RV,Recent A,EXPANSION,880,137.88704672900002,0.15668982582840912,1.6761342690764158,0.5511363636363636,0.7047865193443299,-0.5176000384593908
RV,Recent B,COMPRESSION,915,72.42111822199999,0.079148763084153,1.4248727624874469,0.5442622950819672,0.48770036175903614,-0.40974437964903854
RV,Recent B,NEUTRAL,870,77.26507577999999,0.08881043193103447,1.4366787611472767,0.5494252873563218,0.5318056416548117,-0.4525269077519181
RV,Recent B,EXPANSION,916,132.066010197,0.14417686702729257,1.6600380521836313,0.5633187772925764,0.643710251125969,-0.5014748856741854
RV,2026 Monitor,COMPRESSION,369,6.956528112000001,0.018852379707317075,1.1044705693448815,0.5338753387533876,0.37332451072081224,-0.38940585087719304
RV,2026 Monitor,NEUTRAL,281,10.494583318000002,0.03734727159430606,1.1841036467109463,0.5124555160142349,0.4687378625347222,-0.41914462416911763
RV,2026 Monitor,EXPANSION,316,4.650537063000002,0.014716889439873423,1.062700205727041,0.5,0.49887049824050633,-0.4694367193607595
RV,Recent Combined,COMPRESSION,2185,190.140123343,0.08702065141556065,1.4292677521010222,0.5578947368421052,0.5193443324060706,-0.4594819687344398
RV,Recent Combined,NEUTRAL,2058,166.39851589,0.08085447808066083,1.3702613837544717,0.5364431486880467,0.5577959722798914,-0.47455991289017946
RV,Recent Combined,EXPANSION,2112,274.603593989,0.13002064109327652,1.5742515665161203,0.5487689393939394,0.6495232874762726,-0.5028326984185069
RV,ALL,COMPRESSION,5025,402.160928174,0.08003202550726368,1.4003413336605213,0.5504477611940298,0.5085705119168474,-0.4460679874724689
RV,ALL,NEUTRAL,4702,409.62494786599996,0.08711717308932368,1.4273796960081102,0.544661846022969,0.5341982360234284,-0.45061435570756936
RV,ALL,EXPANSION,4915,472.84552220999996,0.09620458234181077,1.446036198236499,0.5479145473041709,0.5692355127296694,-0.4781712735999098
