Method,R2Quintile,CompressionTrades,CompressionAvgR,NeutralTrades,NeutralAvgR,ExpansionTrades,ExpansionAvgR,RawDelta
ATR,Q1,1448,0.036850595242403306,1707,0.0448949421903925,1502,0.05336348939813582,0.016512894155732517
ATR,Q2,855,0.09576943283976608,909,0.0415406380539054,770,0.09293286006493506,-0.0028365727748310143
ATR,Q3,842,0.12119862116627078,811,0.08466565239950677,804,0.08532519328482588,-0.0358734278814449
ATR,Q4,733,0.11933965939563439,723,0.11931129127800831,676,0.08323486944822484,-0.03610478994740955
ATR,Q5,1171,0.07505217754910333,719,0.15996140375382478,981,0.21659666635881752,0.1415444888097142
RV,Q1,1569,0.0252595218374761,1429,0.05360470756543037,1652,0.05647424391828087,0.03121472208080477
RV,Q2,823,0.10665501725273388,848,0.04721689189504717,861,0.0726905967398374,-0.033964420512896484
RV,Q3,834,0.10866221631055156,857,0.10916408946324388,766,0.07197992878067885,-0.03668228752987271
RV,Q4,712,0.0959983383019663,746,0.10942003058310991,674,0.1187338961305638,0.0227355578285975
RV,Q5,1087,0.10651016921619136,822,0.14331256562408756,962,0.18898149275051976,0.0824713235343284
