Method,Period,StrategyNo,R2Quintile,Expansion,Compression,ExpansionAvgR,CompressionAvgR,Delta,FEWeight,Informative
ATR,ALL,1,Q1,91,76,0.10883830458241758,0.1341541352763158,-0.025315830693898228,41.41317365269461,True
ATR,ALL,1,Q2,52,57,0.14505494503846156,0.22639097736842106,-0.0813360323299595,27.192660550458715,True
ATR,ALL,1,Q3,32,40,0.041651785812500015,0.16114285712499998,-0.11949107131249997,17.77777777777778,True
ATR,ALL,1,Q4,39,44,0.08538461535897435,0.24185064931818182,-0.15646603395920747,20.674698795180724,True
ATR,ALL,1,Q5,57,60,0.4137092731929825,0.05547619046666667,0.3582330827263158,29.23076923076923,True
ATR,ALL,2,Q1,106,95,0.020167714924528284,0.12437426901052631,-0.10420655408599802,50.09950248756219,True
ATR,ALL,2,Q2,59,65,0.16640301322033899,0.2062905983846154,-0.0398875851642764,30.927419354838708,True
ATR,ALL,2,Q3,37,43,0.2135135135945946,0.20093023260465123,0.01258328098994338,19.8875,True
ATR,ALL,2,Q4,52,53,-0.07290598292307693,0.18679245281132076,-0.25969843573439766,26.247619047619047,True
ATR,ALL,2,Q5,70,74,0.20371428577142855,-0.05885885881081079,0.26257314458223935,35.97222222222222,True
ATR,ALL,3,Q1,106,95,0.0584025156981132,0.07905964911578948,-0.020657133417676284,50.09950248756219,True
ATR,ALL,3,Q2,58,65,0.04517241381034484,0.07684102564615385,-0.031668611835809005,30.650406504065042,True
ATR,ALL,3,Q3,37,43,0.0774774775675676,0.12260465113953486,-0.04512717357196727,19.8875,True
ATR,ALL,3,Q4,52,53,-0.08184615386538462,0.13740880501886793,-0.21925495888425256,26.247619047619047,True
ATR,ALL,3,Q5,71,74,0.11680751166197181,0.014054053986486487,0.10275345767548533,36.234482758620686,True
ATR,ALL,4,Q1,89,68,-0.003232497853932579,0.025735294073529418,-0.028967791927461996,38.547770700636946,True
ATR,ALL,4,Q2,39,45,0.02562130176923076,0.03658119657777778,-0.010959894808547019,20.892857142857142,True
ATR,ALL,4,Q3,48,52,0.009887820520833332,0.02162721896153846,-0.011739398440705128,24.96,True
ATR,ALL,4,Q4,46,42,0.09130434780434785,0.028919413880952385,0.06238493392339546,21.954545454545453,True
ATR,ALL,4,Q5,57,73,0.06681511463157894,0.08105374075342466,-0.014238626121845718,32.00769230769231,True
ATR,ALL,5,Q1,105,103,0.15458201057142856,-0.026343042048543677,0.18092505261997224,51.99519230769231,True
ATR,ALL,5,Q2,52,73,0.08820512819230769,0.05799086754794519,0.0302142606443625,30.368,True
