Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
2015,C0_BASELINE,1378,92.171475733000,1.244600650005,21.007597805000,-9.569120879000,-14.455835720000
2015,C1_MINUS_CHINA4,1147,85.160086852000,1.273420914380,13.814192559000,-5.569120879000,-8.566212651000
2015,DELTA_C1_MINUS_C0,-231,-7.011388881000,0.028820264375,-7.193405246000,4.000000000000,5.889623069000
2016,C0_BASELINE,1405,210.801980402000,1.587639990930,13.124160340000,-8.417582417000,-10.076029027000
2016,C1_MINUS_CHINA4,1173,182.369258184000,1.605538142105,11.809026862000,-5.049230769000,-5.388090360000
2016,DELTA_C1_MINUS_C0,-232,-28.432722218000,0.017898151175,-1.315133478000,3.368351648000,4.687938667000
2017,C0_BASELINE,1389,102.054569869000,1.378208991735,25.011964611000,-6.261274282000,-7.158272666000
2017,C1_MINUS_CHINA4,1158,68.810736533000,1.281626222668,21.862873790000,-5.942285492000,-7.345772666000
2017,DELTA_C1_MINUS_C0,-231,-33.243833336000,-0.096582769067,-3.149090821000,0.318988790000,-0.187500000000
2018,C0_BASELINE,1385,116.556513222000,1.438215544610,12.213945682000,-5.092913752000,-7.487048063000
2018,C1_MINUS_CHINA4,1153,100.192068774000,1.436400402373,13.736278459000,-5.092913752000,-7.487048063000
2018,DELTA_C1_MINUS_C0,-232,-16.364444448000,-0.001815142237,1.522332777000,0.000000000000,0.000000000000
2019,C0_BASELINE,1391,54.801887564000,1.236708448235,27.540955530000,-5.223543956000,-10.800583970000
2019,C1_MINUS_CHINA4,1160,47.378832011000,1.235743067048,17.441733311000,-4.007384615000,-4.211534021000
2019,DELTA_C1_MINUS_C0,-231,-7.423055553000,-0.000965381186,-10.099222219000,1.216159341000,6.589049949000
2020,C0_BASELINE,1411,131.287850979000,1.396600132009,15.515685704000,-12.000000000000,-7.386292318000
2020,C1_MINUS_CHINA4,1180,106.587517644000,1.380284711158,14.090486200000,-8.000000000000,-4.726618935000
2020,DELTA_C1_MINUS_C0,-231,-24.700333335000,-0.016315420851,-1.425199504000,4.000000000000,2.659673383000
2021,C0_BASELINE,1397,60.813995643000,1.263305100745,12.260243244000,-5.252857143000,-5.495047508000
2021,C1_MINUS_CHINA4,1166,61.266162315000,1.317857677371,9.301134532000,-4.528307692000,-4.344523699000
2021,DELTA_C1_MINUS_C0,-231,0.452166672000,0.054552576626,-2.959108712000,0.724549451000,1.150523809000
2022,C0_BASELINE,1383,163.991920234000,1.460196647794,13.239665556000,-7.928653846000,-8.382382172000
2022,C1_MINUS_CHINA4,1151,150.731975789000,1.494624752668,13.239665556000,-6.526000000000,-6.006001110000
2022,DELTA_C1_MINUS_C0,-232,-13.259944445000,0.034428104874,0.000000000000,1.402653846000,2.376381062000
2023,C0_BASELINE,1384,160.985031727000,1.537135036671,22.196975812000,-10.880000000000,-12.824401656000
2023,C1_MINUS_CHINA4,1153,134.811253953000,1.520885457040,25.567098862000,-7.000000000000,-9.980679433000
2023,DELTA_C1_MINUS_C0,-231,-26.173777774000,-0.016249579631,3.370123050000,3.880000000000,2.843722223000
2024,C0_BASELINE,1394,129.794238252000,1.471284308778,12.974713232000,-3.693846154000,-6.500295982000
2024,C1_MINUS_CHINA4,1165,114.461571589000,1.458454502992,12.422213232000,-3.693846154000,-6.853351537000
2024,DELTA_C1_MINUS_C0,-229,-15.332666663000,-0.012829805786,-0.552500000000,0.000000000000,-0.353055555000
2025,C0_BASELINE,1386,147.189394520000,1.495443388063,17.273405884000,-4.386703297000,-7.080357897000
2025,C1_MINUS_CHINA4,1159,111.937394525000,1.422106810900,17.068128106000,-4.386703297000,-6.527607293000
2025,DELTA_C1_MINUS_C0,-227,-35.251999995000,-0.073336577163,-0.205277778000,0.000000000000,0.552750604000
2026,C0_BASELINE,995,19.818791349000,1.095529248887,18.954206168000,-4.579584304000,-5.397048173000
2026,C1_MINUS_CHINA4,834,18.594624678000,1.105966356608,16.391483949000,-4.579584304000,-4.796080696000
2026,DELTA_C1_MINUS_C0,-161,-1.224166671000,0.010437107720,-2.562722219000,0.000000000000,0.600967477000
