Segment,Trades,Wins,WinRatePct,TotalR,PF,MaxDDR,AvgR
2015,1378,722,52.395,92.171476,1.244601,21.007598,0.066888
2016,1405,792,56.370,210.801980,1.587640,13.124160,0.150037
2017,1389,785,56.515,102.054570,1.378209,25.011965,0.073473
2018,1385,762,55.018,116.556513,1.438216,12.213946,0.084156
2019,1391,732,52.624,54.801888,1.236708,27.540956,0.039397
2020,1411,758,53.721,131.287851,1.396600,15.515686,0.093046
2021,1397,770,55.118,60.813996,1.263305,12.260243,0.043532
2022,1383,753,54.447,163.991920,1.460197,13.239666,0.118577
2023,1384,777,56.142,160.985032,1.537135,22.196976,0.116319
2024,1394,763,54.735,129.794238,1.471284,12.974713,0.093109
2025,1386,761,54.906,147.189395,1.495443,17.273406,0.106197
2026,995,512,51.457,19.818791,1.095529,18.954206,0.019918
