Mode,ThresholdR,Segment,BaselineTrades,ExecutedTrades,BlockedTrades,ExecutionRatePct,Wins,WinRatePct,TotalR,PF,MaxDDR,AvgR,WorstDayR,WorstWeekR,BaselineTotalR,DeltaR,AvoidedLossR,MissedProfitR,ThresholdReachedDays,DaysWithBlockedEntries
NONE,NaN,FULL,16298,16298,0,100.000,8887,54.528,1390.267649,1.397117,27.540956,0.085303,-12.000000,-14.455836,1390.267649,0.000000,-0.000000,0.000000,0,0
NONE,NaN,IS,9756,9756,0,100.000,5321,54.541,768.488273,1.372171,27.540956,0.078771,-12.000000,-14.455836,768.488273,0.000000,-0.000000,0.000000,0,0
NONE,NaN,OOS1,5547,5547,0,100.000,3054,55.057,601.960585,1.489975,22.196976,0.108520,-10.880000,-12.824402,601.960585,0.000000,-0.000000,0.000000,0,0
NONE,NaN,OOS2,995,995,0,100.000,512,51.457,19.818791,1.095529,18.954206,0.019918,-4.579584,-5.397048,19.818791,0.000000,-0.000000,0.000000,0,0
NONE,NaN,OOS_COMBINED,6542,6542,0,100.000,3566,54.509,621.779376,1.432989,22.196976,0.095044,-10.880000,-12.824402,621.779376,0.000000,-0.000000,0.000000,0,0
DAILY_STOP,-4.0,FULL,16298,16208,90,99.448,8843,54.559,1392.888070,1.401592,27.540956,0.085938,-7.880000,-10.800584,1390.267649,2.620421,32.485297,29.864876,61,29
DAILY_STOP,-4.0,IS,9756,9694,62,99.364,5293,54.601,770.737662,1.377502,27.540956,0.079507,-7.261429,-10.800584,768.488273,2.249388,23.204408,20.955020,40,18
DAILY_STOP,-4.0,OOS1,5547,5522,25,99.549,3040,55.053,603.002779,1.494546,18.583552,0.109200,-7.880000,-9.210977,601.960585,1.042194,9.247556,8.205361,19,10
DAILY_STOP,-4.0,OOS2,995,992,3,99.698,510,51.411,19.147630,1.092309,18.954206,0.019302,-4.579584,-5.397048,19.818791,-0.671162,0.033333,0.704495,2,1
DAILY_STOP,-4.0,OOS_COMBINED,6542,6514,28,99.572,3550,54.498,622.150409,1.436065,18.954206,0.095510,-7.880000,-9.210977,621.779376,0.371033,9.280889,8.909856,21,11
