Mode,ThresholdR,Segment,BaselineTrades,ExecutedTrades,BlockedTrades,ExecutionRatePct,Wins,WinRatePct,TotalR,PF,MaxDDR,AvgR,WorstDayR,WorstWeekR,BaselineTotalR,DeltaR,AvoidedLossR,MissedProfitR,ThresholdReachedDays,DaysWithBlockedEntries
NONE,NaN,2015,1378,1378,0,100.000,722,52.395,92.171476,1.244601,21.007598,0.066888,-9.569121,-14.455836,92.171476,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2016,1405,1405,0,100.000,792,56.370,210.801980,1.587640,13.124160,0.150037,-8.417582,-10.076029,210.801980,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2017,1389,1389,0,100.000,785,56.515,102.054570,1.378209,25.011965,0.073473,-6.261274,-7.158273,102.054570,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2018,1385,1385,0,100.000,762,55.018,116.556513,1.438216,12.213946,0.084156,-5.092914,-7.487048,116.556513,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2019,1391,1391,0,100.000,732,52.624,54.801888,1.236708,27.540956,0.039397,-5.223544,-10.800584,54.801888,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2020,1411,1411,0,100.000,758,53.721,131.287851,1.396600,15.515686,0.093046,-12.000000,-7.386292,131.287851,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2021,1397,1397,0,100.000,770,55.118,60.813996,1.263305,12.260243,0.043532,-5.252857,-5.495048,60.813996,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2022,1383,1383,0,100.000,753,54.447,163.991920,1.460197,13.239666,0.118577,-7.928654,-8.382382,163.991920,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2023,1384,1384,0,100.000,777,56.142,160.985032,1.537135,22.196976,0.116319,-10.880000,-12.824402,160.985032,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2024,1394,1394,0,100.000,763,54.735,129.794238,1.471284,12.974713,0.093109,-3.693846,-6.500296,129.794238,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2025,1386,1386,0,100.000,761,54.906,147.189395,1.495443,17.273406,0.106197,-4.386703,-7.080358,147.189395,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2026,995,995,0,100.000,512,51.457,19.818791,1.095529,18.954206,0.019918,-4.579584,-5.397048,19.818791,0.000000,-0.000000,0.000000,0,0
DAILY_STOP,-4.0,2015,1378,1355,23,98.331,712,52.546,95.977134,1.261743,17.009239,0.070832,-7.000000,-10.457477,92.171476,3.805658,10.140325,6.334667,10,6
DAILY_STOP,-4.0,2016,1405,1389,16,98.861,783,56.371,205.211303,1.577587,13.099484,0.147740,-7.261429,-10.051352,210.801980,-5.590677,3.435497,9.026175,9,5
DAILY_STOP,-4.0,2017,1389,1389,0,100.000,785,56.515,102.054570,1.378209,25.011965,0.073473,-6.261274,-7.158273,102.054570,0.000000,-0.000000,0.000000,5,0
DAILY_STOP,-4.0,2018,1385,1383,2,99.856,762,55.098,118.274291,1.447564,10.892252,0.085520,-4.948129,-7.150799,116.556513,1.717778,1.717778,0.000000,3,1
DAILY_STOP,-4.0,2019,1391,1387,4,99.712,729,52.559,54.215220,1.234258,27.540956,0.039088,-5.368929,-10.800584,54.801888,-0.586667,0.082273,0.668940,3,1
DAILY_STOP,-4.0,2020,1411,1397,14,99.008,752,53.830,133.479431,1.412080,14.712815,0.095547,-7.000000,-8.745181,131.287851,2.191580,7.116818,4.925238,7,4
DAILY_STOP,-4.0,2021,1397,1394,3,99.785,770,55.237,61.525713,1.267210,11.548526,0.044136,-4.891746,-4.783330,60.813996,0.711717,0.711717,0.000000,3,1
DAILY_STOP,-4.0,2022,1383,1371,12,99.132,746,54.413,162.021801,1.459280,13.688702,0.118178,-6.600748,-8.912432,163.991920,-1.970119,3.578222,5.548341,11,5
DAILY_STOP,-4.0,2023,1384,1376,8,99.422,773,56.177,163.274012,1.551525,18.583552,0.118658,-7.880000,-9.210977,160.985032,2.288980,3.669333,1.380354,4,2
DAILY_STOP,-4.0,2024,1394,1393,1,99.928,762,54.702,129.324905,1.469580,13.444047,0.092839,-3.693846,-6.500296,129.794238,-0.469333,-0.000000,0.469333,1,1
DAILY_STOP,-4.0,2025,1386,1382,4,99.711,759,54.920,148.382061,1.502843,17.273406,0.107368,-4.386703,-7.080358,147.189395,1.192667,2.000000,0.807333,3,2
DAILY_STOP,-4.0,2026,995,992,3,99.698,510,51.411,19.147630,1.092309,18.954206,0.019302,-4.579584,-5.397048,19.818791,-0.671162,0.033333,0.704495,2,1
