Mode,ThresholdR,Segment,BaselineTrades,ExecutedTrades,BlockedTrades,ExecutionRatePct,Wins,WinRatePct,TotalR,PF,MaxDDR,AvgR,WorstDayR,WorstWeekR,BaselineTotalR,DeltaR,AvoidedLossR,MissedProfitR,ThresholdReachedDays,DaysWithBlockedEntries
NONE,NaN,2015,1378,1378,0,100.000,722,52.395,92.171476,1.244601,21.007598,0.066888,-9.569121,-14.455836,92.171476,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2016,1405,1405,0,100.000,792,56.370,210.801980,1.587640,13.124160,0.150037,-8.417582,-10.076029,210.801980,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2017,1389,1389,0,100.000,785,56.515,102.054570,1.378209,25.011965,0.073473,-6.261274,-7.158273,102.054570,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2018,1385,1385,0,100.000,762,55.018,116.556513,1.438216,12.213946,0.084156,-5.092914,-7.487048,116.556513,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2019,1391,1391,0,100.000,732,52.624,54.801888,1.236708,27.540956,0.039397,-5.223544,-10.800584,54.801888,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2020,1411,1411,0,100.000,758,53.721,131.287851,1.396600,15.515686,0.093046,-12.000000,-7.386292,131.287851,0.000000,-0.000000,0.000000,0,0
NONE,NaN,2021,1397,1397,0,100.000,770,55.118,60.813996,1.263305,12.260243,0.043532,-5.252857,-5.495048,60.813996,0.000000,-0.000000,0.000000,0,0
DAILY_STOP,-1.0,2015,1378,1126,252,81.713,581,51.599,67.852515,1.225286,19.311319,0.060260,-7.000000,-10.457477,92.171476,-24.318960,75.640053,99.959013,91,70
DAILY_STOP,-1.0,2016,1405,1157,248,82.349,649,56.093,154.589988,1.524478,16.268846,0.133613,-7.261429,-9.236737,210.801980,-56.211992,63.975950,120.187942,87,64
DAILY_STOP,-1.0,2017,1389,1204,185,86.681,687,57.060,98.458569,1.430138,17.019631,0.081776,-6.370256,-4.915608,102.054570,-3.596001,40.936739,44.532740,72,55
DAILY_STOP,-1.0,2018,1385,1236,149,89.242,677,54.773,94.073896,1.394797,11.952561,0.076112,-4.092914,-6.190599,116.556513,-22.482618,27.695542,50.178160,66,47
DAILY_STOP,-1.0,2019,1391,1245,146,89.504,652,52.369,48.214371,1.232009,26.722450,0.038726,-5.368929,-9.998967,54.801888,-6.587516,23.704162,30.291679,64,42
DAILY_STOP,-1.0,2020,1411,1248,163,88.448,669,53.606,114.685489,1.402351,17.139406,0.091895,-7.000000,-8.745181,131.287851,-16.602362,45.994978,62.597341,73,45
DAILY_STOP,-1.0,2021,1397,1286,111,92.054,716,55.677,60.000288,1.281845,11.732115,0.046657,-4.891746,-4.041111,60.813996,-0.813707,18.080093,18.893800,52,32
DAILY_STOP,-1.5,2015,1378,1246,132,90.421,653,52.408,87.382899,1.257844,21.403395,0.070131,-7.000000,-10.457477,92.171476,-4.788577,37.926416,42.714993,65,41
DAILY_STOP,-1.5,2016,1405,1267,138,90.178,717,56.590,184.839762,1.577335,14.305649,0.145888,-7.261429,-9.236737,210.801980,-25.962219,38.566095,64.528314,54,41
DAILY_STOP,-1.5,2017,1389,1315,74,94.672,745,56.654,104.718255,1.417196,22.130151,0.079634,-6.370256,-6.430396,102.054570,2.663685,18.831487,16.167801,34,21
DAILY_STOP,-1.5,2018,1385,1311,74,94.657,723,55.149,113.466035,1.455207,10.207077,0.086549,-4.092914,-6.190599,116.556513,-3.090478,16.717573,19.808050,39,23
DAILY_STOP,-1.5,2019,1391,1325,66,95.255,696,52.528,54.695361,1.247045,25.710058,0.041280,-5.368929,-10.719321,54.801888,-0.106527,10.118242,10.224768,34,22
DAILY_STOP,-1.5,2020,1411,1326,85,93.976,708,53.394,118.613729,1.386195,15.795709,0.089452,-7.000000,-8.745181,131.287851,-12.674122,23.899201,36.573322,47,23
DAILY_STOP,-1.5,2021,1397,1353,44,96.850,749,55.358,62.219569,1.278107,9.923666,0.045986,-4.891746,-4.041111,60.813996,1.405573,7.239066,5.833493,28,13
DAILY_STOP,-2.0,2015,1378,1285,93,93.251,671,52.218,89.861913,1.258142,18.729765,0.069931,-7.000000,-10.457477,92.171476,-2.309563,28.713958,31.023521,47,26
DAILY_STOP,-2.0,2016,1405,1301,104,92.598,733,56.341,188.092091,1.562419,12.393757,0.144575,-7.261429,-9.236737,210.801980,-22.709890,24.292095,47.001985,46,34
DAILY_STOP,-2.0,2017,1389,1339,50,96.400,763,56.983,109.858223,1.430661,22.130151,0.082045,-6.370256,-6.430396,102.054570,7.803654,14.744153,6.940500,26,15
DAILY_STOP,-2.0,2018,1385,1334,51,96.318,736,55.172,114.154562,1.448563,10.496168,0.085573,-4.092914,-5.822058,116.556513,-2.401951,11.490239,13.892190,23,15
DAILY_STOP,-2.0,2019,1391,1354,37,97.340,708,52.290,53.586123,1.235577,26.415914,0.039576,-5.368929,-10.719321,54.801888,-1.215765,4.049112,5.264877,19,14
DAILY_STOP,-2.0,2020,1411,1360,51,96.386,724,53.235,115.510352,1.363656,16.453487,0.084934,-7.000000,-8.745181,131.287851,-15.777499,13.396994,29.174493,33,15
DAILY_STOP,-2.0,2021,1397,1359,38,97.280,751,55.261,60.986808,1.270748,9.923666,0.044876,-4.891746,-4.041111,60.813996,0.172812,5.711254,5.538442,21,12
DAILY_STOP,-2.5,2015,1378,1336,42,96.952,697,52.171,91.087749,1.249690,17.132915,0.068179,-7.000000,-10.457477,92.171476,-1.083727,12.020355,13.104082,28,13
DAILY_STOP,-2.5,2016,1405,1345,60,95.730,753,55.985,193.110069,1.559998,12.284868,0.143576,-7.261429,-9.236737,210.801980,-17.691912,13.885720,31.577631,35,21
DAILY_STOP,-2.5,2017,1389,1371,18,98.704,775,56.528,103.187172,1.387731,24.677380,0.075264,-6.261274,-7.158273,102.054570,1.132602,3.705906,2.573305,17,6
DAILY_STOP,-2.5,2018,1385,1363,22,98.412,753,55.246,119.703637,1.461964,10.496168,0.087824,-4.092914,-5.822058,116.556513,3.147124,6.860709,3.713586,12,7
DAILY_STOP,-2.5,2019,1391,1371,20,98.562,719,52.443,53.617779,1.233608,27.373692,0.039109,-5.368929,-10.719321,54.801888,-1.184108,1.995779,3.179887,12,8
DAILY_STOP,-2.5,2020,1411,1390,21,98.512,745,53.597,126.660681,1.391029,14.712815,0.091123,-7.000000,-8.745181,131.287851,-4.627170,7.116818,11.743988,16,7
DAILY_STOP,-2.5,2021,1397,1380,17,98.783,762,55.217,61.133915,1.266820,11.046999,0.044300,-4.891746,-4.783330,60.813996,0.319919,1.843446,1.523527,12,6
DAILY_STOP,-3.0,2015,1378,1342,36,97.388,700,52.161,91.467941,1.249633,17.009239,0.068158,-7.000000,-10.457477,92.171476,-0.703535,10.414991,11.118526,17,11
DAILY_STOP,-3.0,2016,1405,1359,46,96.726,764,56.218,199.819592,1.574916,13.284868,0.147034,-7.261429,-10.236737,210.801980,-10.982388,11.163053,22.145441,21,14
DAILY_STOP,-3.0,2017,1389,1381,8,99.424,781,56.553,102.985014,1.385100,25.011965,0.074573,-6.261274,-7.158273,102.054570,0.930444,2.412222,1.481778,13,1
DAILY_STOP,-3.0,2018,1385,1378,7,99.495,760,55.152,121.199975,1.463902,10.496168,0.087954,-4.092914,-5.769270,116.556513,4.643462,4.717778,0.074316,8,4
DAILY_STOP,-3.0,2019,1391,1383,8,99.425,726,52.495,54.010464,1.233537,27.662855,0.039053,-5.368929,-10.922483,54.801888,-0.791424,0.244495,1.035919,5,2
DAILY_STOP,-3.0,2020,1411,1391,20,98.583,746,53.630,127.594014,1.393910,14.712815,0.091728,-7.000000,-8.745181,131.287851,-3.693836,7.116818,10.810655,12,6
DAILY_STOP,-3.0,2021,1397,1384,13,99.069,764,55.202,60.863935,1.265014,11.046999,0.043977,-4.891746,-4.783330,60.813996,0.049940,1.301022,1.251082,8,4
DAILY_STOP,-4.0,2015,1378,1355,23,98.331,712,52.546,95.977134,1.261743,17.009239,0.070832,-7.000000,-10.457477,92.171476,3.805658,10.140325,6.334667,10,6
DAILY_STOP,-4.0,2016,1405,1389,16,98.861,783,56.371,205.211303,1.577587,13.099484,0.147740,-7.261429,-10.051352,210.801980,-5.590677,3.435497,9.026175,9,5
DAILY_STOP,-4.0,2017,1389,1389,0,100.000,785,56.515,102.054570,1.378209,25.011965,0.073473,-6.261274,-7.158273,102.054570,0.000000,-0.000000,0.000000,5,0
DAILY_STOP,-4.0,2018,1385,1383,2,99.856,762,55.098,118.274291,1.447564,10.892252,0.085520,-4.948129,-7.150799,116.556513,1.717778,1.717778,0.000000,3,1
DAILY_STOP,-4.0,2019,1391,1387,4,99.712,729,52.559,54.215220,1.234258,27.540956,0.039088,-5.368929,-10.800584,54.801888,-0.586667,0.082273,0.668940,3,1
DAILY_STOP,-4.0,2020,1411,1397,14,99.008,752,53.830,133.479431,1.412080,14.712815,0.095547,-7.000000,-8.745181,131.287851,2.191580,7.116818,4.925238,7,4
DAILY_STOP,-4.0,2021,1397,1394,3,99.785,770,55.237,61.525713,1.267210,11.548526,0.044136,-4.891746,-4.783330,60.813996,0.711717,0.711717,0.000000,3,1
