Candidate,RiskPct,BaselineFinalCapital,CandidateFinalCapital,DeltaTrades,DeltaStartCapital,DeltaFinalCapital,DeltaNetProfitJPY,DeltaReturnPct,DeltaMaxDDJPY,DeltaMaxDDPct,DeltaWorstDayPct,DeltaWorstWeekPct,DeltaMoneyRoMD,DeltaMoneyPF
D1_MINUS_22,0.25,524211.0198074144571586083423975268732396,527240.1863961589349293664878766305757157,-29,0,3029.1665887444777707581454791037024761,3029.1665887444777707581454791037024761,0.605833317748895554151629095820740495220,-6412.3915786262174044022643358873893936,-1.160010667488247674880526744889284223165,-4E-39,0.027027583527583527583527583527583527579,0.4936379313354289751013206514539160445751,0.016506191368610150281522849798010928876
D2_MINUS_18,0.25,524211.0198074144571586083423975268732396,518030.5981311989287418323083716800073671,-61,0,-6180.4216762155284167760340258468658725,-6180.4216762155284167760340258468658725,-1.236084335243105683355206805169373174500,-356.2502482513397219919478727572451604,-0.017435444300403444913027895134268708146,0.131939845579634577373838865926281148585,0.184366744366744366744366744366744366742,-0.2360164578183327791974760393347705528187,-0.018391611517463652053104332135073317808
D3_MINUS_20,0.25,524211.0198074144571586083423975268732396,525907.3054543580972883661535325545229871,-54,0,1696.2856469436401297578111350276497475,1696.2856469436401297578111350276497475,0.339257129388728025951562227005529949500,-1407.3097769969344040892132039024282924,-0.266269620509370592723631694733196948632,0.001603555180185727772291002784846011333,-0.022000000000000000000000000000000000000,0.1289993187858244140555415544338774254481,0.011755552195900090260100272347067024241
D4_MINUS_23,0.25,524211.0198074144571586083423975268732396,523750.0559746092973016672429958566539888,-27,0,-460.9638328051598569410994016702192508,-460.9638328051598569410994016702192508,-0.092192766561031971388219880334043850160,-349.6258348272312230794158652122712337,-0.063841735039592186472432562037467628967,0E-39,0.018333333333333333333333333333333333335,-0.0049939212501674919568128439174794210789,-0.000601337923024098324242474208448874043
D1_MINUS_22,1.0,588769.8545127859248783234647910214631865,602808.9677806658988440870854442613644196,-29,0,14039.1132678799739657636206532399012331,14039.1132678799739657636206532399012331,2.80782265357599479315272413064798024662,-29755.4716676667751974058405954785430536,-4.05739428491783996756766350480841466445,4E-39,0.108110334110334110334110334110334110335,0.4216000496210099192272644789429626326978,0.016973848759082049092884491618172702657
D2_MINUS_18,1.0,588769.8545127859248783234647910214631865,564284.1488330346648211304904717215741120,-61,0,-24485.7056797512600571929743192998890745,-24485.7056797512600571929743192998890745,-4.89714113595025201143859486385997781490,-3718.2902935102337658049494265200564308,0.06006199312251612040572298462688864434,0.537960494972752160653099471315290615280,0.737466977466977466977466977466977466981,-0.1916471039855675995165681162813746699642,-0.015924588695360216771426525503671958810
D3_MINUS_20,1.0,588769.8545127859248783234647910214631865,598067.1551058206562926584243616354155609,-54,0,9297.3005930347314143349595706139523744,9297.3005930347314143349595706139523744,1.85946011860694628286699191412279047488,-5473.5812888708316847665402513769384907,-0.94825037798830693867253666039179400839,0.026544625389304510767213366012245345595,-0.087999999999999999999999999999999999996,0.1209826748848819708953820399242476298413,0.012295253117663497782948020598964603529
D4_MINUS_23,1.0,588769.8545127859248783234647910214631865,586868.6409469604597206535703576298623442,-27,0,-1901.2135658254651576698944333916008423,-1901.2135658254651576698944333916008423,-0.38024271316509303153397888667832016846,-1535.4835929185483014868200064191839354,-0.22110760325021177065728346469133048490,-2E-39,0.073333333333333333333333333333333333315,-0.0063676207067214519160324188890334249023,-0.000604349634546807309234070874503934758
D1_MINUS_22,1.5,623594.1374961143567512499623452066201722,646281.2314910380264183421269448891772271,-29,0,22687.0939949236696670921645996825570549,22687.0939949236696670921645996825570549,4.53741879898473393341843291993651141098,-47038.0236249949617348049233839388185336,-5.38580530361321584009662364775502049074,4E-39,0.162165501165501165501165501165501165517,0.3699576318944454667914870644279173666551,0.017021648044866835518497791193081046564
D2_MINUS_18,1.5,623594.1374961143567512499623452066201722,587725.7665627864312697413938486496022709,-61,0,-35868.3709333279254815085684965570179013,-35868.3709333279254815085684965570179013,-7.17367418666558509630171369931140358026,-7588.3602034190307248821558199687996894,0.18428269632522106933094505334576895885,0.817474775654066417427453776570927793919,1.106200466200466200466200466200466200487,-0.1689888266076434137809210796803422577904,-0.014491384448663307085388839166435071983
D3_MINUS_20,1.5,623594.1374961143567512499623452066201722,640012.0025618608967316903538852237850156,-54,0,16417.8650657465399804403915400171648434,16417.8650657465399804403915400171648434,3.28357301314930799608807830800343296868,-7425.6556951172288930819155405903136902,-1.31282599152071370604636336128498107518,0.061115496035483232434722591045518344103,-0.131999999999999999999999999999999999985,0.1158051482876471237650487708424927742967,0.012473154357620799631763707692965740355
D4_MINUS_23,1.5,623594.1374961143567512499623452066201722,620737.0075507667344465910284978232694158,-27,0,-2857.1299453476223046589338473833507564,-2857.1299453476223046589338473833507564,-0.57142598906952446093178676947667015128,-2381.4043275745347234206290560504506178,-0.30083244967225008069961435764652145981,1.2E-38,0.110000000000000000000000000000000000009,-0.0069763365179238252090680787902630634086,-0.000601978828955447443240407302183917525
D1_MINUS_22,2.0,650709.1926875553547127590799382086369831,682750.5553111778974857811082028642388964,-29,0,32041.3626236225427730220282646556019133,32041.3626236225427730220282646556019133,6.40827252472450855460440565293112038266,-65243.2617856243921556176536150250071320,-6.33313021241362753211853598874728556558,-2.0E-38,0.21622066822066822066822066822066822065,0.3252971944913084959601763455073152753815,0.016887543114225899552350084147750467048
D2_MINUS_18,2.0,650709.1926875553547127590799382086369831,604646.4975638792380213400016687551073815,-61,0,-46062.6951236761166914190782694535296016,-46062.6951236761166914190782694535296016,-9.21253902473522333828381565389070592032,-12340.6260575715736546762088387515739533,0.33965429583515476082768907888108559169,1.104383300198234642574696159604265050548,1.474933954933954933954933954933954933944,-0.1500791571507012023696295140309764549639,-0.013193020311347207738755267002478372625
D3_MINUS_20,2.0,650709.1926875553547127590799382086369831,675745.2689566065599581362269525144790041,-54,0,25036.0762690512052453771470143058420210,25036.0762690512052453771470143058420210,5.00721525381024104907542940286116840420,-8125.8386168833130432862546300053373964,-1.61194974823624541255535893017688965491,0.111208826516407526914179702165957306667,-0.17600000000000000000000000000000000001,0.1109553427596526114514972632979835927757,0.012539377301901227163514707499375923915
D4_MINUS_23,2.0,650709.1926875553547127590799382086369831,646947.4986185294003480399753351844920333,-27,0,-3761.6940690259543647191046030241449498,-3761.6940690259543647191046030241449498,-0.75233881380519087294382092060482898996,-3211.0976239171090496291751660056915005,-0.36333983628172569912119968348528314502,4E-39,0.14666666666666666666666666666666666667,-0.0073690000241223806125001534748673343497,-0.000596304569679910701236700112128724860
