StrategyNo,Strategy,Classification,Historical_Trades,Historical_AvgR,Historical_TotalR,Historical_PF,RecentA_Trades,RecentA_AvgR,RecentA_TotalR,RecentA_PF,RecentB_Trades,RecentB_AvgR,RecentB_TotalR,RecentB_PF,RecentCombined_Trades,RecentCombined_AvgR,RecentCombined_TotalR,RecentCombined_PF,Monitor2026_Trades,Monitor2026_AvgR,Monitor2026_TotalR,Monitor2026_PF,HistoricalEdgeConfirmed,UndefinedClassificationMetric,MonitorUsedForClassification,AutomaticStop
1,1_EJ_Log1,STABLE,510,0.1119747899098039215686274510,57.107142854,1.470593082624532259240442980,147,0.2974441204897959183673469388,43.724285712,2.060019394493245377480137247,147,0.188707483,27.740000001,1.695113656713188895864402601,294,0.2430758017448979591836734694,71.464285713,1.880582302048525070064398112,48,0.02690476183333333333333333333,1.291428568,1.094107849003197347574166367,True,False,False,False
2,2_EJ_NightBlitz_20,STABLE,622,0.09366916759485530546623794212,58.262222244,1.345141713851247152287602244,177,0.1663527935536723163841807910,29.444444459,1.496701154841430499325236167,172,0.1300258398488372093023255814,22.364444454,1.413798774910996631766097096,349,0.1484495384326647564469914040,51.808888913,1.457164147130083595316343367,58,0.04965517244827586206896551724,2.880000002,1.198104555330072851477457276,True,False,False,False
3,3_EJ_NightBlitz_21,STABLE,621,0.04562962961030595813204508857,28.335999988,1.289131055758726808206985976,177,0.1090922786723163841807909605,19.309333325,1.637524211734020073956682515,173,0.1040385356242774566473988439,17.998666663,1.625388000799166087560806115,350,0.10659428568,37.307999988,1.631611024378682196790140177,58,0.05891954022413793103448275862,3.417333333,1.492979418999858710473188299,True,False,False,False
4,4_GJ_Port_Log1,STABLE,572,0.03057423344230769230769230769,17.488461529,1.291175717053346498075922030,161,0.06298614425465838509316770186,10.140769225,1.698363086898480641042667319,161,0.05102723357763975155279503106,8.215384606,1.527615847490273334591616276,322,0.05700668891614906832298136646,18.356153831,1.610010480226205311751168033,62,0.05447890817741935483870967742,3.377692307,1.778822277229889636799753642,True,False,False,False
5,5_GJ_Port_Log2,STABLE,743,0.09615223568102288021534320323,71.441111111,1.326173747622718181982680546,211,0.1157030015734597156398104265,24.413333332,1.361613534979218951416136071,219,0.05315575851141552511415525114,11.641111114,1.164740475214312355291690651,430,0.08384754522325581395348837209,36.054444446,1.260932147516251059646056126,79,-0.03343178618987341772151898734,-2.641111109,0.8942521577432134985692899234,True,False,False,False
6,6_GJ_Old_Mon,STABLE,295,0.07314576271186440677966101695,21.578,1.188932667892478767183258909,84,0.2709761904761904761904761905,22.762,1.685189644792293798916315473,84,0.3923333333333333333333333333,32.956,2.276078370634244559745992411,168,0.3316547619047619047619047619,55.718,1.943637164244826067811536768,28,0.203,5.684,1.593071786310517529215358932,True,False,False,False
7,7_GJ_Mon_Blitz,STABLE,352,0.01680506990056818181818181818,5.915384605,1.137086423013933256802394834,100,0.05730769232,5.730769232,1.417741392948897882458749508,101,0.1085072353267326732673267327,10.959230768,2.092142582983086086067645315,201,0.08303482587064676616915422886,16.690000000,1.702645811012124274505964873,36,0.06192307694444444444444444444,2.229230770,1.767885532876732526043368641,True,False,False,False
8,8_AJ_Core1,STABLE,354,0.05833736883615819209039548023,20.651428568,1.305288055362792329551601654,100,0.16028571426,16.028571426,1.650321683111357870891386211,100,0.15284285715,15.284285715,1.869272018381422167432795282,200,0.156564285705,31.312857141,1.741483711673358627674483413,36,0.07738095236111111111111111111,2.785714285,1.276399716430486192072410226,True,False,False,False
9,9_AJ_Core2,STABLE,206,0.1988025890194174757281553398,40.953333338,1.558988125102306531236221967,57,0.3827485380175438596491228070,21.816666667,2.109134045037664766393611349,57,0.04976608189473684210526315789,2.836666668,1.112804878104793342473615942,114,0.2162573099561403508771929825,24.653333335,1.550092971397916749933819883,20,-0.1318333333,-2.636666666,0.7432651737098344693281402142,True,False,False,False
10,10_AJ_SatA,STABLE,239,-0.001857740585774058577405857741,-0.444,0.9833345844906538548157045267,70,0.04334285714285714285714285714,3.034,1.353695500116577290743763115,69,0.01773913043478260869565217391,1.224,1.146868250539956803455723542,139,0.03063309352517985611510791367,4.258,1.251773888363292336802270577,25,-0.0376,-0.940,0.7269029633933759442184776293,False,False,False,False
11,11_AJ_SatB,STABLE,238,0.07265851790756302521008403361,17.292727262,1.372965765756330813384229133,70,0.08236363632857142857142857143,5.765454543,1.334634866872381022220748152,70,0.03703896102857142857142857143,2.592727272,1.169701297110195183828515949,140,0.05970129867857142857142857143,8.358181815,1.257117288335318143333848243,25,-0.10181818184,-2.545454546,0.6185286102880710377266455979,True,False,False,False
12,12_UJ_Short_Core,STABLE,327,0.1845688073394495412844036697,60.354,2.084976719938159526848472864,92,0.4753913043478260869565217391,43.736,3.387857610832059401616073378,94,0.302,28.388,2.032328448307211171315320557,186,0.3877634408602150537634408602,72.124,2.574244243151806177016261050,33,-0.09469696969696969696969696970,-3.125,0.6426529445397369925671812464,True,False,False,False
13,13_UJ_Fix_MidWeek,STABLE,132,0.07497607657575757575757575758,9.896842108,2.737892791945432057586451693,38,0.1267867035526315789473684211,4.817894735,2.611052445053604254906144001,38,0.1288919666578947368421052632,4.897894733,2.389784944482181627487607346,76,0.1278393351052631578947368421,9.715789468,2.491355629422971727110490831,15,-0.03522807026666666666666666667,-0.528421054,0.7609523803560997732994190692,True,False,False,False
14,14_UJ_Sat_3rd,INSUFFICIENT SAMPLE,43,0.1967958656744186046511627907,8.462222224,2.152891311171662125340599455,11,0.8155555558181818181818181818,8.971111114,8.462107212654733311026752923,13,0.7818803421538461538461538462,10.164444448,6.082222224,24,0.7973148150833333333333333333,19.135555562,6.975711314016357481888713219,6,0.105925926,0.635555556,1.412698412987012987012987013,True,False,False,False
15,15_UJ_Sat_Aug,INSUFFICIENT SAMPLE,42,0.3232142857142857142857142857,13.575,1.964133522727272727272727273,12,-0.08333333333333333333333333333,-1.00,0.875,11,0.50,5.50,2.1,23,0.1956521739130434782608695652,4.50,1.346153846153846153846153846,5,1.20,6.00,7.0,True,False,False,False
16,16_UJ_T10A,INSUFFICIENT SAMPLE,37,0.1524924924864864864864864865,5.642222222,1.919261404709657443710729274,10,0.2797777778,2.797777778,4.873846155345798817029476559,9,0.3365432097777777777777777778,3.028888888,3.524074073333333333333333333,19,0.3066666666315789473684210526,5.826666666,4.031213872835978482408783640,4,0.068888889,0.275555556,1.207357859848883122086213786,True,False,False,False
17,17_EA_1B_Wed_Short,STABLE,215,0.1657009966651162790697674419,35.625714283,1.652349063457127246380065635,63,0.1897052154126984126984126984,11.951428571,1.720523641354926566543406481,54,0.1026190476481481481481481481,5.541428573,1.476184630593455588220467303,117,0.1495115995213675213675213675,17.492857144,1.619780331046723178340671074,19,-0.017744361,-0.337142859,0.9096131745308310991957104558,True,False,False,False
18,18_EA_2_MonWed_Short,EDGE LOST,573,0.06761877060732984293193717277,38.745555558,1.242737910457636275627209128,152,-0.08858918125657894736842105263,-13.465555551,0.7767276479614235665051044128,167,0.05298070527544910179640718563,8.847777781,1.241142268898770466746912886,319,-0.01447579238244514106583072100,-4.617777770,0.9523945889139988672409754160,61,0.08074681237704918032786885246,4.925555555,1.408835193158556945620980228,True,False,False,False
19,19_EA_3_WedThu_Long,STABLE,432,0.08779835394444444444444444444,37.928888904,1.411192888399142759745046360,120,0.145222222275,17.426666673,1.728235130566505234481112013,107,0.08069574247663551401869158879,8.634444445,1.380558276188880473812004265,227,0.1148066569074889867841409692,26.061111118,1.559024715926879841943115857,44,-0.01941919195454545454545454545,-0.854444446,0.8988956085684824435226899613,True,False,False,False
20,20_EA_1A_MonTue_Short,EDGE DECAY,455,0.05196483516483516483516483516,23.644,1.206808480862081030018893010,120,0.0292,3.504,1.091847968545216251638269987,141,-0.01164539007092198581560283688,-1.642,0.9578108941418293936279547790,261,0.007134099616858237547892720307,1.862,1.024159854677565849227974569,54,-0.02207407407407407407407407407,-1.192,0.8928443006112909025530384754,True,False,False,False
21,21_GA_B_3,STABLE,351,0.01531857036752136752136752137,5.376818199,1.158472215276973590587812964,99,0.01441230490909090909090909091,1.426818186,1.162617210275503246504031235,102,0.01045454548039215686274509804,1.066363639,1.123623333841978078839453440,201,0.01240388967661691542288557214,2.493181825,1.143286311814548577428631857,35,0.02927272734285714285714285714,1.024545457,1.567615212577753815918704403,True,False,False,False
22,22_GA_C_2,EDGE LOST,274,0.1437122002627737226277372263,39.377142872,1.443493371260416355845413929,79,-0.02925858948101265822784810127,-2.311428569,0.9248630074165279882631349123,79,-0.06036166363291139240506329114,-4.768571427,0.8093442998082478461241989007,158,-0.04481012655696202531645569620,-7.079999996,0.8730597818445420817675556687,29,-0.07871921186206896551724137931,-2.282857144,0.7646539027046748553912706335,True,False,False,False
23,23_GA_F_2,EDGE DECAY,252,0.07429012346428571428571428571,18.721111113,1.439554419298684089268063794,77,-0.04694083697402597402597402597,-3.614444447,0.6959244717085958692664001378,78,0.05314814808974358974358974359,4.145555551,1.587466539862434304249549356,155,0.003426523251612903225806451613,0.531111104,1.028036834622690204386456751,27,0.01341563796296296296296296296,0.362222225,1.144439522698760849055390943,True,False,False,False
24,24_GA_D_1,STABLE,252,0.06283068782142857142857142857,15.833333331,1.336577070196214167273825944,77,0.1186147185844155844155844156,9.133333331,1.760618117614816329288766729,78,-0.01561253561538461538461538462,-1.217777778,0.9119537274896525845717356409,155,0.05106810034193548387096774194,7.915555553,1.306342721883193174720137898,27,0.02921810696296296296296296296,0.788888888,1.205916473091818923233521430,True,False,False,False
25,25_AU_China_Demand,STABLE,614,0.05365228013029315960912052117,32.9425,1.316922410890374717398624272,174,0.05760057471264367816091954023,10.0225,1.285074308469032212188011093,173,0.04104046242774566473988439306,7.1000,1.321194299932142049310110835,347,0.04934438040345821325648414986,17.1225,1.299017681728880157170923379,61,-0.006434426229508196721311475410,-0.3925,0.9636994219653179190751445087,True,False,False,False
26,26_AJ_China_Demand,STABLE,308,0.09252525255194805194805194805,28.497777786,1.460897067443669478679226155,89,0.1847440698988764044943820225,16.442222221,1.974578503622066507531757551,87,0.1259003830804597701149425287,10.953333328,1.711768952624378266426980599,176,0.1556565656193181818181818182,27.395555549,1.849211269290191489814619250,30,0.1093333333666666666666666667,3.280000001,1.579960707400396015135528800,True,False,False,False
27,27_EA_China_Demand,STABLE,350,0.09446666664285714285714285714,33.063333325,1.492184786228361027038313435,100,0.06978333335,6.978333335,1.324724678252650039855993489,98,0.1605782313061224489795918367,15.736666668,2.600881654933875890132248220,198,0.1147222222373737373737373737,22.715000003,1.725255427983732785950429935,35,-0.03495238085714285714285714286,-1.223333330,0.8551411095151144001794096389,True,False,False,False
28,28_GA_China_Demand,STABLE,347,0.06403458209798270893371757925,22.219999988,1.311338202996213976264138378,100,0.05990666663,5.990666663,1.315431058498315080033698399,98,0.1713741496122448979591836735,16.794666662,2.628652702058635832239976322,198,0.1150774410353535353535353535,22.785333325,1.777550277292436195648800034,35,-0.01257142857142857142857142857,-0.440000000,0.9377945334560694879102766017,True,False,False,False
