StrategyNo,Strategy,Period,Start,EndExclusive,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
1,1_EJ_Log1,Historical,2015-01-01,2022-01-01,510,57.107142854,0.1119747899098039215686274510,1.470593082624532259240442980,0.5686274509803921568627450980,0.6153743842379310344827586207,-0.5515974026136363636363636364,9.908571429,6,73,0.1431372549019607843137254902,2,0.003921568627450980392156862745,435,0.8529411764705882352941176471,0,0
1,1_EJ_Log1,RecentA,2022-01-01,2024-01-01,147,43.724285712,0.2974441204897959183673469388,2.060019394493245377480137247,0.6054421768707482993197278912,0.9547512038539325842696629213,-0.7111822660517241379310344828,3.557142857,5,32,0.2176870748299319727891156463,1,0.006802721088435374149659863946,114,0.7755102040816326530612244898,0,0
1,1_EJ_Log1,RecentB,2024-01-01,2026-01-01,147,27.740000001,0.188707483,1.695113656713188895864402601,0.5646258503401360544217687075,0.8150258175783132530120481928,-0.62354910715625,6.654285714,7,32,0.2176870748299319727891156463,1,0.006802721088435374149659863946,114,0.7755102040816326530612244898,0,0
1,1_EJ_Log1,RecentCombined,2022-01-01,2026-01-01,294,71.464285713,0.2430758017448979591836734694,1.880582302048525070064398112,0.5850340136054421768707482993,0.8873255814069767441860465116,-0.6652107728606557377049180328,6.654285714,7,64,0.2176870748299319727891156463,2,0.006802721088435374149659863946,228,0.7755102040816326530612244898,0,0
1,1_EJ_Log1,Monitor2026,2026-01-01,2026-09-10,48,1.291428568,0.02690476183333333333333333333,1.094107849003197347574166367,0.625,0.5004761904,-0.7623809524444444444444444444,4.460000001,4,12,0.25,0,0,36,0.75,0,0
2,2_EJ_NightBlitz_20,Historical,2015-01-01,2022-01-01,622,58.262222244,0.09366916759485530546623794212,1.345141713851247152287602244,0.5546623794212218649517684887,0.6581706925043478260869565217,-0.6138424242545454545454545455,7.624444446,9,115,0.1848874598070739549839228296,61,0.09807073954983922829581993569,446,0.7170418006430868167202572347,0,0
2,2_EJ_NightBlitz_20,RecentA,2022-01-01,2024-01-01,177,29.444444459,0.1663527935536723163841807910,1.496701154841430499325236167,0.5649717514124293785310734463,0.88724444459,-0.7698701298701298701298701299,7.115555552,6,53,0.2994350282485875706214689266,32,0.1807909604519774011299435028,92,0.5197740112994350282485875706,0,0
2,2_EJ_NightBlitz_20,RecentB,2024-01-01,2026-01-01,172,22.364444454,0.1300258398488372093023255814,1.413798774910996631766097096,0.5755813953488372093023255814,0.7718294052424242424242424242,-0.7403652967808219178082191781,7.251111111,8,45,0.2616279069767441860465116279,19,0.1104651162790697674418604651,108,0.6279069767441860465116279070,0,0
2,2_EJ_NightBlitz_20,RecentCombined,2022-01-01,2026-01-01,349,51.808888913,0.1484495384326647564469914040,1.457164147130083595316343367,0.5702005730659025787965616046,0.8298269124522613065326633166,-0.7555111111,7.251111111,8,98,0.2808022922636103151862464183,51,0.1461318051575931232091690544,200,0.5730659025787965616045845272,0,0
2,2_EJ_NightBlitz_20,Monitor2026,2026-01-01,2026-09-10,58,2.880000002,0.04965517244827586206896551724,1.198104555330072851477457276,0.5689655172413793103448275862,0.5278114478484848484848484848,-0.58151111108,2.699999999,4,10,0.1724137931034482758620689655,2,0.03448275862068965517241379310,46,0.7931034482758620689655172414,0,0
3,3_EJ_NightBlitz_21,Historical,2015-01-01,2022-01-01,621,28.335999988,0.04562962961030595813204508857,1.289131055758726808206985976,0.5458937198067632850241545894,0.3726843657404129793510324484,-0.3512688171971326164874551971,5.096000000,11,29,0.04669887278582930756843800322,52,0.08373590982286634460547504026,540,0.8695652173913043478260869565,0,0
3,3_EJ_NightBlitz_21,RecentA,2022-01-01,2024-01-01,177,19.309333325,0.1090922786723163841807909605,1.637524211734020073956682515,0.5932203389830508474576271186,0.4723555554761904761904761905,-0.4206666666666666666666666667,3.536000000,7,13,0.07344632768361581920903954802,24,0.1355932203389830508474576271,140,0.7909604519774011299435028249,0,0
3,3_EJ_NightBlitz_21,RecentB,2024-01-01,2026-01-01,173,17.998666663,0.1040385356242774566473988439,1.625388000799166087560806115,0.6184971098265895953757225434,0.4371838005887850467289719626,-0.449687500,4.867999999,7,13,0.07514450867052023121387283237,22,0.1271676300578034682080924855,138,0.7976878612716763005780346821,0,0
3,3_EJ_NightBlitz_21,RecentCombined,2022-01-01,2026-01-01,350,37.307999988,0.10659428568,1.631611024378682196790140177,0.6057142857142857142857142857,0.4546037735283018867924528302,-0.4343235294117647058823529412,4.867999999,7,26,0.07428571428571428571428571429,46,0.1314285714285714285714285714,278,0.7942857142857142857142857143,0,0
3,3_EJ_NightBlitz_21,Monitor2026,2026-01-01,2026-09-10,58,3.417333333,0.05891954022413793103448275862,1.492979418999858710473188299,0.5689655172413793103448275862,0.3136161616363636363636363636,-0.27728000004,1.646666668,4,3,0.05172413793103448275862068966,0,0,55,0.9482758620689655172413793103,0,0
4,4_GJ_Port_Log1,Historical,2015-01-01,2022-01-01,572,17.488461529,0.03057423344230769230769230769,1.291175717053346498075922030,0.5629370629370629370629370629,0.2408385092888198757763975155,-0.2412109978393574297188755020,2.578461540,6,13,0.02272727272727272727272727273,37,0.06468531468531468531468531469,522,0.9125874125874125874125874126,0,0
4,4_GJ_Port_Log1,RecentA,2022-01-01,2024-01-01,161,10.140769225,0.06298614425465838509316770186,1.698363086898480641042667319,0.6086956521739130434782608696,0.2516483516020408163265306122,-0.2342059553548387096774193548,2.483846154,4,3,0.01863354037267080745341614907,11,0.06832298136645962732919254658,147,0.9130434782608695652173913043,0,0
4,4_GJ_Port_Log1,RecentB,2024-01-01,2026-01-01,161,8.215384606,0.05102723357763975155279503106,1.527615847490273334591616276,0.5465838509316770186335403727,0.2702972027386363636363636364,-0.2132982086986301369863013699,2.152307692,6,4,0.02484472049689440993788819876,15,0.09316770186335403726708074534,142,0.8819875776397515527950310559,0,0
4,4_GJ_Port_Log1,RecentCombined,2022-01-01,2026-01-01,322,18.356153831,0.05700668891614906832298136646,1.610010480226205311751168033,0.5776397515527950310559006211,0.2604714639677419354838709677,-0.2229002849407407407407407407,2.483846154,6,7,0.02173913043478260869565217391,26,0.08074534161490683229813664596,289,0.8975155279503105590062111801,0,0
4,4_GJ_Port_Log1,Monitor2026,2026-01-01,2026-09-10,62,3.377692307,0.05447890817741935483870967742,1.778822277229889636799753642,0.5161290322580645161290322581,0.24108173075,-0.1445641025666666666666666667,0.655384616,7,0,0,3,0.04838709677419354838709677419,59,0.9516129032258064516129032258,0,0
5,5_GJ_Port_Log2,Historical,2015-01-01,2022-01-01,743,71.441111111,0.09615223568102288021534320323,1.326173747622718181982680546,0.5289367429340511440107671602,0.7391065875012722646310432570,-0.6275867558080229226361031519,9.450000000,7,148,0.1991924629878869448183041723,0,0,595,0.8008075370121130551816958277,0,0
5,5_GJ_Port_Log2,RecentA,2022-01-01,2024-01-01,211,24.413333332,0.1157030015734597156398104265,1.361613534979218951416136071,0.4691943127962085308056872038,0.9285409651919191919191919192,-0.6027876984107142857142857143,7.455555557,6,48,0.2274881516587677725118483412,0,0,163,0.7725118483412322274881516588,0,0
5,5_GJ_Port_Log2,RecentB,2024-01-01,2026-01-01,219,11.641111114,0.05315575851141552511415525114,1.164740475214312355291690651,0.4703196347031963470319634703,0.7990722762135922330097087379,-0.6091666666896551724137931034,8.442222219,5,47,0.2146118721461187214611872146,0,0,172,0.7853881278538812785388127854,0,0
5,5_GJ_Port_Log2,RecentCombined,2022-01-01,2026-01-01,430,36.054444446,0.08384754522325581395348837209,1.260932147516251059646056126,0.4697674418604651162790697674,0.8625247524950495049504950495,-0.6060331384122807017543859649,8.442222219,6,95,0.2209302325581395348837209302,0,0,335,0.7790697674418604651162790698,0,0
5,5_GJ_Port_Log2,Monitor2026,2026-01-01,2026-09-10,79,-2.641111109,-0.03343178618987341772151898734,0.8942521577432134985692899234,0.4050632911392405063291139241,0.69795138890625,-0.5313947990212765957446808511,7.303333330,6,13,0.1645569620253164556962025316,0,0,66,0.8354430379746835443037974684,0,0
6,6_GJ_Old_Mon,Historical,2015-01-01,2022-01-01,295,21.578,0.07314576271186440677966101695,1.188932667892478767183258909,0.4881355932203389830508474576,0.9429722222222222222222222222,-0.7563576158940397350993377483,13.148,8,96,0.3254237288135593220338983051,3,0.01016949152542372881355932203,196,0.6644067796610169491525423729,0,0
6,6_GJ_Old_Mon,RecentA,2022-01-01,2024-01-01,84,22.762,0.2709761904761904761904761905,1.685189644792293798916315473,0.5357142857142857142857142857,1.244044444444444444444444444,-0.8517948717948717948717948718,5.548,7,31,0.3690476190476190476190476190,2,0.02380952380952380952380952381,51,0.6071428571428571428571428571,0,0
6,6_GJ_Old_Mon,RecentB,2024-01-01,2026-01-01,84,32.956,0.3923333333333333333333333333,2.276078370634244559745992411,0.6190476190476190476190476190,1.130423076923076923076923077,-0.8070625,3.900,3,23,0.2738095238095238095238095238,1,0.01190476190476190476190476190,60,0.7142857142857142857142857143,0,0
6,6_GJ_Old_Mon,RecentCombined,2022-01-01,2026-01-01,168,55.718,0.3316547619047619047619047619,1.943637164244826067811536768,0.5773809523809523809523809524,1.183134020618556701030927835,-0.8316338028169014084507042254,5.548,7,54,0.3214285714285714285714285714,3,0.01785714285714285714285714286,111,0.6607142857142857142857142857,0,0
6,6_GJ_Old_Mon,Monitor2026,2026-01-01,2026-09-10,28,5.684,0.203,1.593071786310517529215358932,0.5714285714285714285714285714,0.95425,-0.7986666666666666666666666667,3.336,4,8,0.2857142857142857142857142857,0,0,20,0.7142857142857142857142857143,0,0
7,7_GJ_Mon_Blitz,Historical,2015-01-01,2022-01-01,352,5.915384605,0.01680506990056818181818181818,1.137086423013933256802394834,0.5284090909090909090909090909,0.2637965260322580645161290323,-0.2599443929939759036144578313,5.838461538,5,7,0.01988636363636363636363636364,0,0,345,0.9801136363636363636363636364,0,0
7,7_GJ_Mon_Blitz,RecentA,2022-01-01,2024-01-01,100,5.730769232,0.05730769232,1.417741392948897882458749508,0.57,0.3412145749122807017543859649,-0.3190339892558139534883720930,2.726923078,5,4,0.04,1,0.01,95,0.95,0,0
7,7_GJ_Mon_Blitz,RecentB,2024-01-01,2026-01-01,101,10.959230768,0.1085072353267326732673267327,2.092142582983086086067645315,0.5940594059405940594059405941,0.3498974359166666666666666667,-0.2447467167560975609756097561,1.700000000,6,0,0,1,0.009900990099009900990099009901,100,0.9900990099009900990099009901,0,0
