RiskPct,Period,Candidate,Trades,StartCapital,FinalCapital,NetProfitJPY,ReturnPct,MaxDDJPY,MaxDDPct,WorstDayPct,WorstWeekPct,MoneyRoMD,MoneyPF
0.25,2022,M0_BASELINE,1383,3299729.587338633763800658700444282595461,4939708.716973956636311219516888673801919,1639979.129635322872510560816444391206458,49.70040987382947340679943609671846134836,135486.358349893898969927194039722012329,3.266351356232979263828796089961841616842,-1.999592708907190782693691944307360726984,-2.095595543345543345543345543345543345518,12.10438563416157505937381949098850579668,1.473226412492695385706853053082852302927
0.25,2022,M1_MINUS_22,1344,2994774.252928225865965880136928305526001,4509239.196842690246456325247680554084323,1514464.943914464380490445110752248558322,50.57025391592214754884410386510540400177,120254.142350726558992772752188417617403,3.066986497740107770221676331437880588540,-1.999592708907190782693691944307360726999,-2.231666971916971916971916971916971916969,12.59386923651627699245613633479839603043,1.499813484185910548507229335501386832122
0.25,2022,DELTA_M1_MINUS_M0,-39,-304955.334410407897834778563515977069460,-430469.520131266389854894269208119717596,-125514.185720858492020115705692142648136,0.86984404209267414204466776838694265341,-15232.215999167339977154441851304394926,-0.199364858492871493607119758523961028302,-1.5E-38,-0.136071428571428571428571428571428571451,0.48948360235470193308231684380989023375,0.026587071693215162800376282418534529195
0.25,2023,M0_BASELINE,1384,4939708.716973956636311219516888673801919,7341595.408699813151897038461485703950450,2401886.691725856515585818944597030148531,48.62405516892991030818501248997914150026,348197.064633488525084862315168472296754,5.455044200054580268952936245104567192992,-2.719999999999999999999999999999999999978,-3.206100413475413475413475413475413475383,6.898067030674360328286406017777403195895,1.520540809328248061325688641193966332602
0.25,2023,M1_MINUS_22,1344,4509239.196842690246456325247680554084323,6704064.386435521598873960600310114210998,2194825.189592831352417635352629560126675,48.67395792908078536947536144376647982682,306746.478119216839184055640944433309833,5.320726990012185836238661730210487568853,-2.719999999999999999999999999999999999991,-3.281457556332556332556332556332556332552,7.155176493142372207126518224012408727228,1.551285865605434650853328041402225499598
0.25,2023,DELTA_M1_MINUS_M0,-40,-430469.520131266389854894269208119717596,-637531.022264291553023077861175589739452,-207061.502133025163168183591967470021856,0.04990276015087506129034895378733832656,-41450.586514271685900806674224038986921,-0.134317210042394432714274514894079624139,-1.3E-38,-0.075357142857142857142857142857142857169,0.257109462468011878840112206235005531333,0.030745056277186589527639400208259166996
0.25,2024,M0_BASELINE,1394,7341595.408699813151897038461485703950450,10109353.78947033526844653316042173659659,2767758.380770522116549494698936032646140,37.69968551373343072000250930685225695646,272955.467142415657737868776615076585055,3.208844954370865467737832504665969800307,-0.9234615384615384615384615384615384615317,-1.625073995448995448995448995448995448985,10.13996315862921548984969604867750961218,1.483661860844621820664129481616566951612
0.25,2024,M1_MINUS_22,1354,6704064.386435521598873960600310114210998,9305979.791829029786082647330180932721673,2601915.405393508187208686729870818510675,38.81101456391170518869674776203363458740,230211.779339616565036212770783307274524,2.953288749566983309459672915351880478893,-0.9234615384615384615384615384615384615353,-1.613288281163281163281163281163281163277,11.30226877554805954799129668020292231606,1.519299105709137560731338308539479216075
0.25,2024,DELTA_M1_MINUS_M0,-40,-637531.022264291553023077861175589739452,-803373.997641305482363885830240803874917,-165842.975377013929340807969065214135465,1.11132905017827446869423845518137763094,-42743.687802799092701656005831769310531,-0.255556204803882158278159589314089321414,-3.6E-39,0.011785714285714285714285714285714285708,1.16230561691884405814160063152541270388,0.035637244864515740067208826922912264463
0.25,2025,M0_BASELINE,1386,10109353.78947033526844653316042173659659,14498690.61606892645925944358961883311196,4389336.82659859119081291042919709651537,43.41856975240515389793616016498574557824,520709.15743091752637093811927505144784,4.232646171349489981264734414541024589047,-1.096675824175824175824175824175824175812,-1.770089474122368859210964474122368859197,8.429536458038813002593664620415743989477,1.484214749936437556755518219653606948665
0.25,2025,M1_MINUS_22,1347,9305979.791829029786082647330180932721673,13397454.72156472105643480303539980099345,4091474.929735691270352155705218868271777,43.96608440229095415712285027816396250752,446717.62396008455215073094784397639911,3.934723776868835747734167411486799428995,-1.096675824175824175824175824175824175824,-1.727946616979511716353821616979511716345,9.158973611708849445132148407502782252366,1.510005447307515440153770134937531930248
0.25,2025,DELTA_M1_MINUS_M0,-39,-803373.997641305482363885830240803874917,-1101235.89450420540282464055421903211851,-297861.896862899920460754723978228243593,0.54751464988580025918669011317821692928,-73991.53347083297422020717143107504873,-0.297922394480654233530567003054225160052,-1.2E-38,0.042142857142857142857142857142857142852,0.729437153670036442538483787087038262889,0.025790697371077883398251915283924981583
0.25,2026,M0_BASELINE,995,14498690.61606892645925944358961883311196,15200746.78744336425345671185342454545077,702056.17137443779419726826380571233881,4.842203961482891431721668479505374648499,727424.29085416343143927003071395567120,4.653182459911237566216112043457664370422,-1.152132799511004691312230706789375101740,-1.349262043512043512043512043512043512018,0.9651261034327879949094169223858514618737,1.089850551414499399193376170844579163841
0.25,2026,M1_MINUS_22,966,13397454.72156472105643480303539980099345,14127353.04926376626818458839209781493621,729898.32769904521174978535669801394276,5.448037279231786985873297575326115141758,500353.93682777404317812292735780500288,3.493171792422989891335585298568380147165,-1.152132799511004691312230706789375101768,-1.322234459984459984459984459984459984465,1.458764034768216970010737573839767505936,1.106356742783109549474899020642590092711
0.25,2026,DELTA_M1_MINUS_M0,-29,-1101235.89450420540282464055421903211851,-1073393.73817959798527212346132673051456,27842.15632460741755251709289230160395,0.605833317748895554151629095820740493259,-227070.35402638938826114710335615066832,-1.160010667488247674880526744889284223257,-2.8E-38,0.027027583527583527583527583527583527553,0.4936379313354289751013206514539160440623,0.016506191368610150281522849798010928870
1.0,2022,M0_BASELINE,1383,641797084.0309961893827117503265452273482,2993365646.178825172737814471240694617250,2351568562.147828983355102720914149389902,366.4037467073094062422311704138164118336,275578027.313159718547596207127766745199,12.56697629811463864014481985709652910305,-8.215077407617782214367879855416623618640,-8.382382173382173382173382173382173382149,8.533222278551139696997504850091120414875,1.507521923840471719402147221950970791122
1.0,2022,M1_MINUS_22,1344,442765445.0996591314089093113751151722330,2116223827.825545782547950965144712052029,1673458382.725886651139041653769596879796,377.9559586790290343482665253980672488598,175394364.893506117890153447580130195136,12.19555139986166153643520635845393668793,-8.215077407617782214367879855416623618648,-8.926667887667887667887667887667887667866,9.541118289301696650494087136591114407456,1.526062959417621236074400698595152973241
1.0,2022,DELTA_M1_MINUS_M0,-39,-199031638.9313370579738024389514300551152,-877141818.353279390189863506095982565221,-678110179.421942332216061067144552510106,11.5522119717196281060353549842508370262,-100183662.419653600657442759547636550063,-0.37142489825297710370961349864259241512,-8E-39,-0.544285714285714285714285714285714285717,1.007896010750556953496582286499993992581,0.018541035577149516672253476644182182119
1.0,2023,M0_BASELINE,1384,2993365646.178825172737814471240694617250,13598386809.78449063610412587390834223872,10605021163.60566546336631140266764762147,354.2841876716091687510398288817054533866,1695997224.053811418849923323384898040303,21.04285847583609642465817139783673709726,-10.88000000000000000000000000000000000001,-12.82440165390165390165390165390165390166,6.252970826365682914096795993781764224830,1.484035508188134474221495120937015402857
1.0,2023,M1_MINUS_22,1344,2116223827.825545782547950965144712052029,9653669847.488563711715415766782275303812,7537446019.663017929167464801637563251783,356.1743290362563230552922416554208715381,1117825586.658386402057868123711888895137,20.45671567884433200506954129940156782624,-10.87999999999999999999999999999999999998,-13.12583022533022533022533022533022533020,6.742953560577695521790842900573172067486,1.525878315516303386734857205047471578769
1.0,2023,DELTA_M1_MINUS_M0,-40,-877141818.353279390189863506095982565221,-3944716962.295926924388710107126066934908,-3067575143.942647534198846601030084369687,1.8901413646471543042524127737154181515,-578171637.395425016792055199673009145166,-0.58614279699176441958863009843516927102,3E-38,-0.30142857142857142857142857142857142854,0.489982734212012607694046906791407842656,0.041842807328168912513362084110456175912
1.0,2024,M0_BASELINE,1394,13598386809.78449063610412587390834223872,46421461834.38523812181245802140093490282,32823075024.60074748570833214749259266410,241.3747710205114596187881135434828257170,3006005791.49961313016976628813991741627,12.42507219537065647033387323564283652054,-3.693846153846153846153846153846153846155,-6.500295981795981795981795981795981796002,10.91916559755735646308030506298013858290,1.517180901860308266982751365104917519786
1.0,2024,M1_MINUS_22,1354,9653669847.488563711715415766782275303812,34024631273.32993531757878790299575849022,24370961425.84137160586337213621348318641,252.4528165025403603408362271653562786367,1999360521.50978973855602168463949547952,11.47573515494760406212457768579545057257,-3.693846153846153846153846153846153846163,-6.453153124653124653124653124653124653140,12.18937813548402645138279352009787852648,1.552435019549375034166121193501059953845
1.0,2024,DELTA_M1_MINUS_M0,-40,-3944716962.295926924388710107126066934908,-12396830561.05530280423367011840517641260,-8452113598.75937587984496001127910947769,11.0780454820289007220481136218734529197,-1006645269.98982339161374460350042193675,-0.94933704042305240820929554984738594797,-8E-39,0.047142857142857142857142857142857142862,1.27021253792666998830248845711773994358,0.035254117689066767183369828396142434059
1.0,2025,M0_BASELINE,1386,46421461834.38523812181245802140093490282,181026848066.2146859355241172905770966257,134605386231.8294478137116592691761617229,289.9636954821718704587620487348713575181,15581019770.41437262351869450831859713208,15.98078205256277904894917174171125742388,-4.386703296703296703296703296703296703306,-7.080357896489475436843857896489475436844,8.639061384635522947097909498986073695908,1.457305057314470243499853849887139633273
1.0,2025,M1_MINUS_22,1347,34024631273.32993531757878790299575849022,134639954593.7436027384074456975868051051,100615323320.4136674208286577945910466149,295.7131923403989012291389447261839292849,10796122455.40646847391811622255588715704,14.96882567089378973387440654084929006368,-4.386703296703296703296703296703296703303,-6.911786467918046865415286467918046865439,9.319579667237625093789126988434037562102,1.479959703653845693506614947273818582579
1.0,2025,DELTA_M1_MINUS_M0,-39,-12396830561.05530280423367011840517641260,-46386893472.4710831971166715929902915206,-33990062911.4157803928830014745851151080,5.7494968582270307703768959913125717668,-4784897315.00790414960057828576270997504,-1.01195638166898931507476520086196736020,3E-39,0.168571428571428571428571428571428571405,0.680518282602102146691217489447963866194,0.022654646339375450006761097386678949306
1.0,2026,M0_BASELINE,995,181026848066.2146859355241172905770966257,213166301997.7068453687120545483699964369,32139453931.4921594331879372577928998112,17.75397090255718497566469295820429263876,42261845636.9365283701054453617970549782,17.62714151192784859490730246601260256871,-4.697609947748426986010014373402830152323,-5.397048174048174048174048174048174048158,0.7604839175173770366242218932982978216766,1.074202653826186533998262818754964540144
1.0,2026,M1_MINUS_22,966,134639954593.7436027384074456975868051051,162324344101.3806140056993704739714617383,27684389507.6370112672919247763846566332,20.56179355613317976881741708885227288311,23419985616.2975863725312711512961634780,13.56974722701000862733963896120418790504,-4.697609947748426986010014373402830152360,-5.288937839937839937839937839937839937867,1.182083967138386955851486372241260454221,1.091176502585268583091147310373137242793
1.0,2026,DELTA_M1_MINUS_M0,-29,-46386893472.4710831971166715929902915206,-50841957896.3262313630126840743985346986,-4455064423.8551481658960124814082431780,2.80782265357599479315272413064798024435,-18841860020.6389419975741742105008915002,-4.05739428491783996756766350480841466367,-3.7E-38,0.108110334110334110334110334110334110291,0.4216000496210099192272644789429626325444,0.016973848759082049092884491618172702649
1.5,2022,M0_BASELINE,1383,15889178370.86289108106783937886793622502,149291775334.0405334695168106656331117948,133402596963.1776423884489712867651755698,839.5814676472347310292200804139975742500,19871733988.9247155066572441580403787841,18.37754206862989314827928778987488730565,-12.54928837765953818562971581285195528228,-12.57357326007326007326007326007326007325,6.713183511691936880619222604358606068300,1.524384108297434863861563290507583814607
1.5,2022,M1_MINUS_22,1344,9247945266.444447960605306997222628871952,90262540321.00412036147632172165340301950,81014595054.55967240087101472443077414755,876.0280551023125354171884394106577098387,10808004207.97137118996211097742645609748,18.22164173353154432399249265280436143708,-12.54928837765953818562971581285195528238,-13.39000183150183150183150183150183150191,7.495796031871258882984163557286319566599,1.537721186257807085482083516546791924588
1.5,2022,DELTA_M1_MINUS_M0,-39,-6641233104.418443120462532381645307353068,-59029235013.03641310804048894397970877530,-52388001908.61796998757795656233440142225,36.4465874550778043879683589966601355887,-9063729780.95334431669513318061392268662,-0.15590033509834882428679513707052586857,-1.0E-37,-0.81642857142857142857142857142857142866,0.782612520179322002364940952927713498299,0.013337077960372221620520226039208109981
1.5,2023,M0_BASELINE,1384,149291775334.0405334695168106656331117948,1350094730216.676850565676579262942079130,1200802954882.636317096159768597308967335,804.3329595323240065993132514750680038418,230464259094.397255942861117357914543991,30.77204201714300122674521500704133681746,-16.32000000000000000000000000000000000002,-19.23660248085248085248085248085248085251,5.210365197628288818440459532212049316795,1.468021935597049911739496587931421200944
1.5,2023,M1_MINUS_22,1344,90262540321.00412036147632172165340301950,823530986754.2391012621874767176651189823,733268446433.2349809007111549960117159628,812.3729332516948808014762491878188803038,129493205983.6590079388195657774616755474,29.92358796017790037305501790577114041178,-16.31999999999999999999999999999999999997,-19.68874533799533799533799533799533799530,5.662601685263453204527411203621477011655,1.516612485206190618467706663178984123941
1.5,2023,DELTA_M1_MINUS_M0,-40,-59029235013.03641310804048894397970877530,-526563743462.4377493034891025452769601477,-467534508449.4013361954486136012972513722,8.0399737193708742021629977127508764620,-100971053110.7382480040415515804528684436,-0.84845405696510085369019710127019640568,5E-38,-0.45214285714285714285714285714285714279,0.452236487635164386086951671409427694860,0.048590549609140706728210075247562922997
1.5,2024,M0_BASELINE,1394,1350094730216.676850565676579262942079130,8113157612162.941656473014002806552438351,6763062881946.264805907337423543610359221,500.9324701875445514881847687279043245398,649172528476.533904598714833834898968014,18.23678374879999766564039660098192752628,-5.540769230769230769230769230769230769239,-9.750443972693972693972693972693972693993,10.41797455264734602928891683134071685336,1.535863449541100460299436523146025662952
1.5,2024,M1_MINUS_22,1354,823530986754.2391012621874767176651189823,5190385655304.267329599600246003434341209,4366854668550.028228337412769285769222227,530.2599099228794105606855977956600680281,408998204074.069278445069553989438533730,16.88336773165745532575137361190584514525,-5.540769230769230769230769230769230769250,-9.679729686979686979686979686979686979701,10.67695316275568293590916614810430824654,1.569519086644043046476049151518106920012
1.5,2024,DELTA_M1_MINUS_M0,-40,-526563743462.4377493034891025452769601477,-2922771956858.674326873413756803118097142,-2396208213396.236577569924654257841136994,29.3274397353348590725008290677557434883,-240174324402.464626153645279845460434284,-1.35341601714254233988902298907608238103,-1.1E-38,0.070714285714285714285714285714285714292,0.25897861010833690662024931676359139318,0.033655637102942586176612628372081257060
1.5,2025,M0_BASELINE,1386,8113157612162.941656473014002806552438351,58000602618528.24704207284030676419403981,49887445006365.30538559982630395764160146,614.8955485787175952766001477654896356292,5489263346550.75823605869194595527909555,23.10638477559738959413795879894723343279,-6.580054945054945054945054945054945054919,-10.62053684473421315526578684473421315527,9.088185764982956280397063578073617350533,1.444838632482175227472425406867672214766
1.5,2025,M1_MINUS_22,1347,5190385655304.267329599600246003434341209,37910438430714.76392553717556355140427429,32720052775410.49659593757531754796993308,630.3973336157119034554276414631887749330,3348885748314.44648383198420023360059378,21.74547528875328780676177774552221525704,-6.580054945054945054945054945054945054958,-10.36767970187707029812292970187707029816,9.770429699454237496852520326046345295373,1.465369053932063788135355823603271375982
1.5,2025,DELTA_M1_MINUS_M0,-39,-2922771956858.674326873413756803118097142,-20090164187813.48311653566474321278976552,-17167392230954.80878966225098640967166838,15.5017850369943081788274936976991393038,-2140377598236.31175222670774572167850177,-1.36090948684410178737618105342501817575,-3.9E-38,0.25285714285714285714285714285714285711,0.682243934471281216455456747972727944840,0.020530421449888560662930416735599161216
1.5,2026,M0_BASELINE,995,58000602618528.24704207284030676419403981,72337671528311.98816720044204898188600562,14337068909783.74112512760174221769196581,24.71882749922287135024999246904132403443,22126674924996.66913064841421641493994859,25.50083086488850027953361486899671293554,-7.138400819451365131765001629838517242002,-8.095572261072261072261072261072261072248,0.6479540626136757588513266925310538307584,1.064796933754351036224409270725231920137
1.5,2026,M1_MINUS_22,966,37910438430714.76392553717556355140427429,49001609670735.02541468561410609077396351,11091171240020.26148914843854253936968922,29.25624629820760528366842538897783544506,10896005321345.45839165471210307780514238,20.11502556127528443943699122124169244501,-7.138400819451365131765001629838517242037,-7.933406759906759906759906759906759906770,1.017911694508121225642813756958971197394,1.081818581799217871742907061918312966689
1.5,2026,DELTA_M1_MINUS_M0,-29,-20090164187813.48311653566474321278976552,-23336061857576.96275251482794289111204211,-3245897669763.47963597916319967832227659,4.53741879898473393341843291993651141063,-11230669603651.21073899370211333713480621,-5.38580530361321584009662364775502049053,-3.5E-38,0.162165501165501165501165501165501165478,0.3699576318944454667914870644279173666356,0.017021648044866835518497791193081046552
2.0,2022,M0_BASELINE,1383,312946441433.8087069557917646334915235980,5677110025123.491260923062976598573475747,5364163583689.682553967271211965081952149,1714.083585393399222594351628012243326816,973978377901.274292851529882089937040477,24.20068799429495062647013646439420960226,-17.04594147466289912125736388215284734720,-16.76476434676434676434676434676434676439,5.507477070741925774434648300444804135012,1.535836765201494027367969350691814756673
2.0,2022,M1_MINUS_22,1344,155134826193.5121073732885502448196889172,2966231443402.347507661733411050216116048,2811096617208.835400288444860805396427131,1812.034529050446220754636913502111042774,457166677310.813328405839781105374617142,24.20068799429495062647013646439420960219,-17.04594147466289912125736388215284734718,-17.85333577533577533577533577533577533580,6.148953448979525497214991492903935500413,1.544478298461788196523106605880401128369
2.0,2022,DELTA_M1_MINUS_M0,-39,-157811615240.2965995825032143886718346808,-2710878581721.143753261329565548357359699,-2553066966480.847153678826351159685525018,97.950943657046998160285285489867715958,-516811700590.460964445690100984562423335,-7E-38,2E-38,-1.08857142857142857142857142857142857141,0.641476378237599722780343192459131365401,0.008641533260294169155137255188586371696
2.0,2023,M0_BASELINE,1384,5677110025123.491260923062976598573475747,97897340395978.86700610038681451367646090,92220230370855.37574517732383791510298515,1624.422108480262480040661917292019049336,21369089357836.23849164754877151789973461,39.92998121423609084705101330389624330012,-21.76000000000000000000000000000000000013,-25.64880330780330780330780330780330780346,4.315590094953549460867850207722032371147,1.456199879573804025186391052849523017208
2.0,2023,M1_MINUS_22,1344,2966231443402.347507661733411050216116048,51930979721577.68199701961596936877147756,48964748278175.33448935788255831855536151,1650.739303808722590042709545443107663636,10336905390004.73356996999211132103945528,38.85601250009193234904889280126314185116,-21.75999999999999999999999999999999999990,-26.25166045066045066045066045066045066032,4.736886566217562343903466456753382794337,1.511068758478766781005263140028433051274
2.0,2023,DELTA_M1_MINUS_M0,-40,-2710878581721.143753261329565548357359699,-45966360674401.18500908077084514490498334,-43255482092680.04125581944127959654762364,26.317195328460110002047628151088614300,-11032183967831.50492167755666019686027933,-1.07396871414415849800212050263310144896,2.3E-37,-0.60285714285714285714285714285714285686,0.421296471264012883035616249031350423190,0.054868878904962755818872087178910034066
2.0,2024,M0_BASELINE,1394,97897340395978.86700610038681451367646090,1005801755138605.519376883186484062728119,907904414742626.6523707827996695490516581,927.4045761307718056950524893151955668832,98820412173270.3317547947522335286081903,23.79123135618080270446361994598675366837,-7.387692307692307692307692307692307692283,-13.00059196359196359196359196359196359195,9.187417809497897261844774014095770876012,1.551449557473144869249036568365855403355
2.0,2024,M1_MINUS_22,1354,51930979721577.68199701961596936877147756,568326780670417.3093322665140362354712559,516395800948839.6273352468980668666997783,994.3887130907980790708223817895999023104,55357600596490.6520806580235077562890048,22.07838717618876130494017298301463155205,-7.387692307692307692307692307692307692334,-12.90630624930624930624930624930624930627,9.328363140464149725324279092845822115569,1.582619117125716647828610417267100084802
2.0,2024,DELTA_M1_MINUS_M0,-40,-45966360674401.18500908077084514490498334,-437474974468188.2100446166724478272568631,-391508613793787.0250355359016026823518798,66.9841369600262733757698924744043354272,-43462811576779.6796741367287257723191855,-1.71284417999204139952344696297212211632,-5.1E-38,0.09428571428571428571428571428571428568,0.140945330966252463479505078750051239557,0.031169559652571778579573848901244681447
2.0,2025,M0_BASELINE,1386,1005801755138605.519376883186484062728119,12620813328099285.46169421488671321469823,11615011572960679.94231733170022915197011,1154.801283018248623578806288502586294558,1194256446147696.647520380344283672398458,29.73242968299945734057404934176651619671,-8.773406593406593406593406593406593406580,-14.16071579297895087368771579297895087364,9.725726505749354559245183175627413189795,1.435991835949156501850911260205215810036
2.0,2025,M1_MINUS_22,1347,568326780670417.3093322665140362354712559,7334206758124845.899551626906048684439835,6765879977454428.590219360392012448968579,1190.491141289025639958490671372457032341,649841520742732.581210437384447904926496,28.13794430411297673858736356734322168897,-8.773406593406593406593406593406593406559,-13.82357293583609373083057293583609373088,10.41158461177027512343063942243598751538,1.454493110715102039105751599062892948894
2.0,2025,DELTA_M1_MINUS_M0,-39,-437474974468188.2100446166724478272568631,-5286606569974439.562142587980664530258395,-4849131595506251.352097971308216703001531,35.689858270777016379684382869870737783,-544414925404964.066309942959835767471962,-1.59448537888648060198668577442329450774,2.1E-38,0.33714285714285714285714285714285714276,0.685858106020920564185456246808574325585,0.018501274765945537254840338857677138858
2.0,2026,M0_BASELINE,995,12620813328099285.46169421488671321469823,16424958503575649.44624242235715534884922,3804145175476363.98454820747044213415099,30.14183853751107094255181598764172739673,6917277018825312.63981595116970377860103,32.79364523907108762790709329270088251237,-9.643760137816878208689501692686333839167,-10.79409634809634809634809634809634809638,0.5499483633694897729789418596121574185016,1.056110034066823015993554295704038671736
2.0,2026,M1_MINUS_22,966,7334206758124845.899551626906048684439835,10014867473753464.67185528763696008915430,2680660715628618.772303660730911404714465,36.55011106223557949715622164057284777848,3062752722996349.389248979148348783293963,26.46051502665746009578855730395359694714,-9.643760137816878208689501692686333839162,-10.57787567987567987567987567987567987571,0.8752455578607982689391182051194726938514,1.072997577181048915545904379851789138783
2.0,2026,DELTA_M1_MINUS_M0,-29,-5286606569974439.562142587980664530258395,-6410091029822184.77438713472019525969492,-1123484459847745.212244546739530729436525,6.40827252472450855460440565293112038175,-3854524295828963.250566972021354995307067,-6.33313021241362753211853598874728556523,5E-39,0.21622066822066822066822066822066822067,0.3252971944913084959601763455073152753498,0.016887543114225899552350084147750467047
