Strategy,Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
18_EA_2_MonWed_Short,IS,E0_BASELINE,9756,768.488273412,1.372170780221990072262536124,27.540955530,-12.0,-14.455835720
18_EA_2_MonWed_Short,IS,E1_MINUS_18,9183,729.742717854,1.383014397818516571693960051,26.003177755,-11.0,-12.455835720
18_EA_2_MonWed_Short,IS,DELTA_E1_MINUS_E0,-573,-38.745555558,0.010843617596526499431423927,-1.537777775,1.0,2.000000000
18_EA_2_MonWed_Short,OOS1,E0_BASELINE,5547,601.960584733,1.489974882080040269260349852,22.196975812,-10.88,-12.824401656
18_EA_2_MonWed_Short,OOS1,E1_MINUS_18,5228,606.578362503,1.536058355343898368390412222,18.098961439,-9.88,-11.859957212
18_EA_2_MonWed_Short,OOS1,DELTA_E1_MINUS_E0,-319,4.617777770,0.046083473263858099130062370,-4.098014373,1.00,0.964444444
18_EA_2_MonWed_Short,OOS2,E0_BASELINE,995,19.818791349,1.095529248887432719543087561,18.954206168,-4.579584304,-5.397048173
18_EA_2_MonWed_Short,OOS2,E1_MINUS_18,934,14.893235794,1.076213256111427441382625147,18.830171167,-4.055139860,-4.659581196
18_EA_2_MonWed_Short,OOS2,DELTA_E1_MINUS_E0,-61,-4.925555555,-0.019315992776005278160462414,-0.124035001,0.524444444,0.737466977
18_EA_2_MonWed_Short,OOS_COMBINED,E0_BASELINE,6542,621.779376082,1.432988857333194089159940825,22.196975812,-10.88,-12.824401656
18_EA_2_MonWed_Short,OOS_COMBINED,E1_MINUS_18,6162,621.471598297,1.468339499368657217572300806,18.830171167,-9.88,-11.859957212
18_EA_2_MonWed_Short,OOS_COMBINED,DELTA_E1_MINUS_E0,-380,-0.307777785,0.035350642035463128412359981,-3.366804645,1.00,0.964444444
18_EA_2_MonWed_Short,ALL,E0_BASELINE,16298,1390.267649494,1.397117465512620032057326123,27.540955530,-12.0,-14.455835720
18_EA_2_MonWed_Short,ALL,E1_MINUS_18,15345,1351.214316151,1.418043988003335152625114517,26.003177755,-11.0,-12.455835720
18_EA_2_MonWed_Short,ALL,DELTA_E1_MINUS_E0,-953,-39.053333343,0.020926522490715120567788394,-1.537777775,1.0,2.000000000
