Strategy,Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
20_EA_1A_MonTue_Short,2022,E0_BASELINE,1383,163.991920234,1.460196647793881058422532767,13.239665556,-7.928653846,-8.382382172
20_EA_1A_MonTue_Short,2022,E1_MINUS_20,1322,163.205920234,1.485310384904501807139784399,13.239665556,-7.928653846,-7.382382172
20_EA_1A_MonTue_Short,2022,DELTA_E1_MINUS_E0,-61,-0.786000000,0.025113737110620748717251632,0E-9,0E-9,1.000000000
20_EA_1A_MonTue_Short,2023,E0_BASELINE,1384,160.985031727,1.537135036670755260618909601,22.196975812,-10.88,-12.824401656
20_EA_1A_MonTue_Short,2023,E1_MINUS_20,1325,158.267031727,1.561986820638920422487881498,21.274975812,-9.88,-11.526401656
20_EA_1A_MonTue_Short,2023,DELTA_E1_MINUS_E0,-59,-2.718000000,0.024851783968165161868971897,-0.922000000,1.00,1.298000000
20_EA_1A_MonTue_Short,2024,E0_BASELINE,1394,129.794238252,1.471284308778258691029807773,12.974713232,-3.693846154,-6.500295982
20_EA_1A_MonTue_Short,2024,E1_MINUS_20,1326,136.252238252,1.529082739898061059022175507,12.347309234,-3.693846154,-6.208295982
20_EA_1A_MonTue_Short,2024,DELTA_E1_MINUS_E0,-68,6.458000000,0.057798431119802367992367734,-0.627403998,0E-9,0.292000000
20_EA_1A_MonTue_Short,2025,E0_BASELINE,1386,147.189394520,1.495443388062503243799672134,17.273405884,-4.386703297,-7.080357897
20_EA_1A_MonTue_Short,2025,E1_MINUS_20,1313,142.373394520,1.515759294754819621017534745,16.861405884,-4.016841493,-6.657607293
20_EA_1A_MonTue_Short,2025,DELTA_E1_MINUS_E0,-73,-4.816000000,0.020315906692316377217862611,-0.412000000,0.369861804,0.422750604
20_EA_1A_MonTue_Short,2026,E0_BASELINE,995,19.818791349,1.095529248887432719543087561,18.954206168,-4.579584304,-5.397048173
20_EA_1A_MonTue_Short,2026,E1_MINUS_20,941,21.010791349,1.107012787811196269604809199,17.848206168,-4.579584304,-5.485048173
20_EA_1A_MonTue_Short,2026,DELTA_E1_MINUS_E0,-54,1.192000000,0.011483538923763550061721638,-1.106000000,0E-9,-0.088000000
