StrategyNo,Strategy,Axis,Point,UniqueSetting,HistoricalPFThreshold,DecayRatioThreshold,CombinedMinTrades,ABMinTrades,PrimaryClassification,Classification,Warning,MonitorUsedForClassification
1,1_EJ_Log1,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
1,1_EJ_Log1,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
1,1_EJ_Log1,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
1,1_EJ_Log1,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
1,1_EJ_Log1,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
1,1_EJ_Log1,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
1,1_EJ_Log1,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
1,1_EJ_Log1,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
1,1_EJ_Log1,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
2,2_EJ_NightBlitz_20,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
3,3_EJ_NightBlitz_21,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
4,4_GJ_Port_Log1,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
5,5_GJ_Port_Log2,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
6,6_GJ_Old_Mon,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
7,7_GJ_Mon_Blitz,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
8,8_AJ_Core1,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
8,8_AJ_Core1,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
8,8_AJ_Core1,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
8,8_AJ_Core1,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
8,8_AJ_Core1,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
8,8_AJ_Core1,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
8,8_AJ_Core1,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
8,8_AJ_Core1,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
8,8_AJ_Core1,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
9,9_AJ_Core2,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
9,9_AJ_Core2,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
9,9_AJ_Core2,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
9,9_AJ_Core2,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
9,9_AJ_Core2,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
9,9_AJ_Core2,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
9,9_AJ_Core2,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
9,9_AJ_Core2,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
9,9_AJ_Core2,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
10,10_AJ_SatA,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
10,10_AJ_SatA,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
10,10_AJ_SatA,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
10,10_AJ_SatA,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
10,10_AJ_SatA,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
10,10_AJ_SatA,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
10,10_AJ_SatA,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
10,10_AJ_SatA,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
10,10_AJ_SatA,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
11,11_AJ_SatB,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
11,11_AJ_SatB,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
11,11_AJ_SatB,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
11,11_AJ_SatB,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
11,11_AJ_SatB,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
11,11_AJ_SatB,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
11,11_AJ_SatB,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
11,11_AJ_SatB,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
11,11_AJ_SatB,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
12,12_UJ_Short_Core,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
12,12_UJ_Short_Core,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
12,12_UJ_Short_Core,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
12,12_UJ_Short_Core,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
12,12_UJ_Short_Core,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
12,12_UJ_Short_Core,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
12,12_UJ_Short_Core,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
12,12_UJ_Short_Core,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
12,12_UJ_Short_Core,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,PF,1.00,PF_1.00,1.00,0.50,30,15,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,PF,1.05,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,PF,1.10,PF_1.10,1.10,0.50,30,15,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,RATIO,0.25,RATIO_0.25,1.05,0.25,30,15,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,RATIO,0.50,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,RATIO,0.75,RATIO_0.75,1.05,0.75,30,15,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,SAMPLE,relaxed,SAMPLE_RELAXED,1.05,0.50,20,10,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,SAMPLE,official,OFFICIAL,1.05,0.50,30,15,STABLE,STABLE,False,False
13,13_UJ_Fix_MidWeek,SAMPLE,strict,SAMPLE_STRICT,1.05,0.50,40,20,STABLE,STABLE,False,False
14,14_UJ_Sat_3rd,PF,1.00,PF_1.00,1.00,0.50,30,15,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,False,False
