StrategyNo,Strategy,PrimaryClassification,PF_1.00,OFFICIAL,PF_1.10,RATIO_0.25,RATIO_0.75,SAMPLE_RELAXED,SAMPLE_STRICT,WarningCountUnique,UniqueSettings,WarningRateUnique,WarningCountDisplayed,DisplayedSettings,InsufficientCountUnique,PrimaryMatchCountUnique,DistinctClassifications,WarningRetentionLabel,PF_WarningCount,RATIO_WarningCount,SAMPLE_WarningCount,WarningRateDisplayed
1,1_EJ_Log1,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
2,2_EJ_NightBlitz_20,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
3,3_EJ_NightBlitz_21,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
4,4_GJ_Port_Log1,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
5,5_GJ_Port_Log2,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
6,6_GJ_Old_Mon,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
7,7_GJ_Mon_Blitz,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
8,8_AJ_Core1,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
9,9_AJ_Core2,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
10,10_AJ_SatA,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
11,11_AJ_SatB,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
12,12_UJ_Short_Core,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
13,13_UJ_Fix_MidWeek,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
14,14_UJ_Sat_3rd,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,STABLE,INSUFFICIENT SAMPLE,0,7,0,0,9,6,6,2,NA (non-candidate),0,0,0,0
15,15_UJ_Sat_Aug,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,STABLE,INSUFFICIENT SAMPLE,0,7,0,0,9,6,6,2,NA (non-candidate),0,0,0,0
16,16_UJ_T10A,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,INSUFFICIENT SAMPLE,0,7,0,0,9,7,7,1,NA (non-candidate),0,0,0,0
17,17_EA_1B_Wed_Short,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,STABLE,0,7,0,0,9,0,7,1,NA (non-candidate),0,0,0,0
18,18_EA_2_MonWed_Short,EDGE LOST,EDGE LOST,EDGE LOST,EDGE LOST,EDGE LOST,EDGE LOST,EDGE LOST,EDGE LOST,7,7,1,9,9,0,7,1,頑健,3,3,3,1
