Period,Group,Method,Regime,Trades,TotalTargetTrades
FULL,Long,primary,JPY_WEAK,3319,6333
FULL,Long,primary,JPY_STRONG,2797,6333
FULL,Long,primary,NEUTRAL_ZERO,0,6333
FULL,Long,primary,INSUFFICIENT_REGIME_HISTORY,217,6333
FULL,Long,robustness,JPY_WEAK_TREND,2619,6333
FULL,Long,robustness,JPY_STRONG_TREND,2047,6333
FULL,Long,robustness,NEUTRAL_MIXED,1281,6333
FULL,Long,robustness,INSUFFICIENT_REGIME_HISTORY,386,6333
FULL,Short,primary,JPY_WEAK,1640,3087
FULL,Short,primary,JPY_STRONG,1340,3087
FULL,Short,primary,NEUTRAL_ZERO,0,3087
FULL,Short,primary,INSUFFICIENT_REGIME_HISTORY,107,3087
FULL,Short,robustness,JPY_WEAK_TREND,1267,3087
FULL,Short,robustness,JPY_STRONG_TREND,977,3087
FULL,Short,robustness,NEUTRAL_MIXED,660,3087
FULL,Short,robustness,INSUFFICIENT_REGIME_HISTORY,183,3087
Historical,Long,primary,JPY_WEAK,1559,3803
Historical,Long,primary,JPY_STRONG,2027,3803
Historical,Long,primary,NEUTRAL_ZERO,0,3803
Historical,Long,primary,INSUFFICIENT_REGIME_HISTORY,217,3803
Historical,Long,robustness,JPY_WEAK_TREND,1042,3803
Historical,Long,robustness,JPY_STRONG_TREND,1554,3803
Historical,Long,robustness,NEUTRAL_MIXED,821,3803
Historical,Long,robustness,INSUFFICIENT_REGIME_HISTORY,386,3803
Historical,Short,primary,JPY_WEAK,782,1838
Historical,Short,primary,JPY_STRONG,949,1838
Historical,Short,primary,NEUTRAL_ZERO,0,1838
Historical,Short,primary,INSUFFICIENT_REGIME_HISTORY,107,1838
Historical,Short,robustness,JPY_WEAK_TREND,507,1838
Historical,Short,robustness,JPY_STRONG_TREND,746,1838
Historical,Short,robustness,NEUTRAL_MIXED,402,1838
Historical,Short,robustness,INSUFFICIENT_REGIME_HISTORY,183,1838
RecentA,Long,primary,JPY_WEAK,873,1083
RecentA,Long,primary,JPY_STRONG,210,1083
RecentA,Long,primary,NEUTRAL_ZERO,0,1083
RecentA,Long,primary,INSUFFICIENT_REGIME_HISTORY,0,1083
RecentA,Long,robustness,JPY_WEAK_TREND,752,1083
RecentA,Long,robustness,JPY_STRONG_TREND,155,1083
RecentA,Long,robustness,NEUTRAL_MIXED,176,1083
RecentA,Long,robustness,INSUFFICIENT_REGIME_HISTORY,0,1083
RecentA,Short,primary,JPY_WEAK,405,523
RecentA,Short,primary,JPY_STRONG,118,523
RecentA,Short,primary,NEUTRAL_ZERO,0,523
RecentA,Short,primary,INSUFFICIENT_REGIME_HISTORY,0,523
RecentA,Short,robustness,JPY_WEAK_TREND,351,523
RecentA,Short,robustness,JPY_STRONG_TREND,80,523
RecentA,Short,robustness,NEUTRAL_MIXED,92,523
RecentA,Short,robustness,INSUFFICIENT_REGIME_HISTORY,0,523
RecentB,Long,primary,JPY_WEAK,549,1072
RecentB,Long,primary,JPY_STRONG,523,1072
RecentB,Long,primary,NEUTRAL_ZERO,0,1072
RecentB,Long,primary,INSUFFICIENT_REGIME_HISTORY,0,1072
RecentB,Long,robustness,JPY_WEAK_TREND,474,1072
RecentB,Long,robustness,JPY_STRONG_TREND,338,1072
RecentB,Long,robustness,NEUTRAL_MIXED,260,1072
RecentB,Long,robustness,INSUFFICIENT_REGIME_HISTORY,0,1072
RecentB,Short,primary,JPY_WEAK,286,533
RecentB,Short,primary,JPY_STRONG,247,533
RecentB,Short,primary,NEUTRAL_ZERO,0,533
RecentB,Short,primary,INSUFFICIENT_REGIME_HISTORY,0,533
RecentB,Short,robustness,JPY_WEAK_TREND,229,533
RecentB,Short,robustness,JPY_STRONG_TREND,151,533
RecentB,Short,robustness,NEUTRAL_MIXED,153,533
RecentB,Short,robustness,INSUFFICIENT_REGIME_HISTORY,0,533
Monitor2026,Long,primary,JPY_WEAK,338,375
Monitor2026,Long,primary,JPY_STRONG,37,375
Monitor2026,Long,primary,NEUTRAL_ZERO,0,375
Monitor2026,Long,primary,INSUFFICIENT_REGIME_HISTORY,0,375
Monitor2026,Long,robustness,JPY_WEAK_TREND,351,375
Monitor2026,Long,robustness,JPY_STRONG_TREND,0,375
Monitor2026,Long,robustness,NEUTRAL_MIXED,24,375
Monitor2026,Long,robustness,INSUFFICIENT_REGIME_HISTORY,0,375
Monitor2026,Short,primary,JPY_WEAK,167,193
Monitor2026,Short,primary,JPY_STRONG,26,193
Monitor2026,Short,primary,NEUTRAL_ZERO,0,193
Monitor2026,Short,primary,INSUFFICIENT_REGIME_HISTORY,0,193
Monitor2026,Short,robustness,JPY_WEAK_TREND,180,193
Monitor2026,Short,robustness,JPY_STRONG_TREND,0,193
Monitor2026,Short,robustness,NEUTRAL_MIXED,13,193
Monitor2026,Short,robustness,INSUFFICIENT_REGIME_HISTORY,0,193
