Group,Method,Period,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,EligibleStrategies,EligibleIDs,WeakMinusStrongAvgR
Long,primary,FULL,trade_weighted,JPY_WEAK,3319,313.183145561,0.09436069465531786682735763784,1.478458021913494768597325579,0.5805965652304911117806568243,0.5022059163757135443694862481,-0.4712510117314614830813534917,,,-0.00403973174654126795991443939
Long,primary,FULL,trade_weighted,JPY_STRONG,2797,275.225992646,0.09840042640185913478727207723,1.491954649863880990005367605,0.5534501251340722202359671076,0.5391989563540051679586563307,-0.4500836619388576025744167337,,,-0.00403973174654126795991443939
Long,primary,FULL,trade_weighted,NEUTRAL_ZERO,0,0,,,,,,,,-0.00403973174654126795991443939
Long,primary,FULL,strategy_equal_weighted,JPY_WEAK,,,0.09668938510861492272573247485,,,,,10,1|2|3|4|6|7|8|13|16|26,-0.02601124431223192649296789325
Long,primary,FULL,strategy_equal_weighted,JPY_STRONG,,,0.1227006294208468492187003681,,,,,10,1|2|3|4|6|7|8|13|16|26,-0.02601124431223192649296789325
Long,robustness,FULL,trade_weighted,JPY_WEAK_TREND,2619,197.953747959,0.07558371437915234822451317297,1.378464152817157178293905726,0.5712103856433753340969835815,0.4819509731771390374331550802,-0.4678398102987477638640429338,,,-0.04427055269803377781359137023
Long,robustness,FULL,trade_weighted,JPY_STRONG_TREND,2047,245.341684707,0.1198542670771861260381045432,1.640755146370767200013007931,0.5686370297997068881289692233,0.5397218930584192439862542955,-0.4351074986511363636363636364,,,-0.04427055269803377781359137023
Long,robustness,FULL,trade_weighted,NEUTRAL_MIXED,1281,123.166842484,0.09614897930054644808743169399,1.471027466205697420508313347,0.5651834504293520686963309914,0.5312877364488950276243093923,-0.4702976235701438848920863309,,,-0.04427055269803377781359137023
Long,robustness,FULL,strategy_equal_weighted,JPY_WEAK_TREND,,,0.08232723034116854048239732406,,,,,9,1|2|3|4|6|7|8|13|26,-0.04304700496825540989290928974
Long,robustness,FULL,strategy_equal_weighted,JPY_STRONG_TREND,,,0.1253742353094239503753066138,,,,,9,1|2|3|4|6|7|8|13|26,-0.04304700496825540989290928974
Short,primary,FULL,trade_weighted,JPY_WEAK,1640,208.398454552,0.1270722283853658536585365854,1.519791440959376468075309909,0.5237804878048780487804878049,0.7093428581583236321303841676,-0.5159936429935649935649935650,,,0.0074577100704404805242082272
Short,primary,FULL,trade_weighted,JPY_STRONG,1340,160.283454542,0.1196145183149253731343283582,1.448167427989071114786723610,0.5126865671641791044776119403,0.7538942702197962154294032023,-0.5493731322565284178187403994,,,0.0074577100704404805242082272
Short,primary,FULL,trade_weighted,NEUTRAL_ZERO,0,0,,,,,,,,0.0074577100704404805242082272
Short,primary,FULL,strategy_equal_weighted,JPY_WEAK,,,0.1709224771417077754287056613,,,,,7,5|9|10|11|12|14|15,-0.0283689873800557259574070198
Short,primary,FULL,strategy_equal_weighted,JPY_STRONG,,,0.1992914645217635013861126811,,,,,7,5|9|10|11|12|14|15,-0.0283689873800557259574070198
Short,robustness,FULL,trade_weighted,JPY_WEAK_TREND,1267,164.081282830,0.1295037749250197316495659037,1.540640566690479651487984632,0.5272296764009471191791633781,0.6999633157994011976047904192,-0.5092184767181208053691275168,,,0.0205143101655519732053489129
Short,robustness,FULL,trade_weighted,JPY_STRONG_TREND,977,106.482707070,0.1089894647594677584442169908,1.406886988310164571722244894,0.5025588536335721596724667349,0.7498648604256619144602851324,-0.5407044202458677685950413223,,,0.0205143101655519732053489129
Short,robustness,FULL,trade_weighted,NEUTRAL_MIXED,660,85.213404042,0.1291112182454545454545454545,1.486478399216541125605936122,0.5212121212121212121212121212,0.7569104709941860465116279070,-0.5560755491428571428571428571,,,0.0205143101655519732053489129
Short,robustness,FULL,strategy_equal_weighted,JPY_WEAK_TREND,,,0.1656516819713935415154927350,,,,,6,5|9|10|11|12|14,0.0302027910647069425806832944
Short,robustness,FULL,strategy_equal_weighted,JPY_STRONG_TREND,,,0.1354488909066865989348094406,,,,,6,5|9|10|11|12|14,0.0302027910647069425806832944
