StrategyNo,Strategy,EntryTime,Group,DailyDate,LastM1,AvailableAt,Index,Close,Return126,MA200,MA200Lag20,Primary,Robustness
1,1_EJ_Log1,2015-01-05 13:55:00,Long,2015-01-03 00:00:00,2015-01-03 06:59:00,2015-01-04 00:00:00,1,120.419,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
1,1_EJ_Log1,2026-09-07 13:55:00,Long,2026-09-05 00:00:00,2026-09-05 05:59:00,2026-09-06 00:00:00,3644,156.263,-0.0190153931145318,158.811785,158.631975,JPY_STRONG,NEUTRAL_MIXED
2,2_EJ_NightBlitz_20,2015-01-05 20:56:00,Long,2015-01-03 00:00:00,2015-01-03 06:59:00,2015-01-04 00:00:00,1,120.419,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
2,2_EJ_NightBlitz_20,2026-09-07 20:56:00,Long,2026-09-05 00:00:00,2026-09-05 05:59:00,2026-09-06 00:00:00,3644,156.263,-0.0190153931145318,158.811785,158.631975,JPY_STRONG,NEUTRAL_MIXED
3,3_EJ_NightBlitz_21,2015-01-05 21:56:00,Long,2015-01-03 00:00:00,2015-01-03 06:59:00,2015-01-04 00:00:00,1,120.419,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
3,3_EJ_NightBlitz_21,2026-09-07 21:56:00,Long,2026-09-05 00:00:00,2026-09-05 05:59:00,2026-09-06 00:00:00,3644,156.263,-0.0190153931145318,158.811785,158.631975,JPY_STRONG,NEUTRAL_MIXED
4,4_GJ_Port_Log1,2015-01-06 00:00:00,Long,2015-01-05 00:00:00,2015-01-05 23:59:00,2015-01-06 00:00:00,2,119.485,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
4,4_GJ_Port_Log1,2026-09-08 00:00:00,Long,2026-09-07 00:00:00,2026-09-07 23:59:00,2026-09-08 00:00:00,3645,154.286,-0.0331139938584947,158.79367,158.645115,JPY_STRONG,NEUTRAL_MIXED
5,5_GJ_Port_Log2,2015-01-06 09:55:00,Short,2015-01-05 00:00:00,2015-01-05 23:59:00,2015-01-06 00:00:00,2,119.485,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
5,5_GJ_Port_Log2,2026-09-08 09:55:00,Short,2026-09-07 00:00:00,2026-09-07 23:59:00,2026-09-08 00:00:00,3645,154.286,-0.0331139938584947,158.79367,158.645115,JPY_STRONG,NEUTRAL_MIXED
6,6_GJ_Old_Mon,2015-03-02 15:45:00,Long,2015-02-28 00:00:00,2015-02-28 06:59:00,2015-03-01 00:00:00,49,119.622,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
6,6_GJ_Old_Mon,2026-09-07 15:45:00,Long,2026-09-05 00:00:00,2026-09-05 05:59:00,2026-09-06 00:00:00,3644,156.263,-0.0190153931145318,158.811785,158.631975,JPY_STRONG,NEUTRAL_MIXED
7,7_GJ_Mon_Blitz,2015-01-05 18:02:00,Long,2015-01-03 00:00:00,2015-01-03 06:59:00,2015-01-04 00:00:00,1,120.419,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
7,7_GJ_Mon_Blitz,2026-09-07 18:02:00,Long,2026-09-05 00:00:00,2026-09-05 05:59:00,2026-09-06 00:00:00,3644,156.263,-0.0190153931145318,158.811785,158.631975,JPY_STRONG,NEUTRAL_MIXED
8,8_AJ_Core1,2015-01-05 08:01:00,Long,2015-01-03 00:00:00,2015-01-03 06:59:00,2015-01-04 00:00:00,1,120.419,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
8,8_AJ_Core1,2026-09-07 08:01:00,Long,2026-09-05 00:00:00,2026-09-05 05:59:00,2026-09-06 00:00:00,3644,156.263,-0.0190153931145318,158.811785,158.631975,JPY_STRONG,NEUTRAL_MIXED
9,9_AJ_Core2,2015-01-08 17:14:00,Short,2015-01-07 00:00:00,2015-01-07 23:59:00,2015-01-08 00:00:00,4,119.5,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
9,9_AJ_Core2,2026-08-13 17:14:00,Short,2026-08-12 00:00:00,2026-08-12 23:59:00,2026-08-13 00:00:00,3623,159.203,-0.0013737125365382,158.62121,158.157,JPY_STRONG,JPY_WEAK_TREND
10,10_AJ_SatA,2015-01-23 10:58:00,Short,2015-01-22 00:00:00,2015-01-22 23:59:00,2015-01-23 00:00:00,17,117.414,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
10,10_AJ_SatA,2026-08-28 10:58:00,Short,2026-08-27 00:00:00,2026-08-27 23:59:00,2026-08-28 00:00:00,3636,159.332,-0.0001882506494647,158.795615,158.534285,JPY_STRONG,JPY_WEAK_TREND
11,11_AJ_SatB,2015-01-23 18:57:00,Short,2015-01-22 00:00:00,2015-01-22 23:59:00,2015-01-23 00:00:00,17,117.414,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
11,11_AJ_SatB,2026-08-28 18:57:00,Short,2026-08-27 00:00:00,2026-08-27 23:59:00,2026-08-28 00:00:00,3636,159.332,-0.0001882506494647,158.795615,158.534285,JPY_STRONG,JPY_WEAK_TREND
12,12_UJ_Short_Core,2015-01-20 09:55:00,Short,2015-01-19 00:00:00,2015-01-19 23:59:00,2015-01-20 00:00:00,14,117.489,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
12,12_UJ_Short_Core,2026-07-30 09:55:00,Short,2026-07-29 00:00:00,2026-07-29 23:59:00,2026-07-30 00:00:00,3611,163.886,0.0421936903421917,158.482595,157.7862,JPY_WEAK,JPY_WEAK_TREND
13,13_UJ_Fix_MidWeek,2015-01-28 18:04:00,Long,2015-01-27 00:00:00,2015-01-27 23:59:00,2015-01-28 00:00:00,21,117.396,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
13,13_UJ_Fix_MidWeek,2026-08-27 18:04:00,Long,2026-08-26 00:00:00,2026-08-26 23:59:00,2026-08-27 00:00:00,3635,159.408,0.0058238950058365,158.78098,158.526035,JPY_WEAK,JPY_WEAK_TREND
14,14_UJ_Sat_3rd,2015-02-03 20:01:00,Short,2015-02-02 00:00:00,2015-02-02 23:59:00,2015-02-03 00:00:00,26,117.54,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
14,14_UJ_Sat_3rd,2026-09-03 20:01:00,Short,2026-09-02 00:00:00,2026-09-02 23:59:00,2026-09-03 00:00:00,3641,158.742,0.0029125416190193,158.85206,158.604635,JPY_WEAK,NEUTRAL_MIXED
15,15_UJ_Sat_Aug,2015-08-03 19:00:00,Short,2015-08-01 00:00:00,2015-08-01 05:59:00,2015-08-02 00:00:00,181,123.85,0.0249513799809657,,,JPY_WEAK,INSUFFICIENT_REGIME_HISTORY
15,15_UJ_Sat_Aug,2026-08-10 19:00:00,Short,2026-08-08 00:00:00,2026-08-08 05:59:00,2026-08-09 00:00:00,3620,157.798,-0.0119902575244344,158.587395,158.065365,JPY_STRONG,NEUTRAL_MIXED
16,16_UJ_T10A,2015-02-10 02:58:00,Long,2015-02-09 00:00:00,2015-02-09 23:59:00,2015-02-10 00:00:00,32,118.723,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
16,16_UJ_T10A,2026-07-10 02:58:00,Long,2026-07-09 00:00:00,2026-07-09 23:59:00,2026-07-10 00:00:00,3594,162.367,0.0610349807550301,157.901155,157.11023,JPY_WEAK,JPY_WEAK_TREND
26,26_AJ_China_Demand,2015-01-09 10:00:00,Long,2015-01-08 00:00:00,2015-01-08 23:59:00,2015-01-09 00:00:00,5,119.532,,,,INSUFFICIENT_REGIME_HISTORY,INSUFFICIENT_REGIME_HISTORY
26,26_AJ_China_Demand,2026-07-15 10:00:00,Long,2026-07-14 00:00:00,2026-07-14 23:59:00,2026-07-15 00:00:00,3598,161.97,0.0554954579222437,158.00945,157.279005,JPY_WEAK,JPY_WEAK_TREND
