Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR
Long,primary,FULL,1,1_EJ_Log1,JPY_WEAK,444,67.338571425,0.1516634491554054054054054054,1.598527077582960307052375884,0.5878378378378378378378378378,0.6890640394176245210727969349,-0.6147931303989071038251366120,,True,0.0094350265460304054054054054
Long,primary,FULL,1,1_EJ_Log1,JPY_STRONG,384,54.615714282,0.142228422609375,1.565263033329581979921457815,0.5651041666666666666666666667,0.6969387755069124423963133641,-0.5785628742694610778443113772,,True,0.0094350265460304054054054054
Long,primary,FULL,1,1_EJ_Log1,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.0094350265460304054054054054
Long,primary,FULL,2,2_EJ_NightBlitz_20,JPY_WEAK,540,63.928888917,0.1183868313277777777777777778,1.414793454154396026238698260,0.5851851851851851851851851852,0.6900351618291139240506329114,-0.6880456349151785714285714286,,True,0.02007062962733724914341654432
Long,primary,FULL,2,2_EJ_NightBlitz_20,JPY_STRONG,454,44.635555572,0.09831620170044052863436123348,1.346752753636661828409597361,0.5396475770925110132158590308,0.7075918368081632653061224490,-0.6218572195458937198067632850,,True,0.02007062962733724914341654432
Long,primary,FULL,2,2_EJ_NightBlitz_20,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.02007062962733724914341654432
Long,primary,FULL,3,3_EJ_NightBlitz_21,JPY_WEAK,541,38.873333327,0.07185459025323475046210720887,1.448200587202428203385280416,0.5970425138632162661737523105,0.3888710009969040247678018576,-0.3978532109862385321100917431,,True,0.01146312597288154957910500136
Long,primary,FULL,3,3_EJ_NightBlitz_21,JPY_STRONG,453,27.357333319,0.06039146428035320088300220751,1.393404275493525843737696613,0.5298013245033112582781456954,0.4037388888416666666666666667,-0.3327272727416267942583732057,,True,0.01146312597288154957910500136
Long,primary,FULL,3,3_EJ_NightBlitz_21,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.01146312597288154957910500136
Long,primary,FULL,4,4_GJ_Port_Log1,JPY_WEAK,499,27.855384605,0.05582241403807615230460921844,1.658364088908252884789854303,0.5871743486973947895791583166,0.2394723024232081911262798635,-0.2074019608088235294117647059,,True,0.02950294406439194177829342897
Long,primary,FULL,4,4_GJ_Port_Log1,JPY_STRONG,418,11.001538449,0.02631946997368421052631578947,1.236267820582915075564165453,0.5430622009569377990430622010,0.2535920026607929515418502203,-0.2437897704450261780104712042,,True,0.02950294406439194177829342897
Long,primary,FULL,4,4_GJ_Port_Log1,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.02950294406439194177829342897
Long,primary,FULL,6,6_GJ_Old_Mon,JPY_WEAK,258,35.208,0.1364651162790697674418604651,1.361508132084770823065549532,0.5155038759689922480620155039,0.9969924812030075187969924812,-0.779136,,True,-0.0758787751236451646848363675
Long,primary,FULL,6,6_GJ_Old_Mon,JPY_STRONG,221,46.928,0.2123438914027149321266968326,1.572669806946037634539818905,0.5339366515837104072398190045,1.092152542372881355932203390,-0.7955922330097087378640776699,,True,-0.0758787751236451646848363675
Long,primary,FULL,6,6_GJ_Old_Mon,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.0758787751236451646848363675
Long,primary,FULL,7,7_GJ_Mon_Blitz,JPY_WEAK,312,8.693846153,0.02786489151602564102564102564,1.225665395412137904471267903,0.5544871794871794871794871795,0.2729435304624277456647398844,-0.2771610404100719424460431655,,True,-0.04193157657346852239848348798
Long,primary,FULL,7,7_GJ_Mon_Blitz,JPY_STRONG,257,17.937692299,0.06979646808949416342412451362,1.651751026688198172182211172,0.5603112840466926070038910506,0.3156944444236111111111111111,-0.2435602451150442477876106195,,True,-0.04193157657346852239848348798
Long,primary,FULL,7,7_GJ_Mon_Blitz,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.04193157657346852239848348798
Long,primary,FULL,8,8_AJ_Core1,JPY_WEAK,311,26.218571427,0.08430408818971061093247588424,1.404081992114079759172645445,0.5723472668810289389067524116,0.5118138041460674157303370787,-0.4878517722631578947368421053,,True,-0.02920643228315760612178768166
