Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,WinRate,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
Base_NoFilter,Full_2015_2026Q1,15265,500000.0,6550427564991637.0,6550427564491637.0,1310085512898.33,1037057763728614.0,42.95,6.32,54.48,1.325,-26.91,49.58,4.63
Base_NoFilter,StrictIS_2015_2024,13724,500000.0,517292965551638.0,517292965051638.0,103458593010.33,50769879924488.0,42.95,10.19,54.46,1.518,-26.91,49.58,4.64
Base_NoFilter,StrictOOS_2025_2026Q1,1541,517292965551638.0,6550427564991637.0,6033134599439999.0,1166.29,1037057763728614.0,25.76,5.82,54.7,1.315,-12.86,44.97,4.58
Base_NoFilter,Q1_2026,348,4736421108767614.0,6550427564991637.0,1814006456224023.0,38.3,1037057763728614.0,15.12,1.75,52.01,1.194,-6.68,33.61,2.94
V1_MaxJPYSameDir_3,Full_2015_2026Q1,13196,500000.0,340884573822665.0,340884573322665.0,68176914664.53,55637808658394.0,41.47,6.13,54.13,1.32,-21.57,50.98,3.98
V1_MaxJPYSameDir_3,StrictIS_2015_2024,11807,500000.0,32079755374244.0,32079754874244.0,6415950974.85,3295014536223.0,41.47,9.74,54.15,1.443,-21.57,50.98,3.96
V1_MaxJPYSameDir_3,StrictOOS_2025_2026Q1,1389,32079755374244.0,340884573822665.0,308804818448421.0,962.62,55637808658394.0,21.67,5.55,53.92,1.311,-12.06,43.86,4.22
V1_MaxJPYSameDir_3,Q1_2026,310,275760422074126.0,340884573822665.0,65124151748540.0,23.62,55637808658394.0,15.34,1.17,50.65,1.137,-8.48,30.5,1.99
V1_MaxTrades_7,Full_2015_2026Q1,13511,500000.0,608790833155740.0,608790832655740.0,121758166531.15,105200575059760.0,36.49,5.79,54.24,1.321,-20.6,54.01,4.12
V1_MaxTrades_7,StrictIS_2015_2024,12081,500000.0,48798463859455.0,48798463359455.0,9759692671.89,4387129486026.0,36.49,11.12,54.2,1.47,-20.6,54.01,4.07
V1_MaxTrades_7,StrictOOS_2025_2026Q1,1430,48798463859455.0,608790833155740.0,559992369296285.0,1147.56,105200575059760.0,24.36,5.32,54.62,1.312,-12.38,46.97,4.51
V1_MaxTrades_7,Q1_2026,314,478273883728800.0,608790833155740.0,130516949426940.0,27.29,105200575059760.0,15.1,1.24,50.96,1.147,-8.07,23.61,2.14
V1_MaxTrades_7_JPY_3_AUD_3,Full_2015_2026Q1,12208,500000.0,152072081469309.0,152072080969309.0,30414416193.86,24820593305799.0,34.24,6.13,54.07,1.296,-16.4,50.98,3.77
V1_MaxTrades_7_JPY_3_AUD_3,StrictIS_2015_2024,10894,500000.0,20322227689958.0,20322227189958.0,4064445437.99,2045461538050.0,34.24,9.94,54.11,1.463,-16.4,50.98,3.8
V1_MaxTrades_7_JPY_3_AUD_3,StrictOOS_2025_2026Q1,1314,20322227689958.0,152072081469309.0,131749853779351.0,648.3,24820593305799.0,25.08,5.31,53.73,1.28,-12.06,40.9,3.56
V1_MaxTrades_7_JPY_3_AUD_3,Q1_2026,286,130437004134478.0,152072081469309.0,21635077334831.0,16.59,24820593305799.0,15.34,0.87,51.75,1.1,-8.48,18.7,1.36
V1_MaxTrades_5_JPY_2_AUD_2,Full_2015_2026Q1,9820,500000.0,1888568013477.0,1888567513477.0,377713502.7,279857333413.0,28.62,6.75,53.82,1.279,-13.63,47.32,2.89
V1_MaxTrades_5_JPY_2_AUD_2,StrictIS_2015_2024,8717,500000.0,445440217913.0,445439717913.0,89087943.58,57429227733.0,28.62,7.76,53.95,1.397,-13.63,47.32,2.93
V1_MaxTrades_5_JPY_2_AUD_2,StrictOOS_2025_2026Q1,1103,445440217913.0,1888568013477.0,1443127795565.0,323.98,279857333413.0,27.51,5.16,52.77,1.255,-13.19,28.13,2.56
V1_MaxTrades_5_JPY_2_AUD_2,Q1_2026,227,1711470631409.0,1888568013477.0,177097382068.0,10.35,279857333413.0,13.31,0.63,51.54,1.079,-10.61,12.68,0.88
V1_MaxTrades_5_JPY_2_AUD_3,Full_2015_2026Q1,10415,500000.0,3175174497556.0,3175173997556.0,635034799.51,701766499994.0,29.94,4.52,54.05,1.258,-16.51,48.79,3.0
