Config,Type,AcceptedTrades,RejectedTrades,RejectedRatePct,Full_Trades,Full_EndEquity,Full_NetProfitYen,Full_ReturnPct,Full_MaxDDYen,Full_MaxDDPct,Full_MoneyRoMD,Full_PF_Yen,Full_WorstWeekReturnPct,IS_Trades,IS_EndEquity,IS_NetProfitYen,IS_ReturnPct,IS_MaxDDYen,IS_MaxDDPct,IS_MoneyRoMD,IS_PF_Yen,IS_WorstWeekReturnPct,OOS_Trades,OOS_EndEquity,OOS_NetProfitYen,OOS_ReturnPct,OOS_MaxDDYen,OOS_MaxDDPct,OOS_MoneyRoMD,OOS_PF_Yen,OOS_WorstWeekReturnPct,Q1_Trades,Q1_EndEquity,Q1_NetProfitYen,Q1_ReturnPct,Q1_MaxDDYen,Q1_MaxDDPct,Q1_MoneyRoMD,Q1_PF_Yen,Q1_WorstWeekReturnPct,Delta_Full_NetProfitYen,Delta_Full_MaxDDPct,Delta_Full_MoneyRoMD,Delta_OOS_NetProfitYen,Delta_OOS_MaxDDPct,Delta_OOS_MoneyRoMD,Delta_Q1_NetProfitYen,Delta_Q1_MaxDDPct,Delta_Q1_MoneyRoMD
V2_H1_ATR14_Pips_LTE_P70,v2,10557,4708,30.84,10557,82063800842.0,82063300842.0,16412660.17,6846949876.0,42.18,11.99,1.43,-21.6,9611,20661753483.0,20661253483.0,4132250.7,2157903422.0,42.18,9.57,1.379,-21.6,946,82063800842.0,61402047360.0,297.18,6846949876.0,16.74,8.97,1.451,-8.24,182,82063800842.0,22250769611.0,37.2,6846949876.0,8.23,3.25,1.466,-6.89,-6550345501190795.0,-0.7700000000000031,5.67,-6033073197392639.0,-9.020000000000003,3.1500000000000004,-1813984205454412.0,-6.889999999999999,1.5
V2_H1_ATR14_Pips_LTE_P75,v2,11349,3916,25.65,11349,482092266068.0,482091766068.0,96418353.21,49999615504.0,43.07,9.64,1.442,-22.1,10297,91462003962.0,91461503962.0,18292300.79,9503525917.0,43.07,9.62,1.411,-22.1,1052,482092266068.0,390630262106.0,427.1,49999615504.0,17.02,7.81,1.45,-10.29,208,482092266068.0,140399304160.0,41.09,49999615504.0,11.92,2.81,1.43,-6.89,-6549945472725569.0,0.11999999999999744,3.3200000000000003,-6032743969177893.0,-8.740000000000002,1.9899999999999993,-1813866056919863.0,-3.1999999999999993,1.06
V2_Range24hPips_LTE_P70,v2,10610,4655,30.49,10610,980244330067.0,980243830067.0,196048766.01,97447957319.0,39.92,10.06,1.403,-25.59,9612,222324106945.0,222323606945.0,44464721.39,34784154255.0,39.92,6.39,1.408,-25.59,998,980244330067.0,757920223123.0,340.91,97447957319.0,17.21,7.78,1.402,-9.23,203,980244330067.0,261994369373.0,36.48,97447957319.0,12.12,2.69,1.372,-5.28,-6549447320661570.0,-3.030000000000001,3.74,-6032376679216876.0,-8.55,1.96,-1813744461854650.0,-3.0,0.94
V2_Range24hPips_LTE_P75,v2,11393,3872,25.37,11393,2067338002069.0,2067337502069.0,413467500.41,295519942099.0,39.77,7.0,1.36,-23.9,10295,426831053301.0,426830553301.0,85366110.66,84494414936.0,39.77,5.05,1.357,-23.9,1098,2067338002069.0,1640506948768.0,384.35,295519942099.0,17.96,5.55,1.361,-9.53,233,2067338002069.0,485681373039.0,30.71,295519942099.0,16.72,1.64,1.265,-7.2,-6548360226989568.0,-3.1799999999999997,0.6799999999999997,-6031494092491231.0,-7.800000000000001,-0.27000000000000046,-1813520774850984.0,1.5999999999999996,-0.1100000000000001
V2_PrevDayRangePips_LTE_P70,v2,10592,4673,30.61,10592,556672256205.0,556671756205.0,111334351.24,72987658869.0,41.31,7.63,1.396,-24.98,9607,124333556050.0,124333056050.0,24866611.21,21986160182.0,41.31,5.66,1.457,-24.98,985,556672256205.0,432338700155.0,347.72,72987658869.0,18.91,5.92,1.381,-11.01,212,556672256205.0,119965224053.0,27.47,72987658869.0,13.99,1.64,1.27,-6.59,-6549870892735432.0,-1.6400000000000006,1.3099999999999996,-6032702260739844.0,-6.850000000000001,0.09999999999999964,-1813886490999970.0,-1.129999999999999,-0.1100000000000001
V2_DayToEntryRangePips_LTE_P70,v2,9953,5312,34.8,9953,303864357209.0,303863857209.0,60772771.44,32299775905.0,39.96,9.41,1.461,-20.9,9040,59107962559.0,59107462559.0,11821492.51,7039794152.0,39.96,8.4,1.401,-20.9,913,303864357209.0,244756394651.0,414.08,32299775905.0,19.12,7.58,1.478,-9.77,194,303864357209.0,92581315790.0,43.82,32299775905.0,13.12,2.87,1.428,-5.16,-6550123700634428.0,-2.990000000000002,3.09,-6032889843045348.0,-6.640000000000001,1.7599999999999998,-1813913874908233.0,-2.0,1.12
V2_Range24hPips_LTE_P80,v2,12166,3099,20.3,12166,6845678124811.0,6845677624811.0,1369135524.96,965000324654.0,42.11,7.09,1.37,-26.94,10980,1239455863953.0,1239455363953.0,247891072.79,184377930600.0,42.11,6.72,1.384,-26.94,1186,6845678124811.0,5606222260858.0,452.31,965000324654.0,19.63,5.81,1.367,-9.53,255,6845678124811.0,1771629472455.0,34.92,965000324654.0,16.68,1.84,1.277,-7.2,-6543581886866826.0,-0.8400000000000034,0.7699999999999996,-6027528377179141.0,-6.130000000000003,-0.010000000000000675,-1812234826751568.0,1.5600000000000005,0.09000000000000008
V2_H1_ATR14_Pips_LTE_P80,v2,12128,3137,20.55,12128,1518545686250.0,1518545186250.0,303709037.25,192824206946.0,45.4,7.88,1.36,-27.99,10979,322385532527.0,322385032527.0,64477006.51,39530624602.0,45.4,8.16,1.39,-27.99,1149,1518545686250.0,1196160153723.0,371.03,192824206946.0,19.79,6.2,1.353,-11.77,226,1518545686250.0,376931221494.0,33.02,192824206946.0,14.16,1.95,1.306,-6.39,-6548909019305387.0,2.4499999999999957,1.5599999999999996,-6031938439286276.0,-5.970000000000002,0.3799999999999999,-1813629525002529.0,-0.9599999999999991,0.19999999999999996
V2_DayToEntryRangePips_LTE_P75,v2,10666,4599,30.13,10666,1490520332021.0,1490519832021.0,298103966.4,190613425381.0,40.2,7.82,1.438,-22.63,9685,257515924080.0,257515424080.0,51503084.82,29966776436.0,40.2,8.59,1.396,-22.63,981,1490520332021.0,1233004407940.0,478.81,190613425381.0,19.98,6.47,1.448,-9.77,207,1490520332021.0,373038212485.0,33.38,190613425381.0,15.13,1.96,1.307,-7.56,-6548937044659616.0,-2.75,1.5,-6031901595032059.0,-5.780000000000001,0.6499999999999995,-1813633418011538.0,0.010000000000001563,0.20999999999999996
V1_MaxJPYSameDir_3,v1,13196,2069,13.55,13196,340884573822665.0,340884573322665.0,68176914664.53,55637808658394.0,41.47,6.13,1.32,-21.57,11807,32079755374244.0,32079754874244.0,6415950974.85,3295014536223.0,41.47,9.74,1.443,-21.57,1389,340884573822665.0,308804818448421.0,962.62,55637808658394.0,21.67,5.55,1.311,-12.06,310,340884573822665.0,65124151748540.0,23.62,55637808658394.0,15.34,1.17,1.137,-8.48,-6209542991168972.0,-1.480000000000004,-0.1900000000000004,-5724329780991578.0,-4.09,-0.27000000000000046,-1748882304475483.0,0.22000000000000064,-0.5800000000000001
