Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,PipSize,SpreadPips,SpreadPrice,CumPips,MaxCumPips,Drawdown,PrevDayRangePips,Range24hPips,DayToEntryRangePips,H1_ATR14_Pips,EntryDate,Group,H1_ATR_P70_Threshold,FilterDecision,ATR_to_Threshold_Ratio
8_AJ_Core1,AJ,Long,2015-01-05 08:01:00,2015-01-05 22:46:00,-46.7,TimeExit,8,1,70,110,0.01,1.5,0.015,-296.7,-50.0,246.7,52.5,35.9,35.9,18.514,2015-01-05,CrossJPY_16,19.679,Accepted,0.9407998373901113
20_EA_1A_MonTue_Short,EA,Short,2015-01-06 10:01:00,2015-01-06 16:00:00,28.8,TimeExit,10,1,50,125,0.0001,1.5,0.00015,-432.2,-50.0,382.2,148.2,163.7,67.2,27.264,2015-01-06,EA_Rev4,27.414,Accepted,0.9945283431823155
9_AJ_Core2,AJ,Short,2015-01-08 17:14:00,2015-01-09 01:14:00,1.7,TimeExit,17,14,30,80,0.01,1.5,0.015,-294.6000000000001,-50.0,244.60000000000008,104.4,140.5,122.5,19.5,2015-01-08,CrossJPY_16,19.679,Accepted,0.9909040093500687
19_EA_3_WedThu_Long,EA,Long,2015-01-08 20:56:00,2015-01-09 10:00:00,-4.0,TimeExit,20,56,90,999,0.0001,1.5,0.00015,-298.6000000000001,-50.0,248.60000000000008,94.4,194.9,194.9,26.336,2015-01-08,EA_Rev4,27.414,Accepted,0.960677026336908
26_AJ_China_Demand,AJ,Long,2015-01-09 10:00:00,2015-01-09 15:50:00,-27.7,TimeExit,10,0,45,80,0.01,1.5,0.015,-326.30000000000007,-50.0,276.30000000000007,130.3,78.5,46.4,17.686,2015-01-09,China_Demand,19.679,Accepted,0.8987245286854008
25_AU_China_Demand,AU,Long,2015-01-09 10:00:00,2015-01-09 15:50:00,0.0,TimeExit,10,0,40,40,0.0001,1.5,0.00015,-326.30000000000007,-50.0,276.30000000000007,92.4,46.5,27.5,14.507,2015-01-09,China_Demand,15.267,Accepted,0.9502194275234165
27_EA_China_Demand,EA,Short,2015-01-09 10:00:00,2015-01-09 15:50:00,0.1,TimeExit,10,0,60,60,0.0001,1.5,0.00015,-326.20000000000005,-50.0,276.20000000000005,194.9,124.6,41.7,22.721,2015-01-09,China_Demand,27.414,Accepted,0.8288100970307142
28_GA_China_Demand,GA,Short,2015-01-09 10:00:00,2015-01-09 16:10:00,5.2,TimeExit,10,0,75,70,0.0001,2.0,0.0002,-321.00000000000006,-50.0,271.00000000000006,240.5,138.0,57.1,26.936,2015-01-09,China_Demand,33.129,Accepted,0.813064082827734
28_GA_China_Demand,GA,Short,2015-01-12 10:00:00,2015-01-12 13:07:00,70.0,TP,10,0,75,70,0.0001,2.0,0.0002,-191.00000000000009,-50.0,141.00000000000006,47.2,33.0,33.0,33.0,2015-01-12,China_Demand,33.129,Accepted,0.9961061305804583
7_GJ_Mon_Blitz,GJ,Long,2015-01-12 18:02:00,2015-01-12 23:02:00,44.6,TimeExit,18,2,130,250,0.01,2.0,0.02,-99.30000000000004,-50.0,49.30000000000004,89.8,73.5,73.5,27.243,2015-01-12,CrossJPY_16,31.189,Accepted,0.8734810349802815
2_EJ_NightBlitz_20,EJ,Long,2015-01-12 20:56:00,2015-01-12 23:35:00,-45.0,SL,20,56,45,70,0.01,1.0,0.01,-144.30000000000004,-50.0,94.30000000000004,50.5,85.2,85.2,21.843,2015-01-12,CrossJPY_16,23.232,Accepted,0.9402117768595042
3_EJ_NightBlitz_21,EJ,Long,2015-01-12 21:56:00,2015-01-13 02:29:00,-75.0,SL,21,56,75,70,0.01,1.0,0.01,-219.30000000000004,-50.0,169.30000000000004,50.5,85.2,85.2,22.571,2015-01-12,CrossJPY_16,23.232,Accepted,0.9715478650137742
28_GA_China_Demand,GA,Short,2015-01-13 10:00:00,2015-01-13 12:08:00,70.0,TP,10,0,75,70,0.0001,2.0,0.0002,-65.90000000000003,-50.0,15.900000000000034,255.1,272.5,97.3,31.857,2015-01-13,China_Demand,33.129,Accepted,0.9616046364212624
25_AU_China_Demand,AU,Long,2015-01-13 10:00:00,2015-01-13 12:09:00,40.0,TP,10,0,40,40,0.0001,1.5,0.00015,-25.90000000000004,-25.90000000000004,0.0,123.8,127.3,41.6,14.486,2015-01-13,China_Demand,15.267,Accepted,0.9488439117049847
27_EA_China_Demand,EA,Short,2015-01-13 10:00:00,2015-01-13 15:50:00,27.9,TimeExit,10,0,60,60,0.0001,1.5,0.00015,-8.000000000000036,-8.000000000000036,0.0,172.1,183.2,64.3,24.55,2015-01-13,China_Demand,27.414,Accepted,0.895527832494346
20_EA_1A_MonTue_Short,EA,Short,2015-01-13 10:01:00,2015-01-13 16:00:00,18.1,TimeExit,10,1,50,125,0.0001,1.5,0.00015,10.099999999999966,10.099999999999966,0.0,172.1,183.2,64.3,24.55,2015-01-13,EA_Rev4,27.414,Accepted,0.895527832494346
17_EA_1B_Wed_Short,EA,Short,2015-01-14 09:59:00,2015-01-14 11:02:00,-70.0,SL,9,59,70,175,0.0001,1.5,0.00015,-294.90000000000003,10.099999999999966,305.0,110.2,140.4,91.3,22.264,2015-01-14,EA_Rev4,27.414,Accepted,0.8121397825928357
27_EA_China_Demand,EA,Short,2015-01-14 10:00:00,2015-01-14 11:01:00,-60.0,SL,10,0,60,60,0.0001,1.5,0.00015,-224.90000000000003,10.099999999999966,235.0,110.2,140.4,91.3,22.864,2015-01-14,China_Demand,27.414,Accepted,0.8340264098635733
28_GA_China_Demand,GA,Short,2015-01-14 10:00:00,2015-01-14 11:15:00,-75.0,SL,10,0,75,70,0.0001,2.0,0.0002,-369.9,10.099999999999966,380.0,152.9,139.6,108.7,28.614,2015-01-14,China_Demand,33.129,Accepted,0.8637145703160374
12_UJ_Short_Core,UJ,Short,2015-01-20 09:55:00,2015-01-20 10:15:00,-20.0,SL,9,55,20,50,0.01,0.5,0.005,104.69999999999992,246.99999999999991,142.3,73.3,96.3,46.5,15.936,2015-01-20,CrossJPY_16,19.629,Accepted,0.8118600030567018
20_EA_1A_MonTue_Short,EA,Short,2015-01-20 10:01:00,2015-01-20 16:00:00,6.7,TimeExit,10,1,50,125,0.0001,1.5,0.00015,111.39999999999992,246.99999999999991,135.6,130.2,141.2,49.1,24.286,2015-01-20,EA_Rev4,27.414,Accepted,0.8858977164952214
17_EA_1B_Wed_Short,EA,Short,2015-01-21 09:59:00,2015-01-21 20:58:00,55.5,TimeExit,9,59,70,175,0.0001,1.5,0.00015,68.59999999999992,246.99999999999991,178.39999999999998,100.7,100.7,60.4,27.321,2015-01-21,EA_Rev4,27.414,Accepted,0.9966075727730357
12_UJ_Short_Core,UJ,Short,2015-01-27 08:04:00,2015-01-27 14:56:00,20.3,TimeExit,8,4,50,999,0.01,0.5,0.005,1225.1,1225.1,0.0,121.8,123.7,27.2,16.286,2015-01-27,CrossJPY_16,19.629,Accepted,0.8296907636660044
4_GJ_Port_Log1,GJ,Long,2015-02-10 00:00:00,2015-02-10 08:55:00,-39.8,TimeExit,0,0,130,90,0.01,2.0,0.02,1507.2,1562.6,55.39999999999986,146.1,146.1,,31.171,2015-02-10,CrossJPY_16,31.189,Accepted,0.9994228734489724
16_UJ_T10A,UJ,Long,2015-02-10 02:58:00,2015-02-10 09:50:00,-22.0,TimeExit,2,58,45,110,0.01,0.5,0.005,1485.2,1562.6,77.39999999999986,65.0,65.0,20.8,17.929,2015-02-10,CrossJPY_16,19.629,Accepted,0.9133934484691018
