Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
Base,Full_2015_2026Q1,15265,500000.0,6550427564991637.0,6550427564491637.0,1310085512898.33,1037057763728614.0,42.95,6.32,1.325,-26.91,49.58,4.63
Base,StrictIS_2015_2024,13724,500000.0,517292965551638.0,517292965051638.0,103458593010.33,50769879924488.0,42.95,10.19,1.518,-26.91,49.58,4.64
Base,StrictOOS_2025_2026Q1,1541,517292965551638.0,6550427564991637.0,6033134599439999.0,1166.29,1037057763728614.0,25.76,5.82,1.315,-12.86,44.97,4.58
Base,Q1_2026,348,4736421108767614.0,6550427564991637.0,1814006456224023.0,38.3,1037057763728614.0,15.12,1.75,1.194,-6.68,33.61,2.94
Accepted_H1_ATR_P70,Full_2015_2026Q1,10557,500000.0,82063800842.0,82063300842.0,16412660.17,6846949876.0,42.18,11.99,1.43,-21.6,30.56,2.38
Accepted_H1_ATR_P70,StrictIS_2015_2024,9611,500000.0,20661753483.0,20661253483.0,4132250.7,2157903422.0,42.18,9.57,1.379,-21.6,30.56,2.38
Accepted_H1_ATR_P70,StrictOOS_2025_2026Q1,946,20661753483.0,82063800842.0,61402047360.0,297.18,6846949876.0,16.74,8.97,1.451,-8.24,14.35,2.41
Accepted_H1_ATR_P70,Q1_2026,182,59813031232.0,82063800842.0,22250769611.0,37.2,6846949876.0,8.23,3.25,1.466,-6.89,11.88,2.56
Rejected_H1_ATR_P70,Full_2015_2026Q1,4708,500000.0,60709304176.0,60708804176.0,12141760.84,15005086405.0,39.76,4.05,1.331,-19.73,47.76,2.83
Rejected_H1_ATR_P70,StrictIS_2015_2024,4113,500000.0,17924774617.0,17924274617.0,3584854.92,2276761493.0,39.76,7.87,1.608,-19.73,47.76,2.86
Rejected_H1_ATR_P70,StrictOOS_2025_2026Q1,595,17924774617.0,60709304176.0,42784529560.0,238.69,15005086405.0,22.05,2.85,1.278,-12.93,44.97,2.61
Rejected_H1_ATR_P70,Q1_2026,166,59849570791.0,60709304176.0,859733385.0,1.44,15005086405.0,22.05,0.06,1.014,-12.93,21.74,0.38
