CategoryColumn,Category,Decision,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
Pair,AJ,Accepted,1363,52.38,1.254,3193.4,465.9,6.85,2.34
Pair,AJ,Rejected,611,56.46,1.719,5907.7,328.2,18.0,9.67
Pair,AU,Accepted,657,53.58,1.391,1450.4,139.5,10.4,2.21
Pair,AU,Rejected,261,54.79,1.198,497.6,277.7,1.79,1.91
Pair,EA,Accepted,2163,55.02,1.3,10146.0,928.7,10.92,4.69
Pair,EA,Rejected,942,51.59,1.267,6111.8,1425.7,4.29,6.49
Pair,EJ,Accepted,1955,56.11,1.335,8456.1,846.4,9.99,4.33
Pair,EJ,Rejected,916,57.42,1.647,10273.2,1203.6,8.54,11.22
Pair,GA,Accepted,1661,52.56,1.198,5168.4,1403.9,3.68,3.11
Pair,GA,Rejected,682,54.84,1.38,5735.7,1118.1,5.13,8.41
Pair,GJ,Accepted,2165,53.63,1.328,12477.1,1271.9,9.81,5.76
Pair,GJ,Rejected,983,52.7,1.367,9023.1,1581.0,5.71,9.18
Pair,UJ,Accepted,593,57.5,1.948,3379.2,177.7,19.02,5.7
Pair,UJ,Rejected,313,62.94,2.605,4739.0,249.2,19.02,15.14
