Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
Base_Full_2015_2026Q1,15265,54.48,1.368,86558.7,2201.7,39.31,5.67,321797.6,-235238.9
Base_StrictIS_2015_2024,13724,54.46,1.364,76673.1,2201.7,34.82,5.59,287378.8,-210705.7
Base_StrictOOS_2025_2026Q1,1541,54.7,1.403,9885.6,872.8,11.33,6.42,34418.8,-24533.2
Base_Q1_2026,348,52.01,1.237,1358.8,600.0,2.26,3.9,7081.0,-5722.2
Accepted_H1_ATR_P70_Full_2015_2026Q1,10557,54.26,1.309,44270.6,1674.1,26.44,4.19,187359.2,-143088.6
Accepted_H1_ATR_P70_StrictIS_2015_2024,9611,54.13,1.299,38840.8,1674.1,23.2,4.04,168953.5,-130112.7
Accepted_H1_ATR_P70_StrictOOS_2025_2026Q1,946,55.6,1.418,5429.8,643.4,8.44,5.74,18405.7,-12975.9
Accepted_H1_ATR_P70_Q1_2026,182,56.04,1.455,1161.0,349.8,3.32,6.38,3711.4,-2550.4
Rejected_H1_ATR_P70_Full_2015_2026Q1,4708,54.99,1.459,42288.1,1337.9,31.61,8.98,134438.4,-92150.3
Rejected_H1_ATR_P70_StrictIS_2015_2024,4113,55.24,1.469,37832.3,1337.9,28.28,9.2,118425.3,-80593.0
Rejected_H1_ATR_P70_StrictOOS_2025_2026Q1,595,53.28,1.386,4455.8,833.9,5.34,7.49,16013.1,-11557.3
Rejected_H1_ATR_P70_Q1_2026,166,47.59,1.062,197.8,745.9,0.27,1.19,3369.6,-3171.8
