CategoryColumn,Category,Decision,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
Pair,AJ,Accepted,13,69.23,3.109,191.9,30.0,6.4,14.76
Pair,AJ,Rejected,34,50.0,1.046,33.5,199.7,0.17,0.99
Pair,AU,Accepted,13,53.85,3.476,94.1,14.6,6.45,7.24
Pair,AU,Rejected,11,45.45,0.914,-15.2,94.7,-0.16,-1.38
Pair,EA,Accepted,42,54.76,1.922,490.3,159.9,3.07,11.67
Pair,EA,Rejected,33,42.42,0.733,-213.3,350.1,-0.61,-6.46
Pair,EJ,Accepted,29,58.62,0.743,-118.2,202.0,-0.59,-4.08
Pair,EJ,Rejected,26,53.85,1.367,101.3,188.0,0.54,3.9
Pair,GA,Accepted,40,52.5,1.64,347.9,140.5,2.48,8.7
Pair,GA,Rejected,15,46.67,1.325,91.7,209.9,0.44,6.11
Pair,GJ,Accepted,39,51.28,1.078,68.6,331.5,0.21,1.76
Pair,GJ,Rejected,29,48.28,1.453,278.5,318.6,0.87,9.6
Pair,UJ,Accepted,6,83.33,22.6,86.4,4.0,21.6,14.4
Pair,UJ,Rejected,18,44.44,0.731,-78.7,125.1,-0.63,-4.37
