CategoryColumn,Category,Decision,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
Strategy,10_AJ_SatA,Accepted,1,100.0,,25.0,0.0,,25.0
Strategy,10_AJ_SatA,Rejected,7,42.86,0.703,-25.2,75.5,-0.33,-3.6
Strategy,11_AJ_SatB,Accepted,1,100.0,,39.6,0.0,,39.6
Strategy,11_AJ_SatB,Rejected,7,57.14,1.527,39.1,19.2,2.04,5.59
Strategy,12_UJ_Short_Core,Accepted,4,75.0,12.5,46.0,4.0,11.5,11.5
Strategy,12_UJ_Short_Core,Rejected,11,27.27,0.427,-140.6,130.1,-1.08,-12.78
Strategy,13_UJ_Fix_MidWeek,Accepted,1,100.0,,17.3,0.0,,17.3
Strategy,13_UJ_Fix_MidWeek,Rejected,4,75.0,43.176,71.7,0.0,,17.92
Strategy,14_UJ_Sat_3rd,Accepted,1,100.0,,23.1,0.0,,23.1
Strategy,14_UJ_Sat_3rd,Rejected,1,100.0,,4.8,0.0,,4.8
Strategy,16_UJ_T10A,Rejected,2,50.0,0.676,-14.6,45.0,-0.32,-7.3
Strategy,17_EA_1B_Wed_Short,Accepted,2,100.0,,66.6,0.0,,33.3
Strategy,17_EA_1B_Wed_Short,Rejected,4,50.0,0.695,-14.3,44.4,-0.32,-3.58
Strategy,18_EA_2_MonWed_Short,Accepted,6,83.33,73.111,259.6,3.6,72.11,43.27
Strategy,18_EA_2_MonWed_Short,Rejected,12,33.33,0.745,-110.2,122.9,-0.9,-9.18
Strategy,19_EA_3_WedThu_Long,Accepted,12,41.67,1.199,52.2,210.3,0.25,4.35
Strategy,19_EA_3_WedThu_Long,Rejected,2,50.0,1.108,6.9,0.0,,3.45
Strategy,1_EJ_Log1,Accepted,9,44.44,0.153,-252.3,213.3,-1.18,-28.03
Strategy,1_EJ_Log1,Rejected,6,66.67,0.751,-34.8,122.6,-0.28,-5.8
Strategy,20_EA_1A_MonTue_Short,Accepted,11,63.64,2.265,100.1,52.2,1.92,9.1
Strategy,20_EA_1A_MonTue_Short,Rejected,11,54.55,0.617,-63.1,100.0,-0.63,-5.74
Strategy,21_GA_B_3,Accepted,7,85.71,13.237,113.8,9.3,12.24,16.26
Strategy,21_GA_B_3,Rejected,5,20.0,0.245,-137.2,130.8,-1.05,-27.44
Strategy,22_GA_C_2,Accepted,9,66.67,2.962,228.8,70.0,3.27,25.42
Strategy,22_GA_C_2,Rejected,1,100.0,,80.0,0.0,,80.0
Strategy,23_GA_F_2,Accepted,6,33.33,0.773,-19.8,50.1,-0.4,-3.3
Strategy,23_GA_F_2,Rejected,3,33.33,2.231,19.7,16.0,1.23,6.57
Strategy,24_GA_D_1,Accepted,8,50.0,1.193,31.2,150.6,0.21,3.9
Strategy,24_GA_D_1,Rejected,1,100.0,,53.7,0.0,,53.7
Strategy,25_AU_China_Demand,Accepted,13,53.85,3.476,94.1,14.6,6.45,7.24
Strategy,25_AU_China_Demand,Rejected,11,45.45,0.914,-15.2,94.7,-0.16,-1.38
Strategy,26_AJ_China_Demand,Accepted,5,100.0,,137.9,0.0,,27.58
Strategy,26_AJ_China_Demand,Rejected,5,60.0,1.536,48.2,90.0,0.54,9.64
Strategy,27_EA_China_Demand,Accepted,11,36.36,1.063,11.8,120.0,0.1,1.07
Strategy,27_EA_China_Demand,Rejected,4,25.0,0.648,-32.6,88.0,-0.37,-8.15
Strategy,28_GA_China_Demand,Accepted,10,30.0,0.964,-6.1,117.6,-0.05,-0.61
Strategy,28_GA_China_Demand,Rejected,5,60.0,1.89,75.5,84.8,0.89,15.1
Strategy,2_EJ_NightBlitz_20,Accepted,10,60.0,0.993,-0.9,48.3,-0.02,-0.09
Strategy,2_EJ_NightBlitz_20,Rejected,10,60.0,2.259,84.7,60.3,1.4,8.47
Strategy,3_EJ_NightBlitz_21,Accepted,10,70.0,6.844,135.0,9.6,14.06,13.5
Strategy,3_EJ_NightBlitz_21,Rejected,10,40.0,1.749,51.4,66.1,0.78,5.14
Strategy,4_GJ_Port_Log1,Accepted,12,58.33,2.647,136.9,50.7,2.7,11.41
Strategy,4_GJ_Port_Log1,Rejected,12,50.0,1.723,125.6,80.9,1.55,10.47
Strategy,5_GJ_Port_Log2,Accepted,17,47.06,0.899,-58.1,272.4,-0.21,-3.42
Strategy,5_GJ_Port_Log2,Rejected,9,33.33,1.042,14.5,219.8,0.07,1.61
Strategy,6_GJ_Old_Mon,Accepted,3,66.67,2.098,54.9,50.0,1.1,18.3
Strategy,6_GJ_Old_Mon,Rejected,2,50.0,0.83,-8.5,0.0,,-4.25
Strategy,7_GJ_Mon_Blitz,Accepted,7,42.86,0.629,-65.1,149.6,-0.44,-9.3
Strategy,7_GJ_Mon_Blitz,Rejected,6,66.67,4.481,146.9,42.2,3.48,24.48
Strategy,8_AJ_Core1,Accepted,3,66.67,3.229,55.5,0.0,,18.5
Strategy,8_AJ_Core1,Rejected,10,40.0,0.689,-130.7,140.6,-0.93,-13.07
Strategy,9_AJ_Core2,Accepted,3,0.0,0.0,-66.1,36.1,-1.83,-22.03
Strategy,9_AJ_Core2,Rejected,5,60.0,2.702,102.1,31.6,3.23,20.42
