Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,PipSize,SpreadPips,SpreadPrice,CumPips,MaxCumPips,Drawdown,PrevDayRangePips,Range24hPips,DayToEntryRangePips,H1_ATR14_Pips,EntryDate,Group,H1_ATR_P70_Threshold,FilterDecision,ATR_to_Threshold_Ratio,TradingWeekStart,Dataset,WeekStartBalance,RiskAmountYen,RMultiple,YenPnL,Equity,PeakEquity,DrawdownYen,DrawdownPct
20_EA_1A_MonTue_Short,EA,Short,2015-01-05 10:01:00,2015-01-05 12:00:00,-50.0,SL,10,1,50,125,0.0001,1.5,0.00015,-50.0,-50.0,0.0,72.3,102.5,102.5,33.129,2015-01-05,EA_Rev4,27.414,Rejected,1.2084701247537752,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-1.0,-10000.0,490000.0,490000.0,0.0,0.0
1_EJ_Log1,EJ,Long,2015-01-05 13:55:00,2015-01-05 20:43:00,-70.0,SL,13,55,70,250,0.01,1.0,0.01,-120.0,-50.0,70.0,90.1,97.3,97.3,34.836,2015-01-05,CrossJPY_16,23.232,Rejected,1.49948347107438,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-1.0,-10000.0,480000.0,490000.0,10000.0,2.0408163265306123
7_GJ_Mon_Blitz,GJ,Long,2015-01-05 18:02:00,2015-01-05 21:52:00,-130.0,SL,18,2,130,250,0.01,2.0,0.02,-250.0,-50.0,200.0,147.8,161.7,161.7,45.336,2015-01-05,CrossJPY_16,31.189,Rejected,1.45358940652153,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-1.0,-10000.0,470000.0,490000.0,20000.0,4.081632653061225
2_EJ_NightBlitz_20,EJ,Long,2015-01-05 20:56:00,2015-01-05 23:03:00,-45.0,SL,20,56,45,70,0.01,1.0,0.01,-341.7,-50.0,291.7,90.1,101.7,101.7,34.214,2015-01-05,CrossJPY_16,23.232,Rejected,1.4727100550964187,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-1.0,-10000.0,460000.0,490000.0,30000.0,6.122448979591836
3_EJ_NightBlitz_21,EJ,Long,2015-01-05 21:56:00,2015-01-06 05:27:00,-20.6,TimeExit,21,56,75,70,0.01,1.0,0.01,-362.3,-50.0,312.3,90.1,125.7,125.7,36.557,2015-01-05,CrossJPY_16,23.232,Rejected,1.5735623278236917,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-0.27466666666666667,-2746.6666666666665,457253.3333333333,490000.0,32746.666666666686,6.682993197278915
4_GJ_Port_Log1,GJ,Long,2015-01-06 00:00:00,2015-01-06 08:55:00,22.5,TimeExit,0,0,130,90,0.01,2.0,0.02,-339.8,-50.0,289.8,249.4,249.4,,39.893,2015-01-06,CrossJPY_16,31.189,Rejected,1.2790727500080157,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,0.17307692307692307,1730.7692307692307,458984.10256410256,490000.0,31015.897435897437,6.329774986917844
21_GA_B_3,GA,Long,2015-01-05 21:02:00,2015-01-06 10:00:00,-121.2,TimeExit,21,2,220,100,0.0001,2.0,0.0002,-461.0,-50.0,411.0,89.9,233.6,233.6,52.343,2015-01-05,GA,33.129,Rejected,1.579975248271907,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-0.5509090909090909,-5509.090909090909,453475.0116550117,490000.0,36524.98834498832,7.454079254079248
5_GJ_Port_Log2,GJ,Short,2015-01-06 09:55:00,2015-01-06 23:55:00,170.6,TimeExit,9,55,90,999,0.01,2.0,0.02,-261.6,-50.0,211.6,249.4,269.9,97.0,45.807,2015-01-06,CrossJPY_16,31.189,Rejected,1.4686908846067523,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,1.8955555555555554,18955.555555555555,472430.5672105672,490000.0,17569.432789432816,3.5855985284556766
4_GJ_Port_Log1,GJ,Long,2015-01-07 00:00:00,2015-01-07 08:55:00,-83.0,TimeExit,0,0,130,90,0.01,2.0,0.02,-344.6,-50.0,294.6,245.1,245.1,,49.136,2015-01-07,CrossJPY_16,31.189,Rejected,1.5754272339606914,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-0.6384615384615384,-6384.615384615384,466045.9518259518,490000.0,23954.048174048192,4.888581260009835
17_EA_1B_Wed_Short,EA,Short,2015-01-07 09:59:00,2015-01-07 20:58:00,76.9,TimeExit,9,59,70,175,0.0001,1.5,0.00015,-267.70000000000005,-50.0,217.70000000000005,158.2,124.5,81.6,31.193,2015-01-07,EA_Rev4,27.414,Rejected,1.1378492740935289,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,1.0985714285714288,10985.714285714288,477031.6661116661,490000.0,12968.333888333873,2.6465987527211987
