Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
Base_NoFilter,Full_2015_2026Q1,15265,500000.0,6550427564991637.0,6550427564491637.0,1310085512898.33,1037057763728614.0,42.95,6.32,1.325,-26.91,49.58,4.63
Base_NoFilter,StrictIS_2015_2024,13724,500000.0,517292965551638.0,517292965051638.0,103458593010.33,50769879924488.0,42.95,10.19,1.518,-26.91,49.58,4.64
Base_NoFilter,StrictOOS_2025_2026Q1,1541,517292965551638.0,6550427564991637.0,6033134599439999.0,1166.29,1037057763728614.0,25.76,5.82,1.315,-12.86,44.97,4.58
Base_NoFilter,Q1_2026,348,4736421108767614.0,6550427564991637.0,1814006456224023.0,38.3,1037057763728614.0,15.12,1.75,1.194,-6.68,33.61,2.94
Global_H1_ATR_P70,Full_2015_2026Q1,10557,500000.0,82063800842.0,82063300842.0,16412660.17,6846949876.0,42.18,11.99,1.43,-21.6,30.56,2.38
Global_H1_ATR_P70,StrictIS_2015_2024,9611,500000.0,20661753483.0,20661253483.0,4132250.7,2157903422.0,42.18,9.57,1.379,-21.6,30.56,2.38
Global_H1_ATR_P70,StrictOOS_2025_2026Q1,946,20661753483.0,82063800842.0,61402047360.0,297.18,6846949876.0,16.74,8.97,1.451,-8.24,14.35,2.41
Global_H1_ATR_P70,Q1_2026,182,59813031232.0,82063800842.0,22250769611.0,37.2,6846949876.0,8.23,3.25,1.466,-6.89,11.88,2.56
Global_H1_ATR_P75,Full_2015_2026Q1,11349,500000.0,482092266068.0,482091766068.0,96418353.21,49999615504.0,43.07,9.64,1.442,-22.1,31.95,2.73
Global_H1_ATR_P75,StrictIS_2015_2024,10297,500000.0,91462003962.0,91461503962.0,18292300.79,9503525917.0,43.07,9.62,1.411,-22.1,31.95,2.71
Global_H1_ATR_P75,StrictOOS_2025_2026Q1,1052,91462003962.0,482092266068.0,390630262106.0,427.1,49999615504.0,17.02,7.81,1.45,-10.29,19.7,2.89
Global_H1_ATR_P75,Q1_2026,208,341692961908.0,482092266068.0,140399304160.0,41.09,49999615504.0,11.92,2.81,1.43,-6.89,18.37,2.84
Global_H1_ATR_P80,Full_2015_2026Q1,12128,500000.0,1518545686250.0,1518545186250.0,303709037.25,192824206946.0,45.4,7.88,1.36,-27.99,35.73,2.95
Global_H1_ATR_P80,StrictIS_2015_2024,10979,500000.0,322385532527.0,322385032527.0,64477006.51,39530624602.0,45.4,8.16,1.39,-27.99,35.73,2.97
Global_H1_ATR_P80,StrictOOS_2025_2026Q1,1149,322385532527.0,1518545686250.0,1196160153723.0,371.03,192824206946.0,19.79,6.2,1.353,-11.77,22.96,2.74
Global_H1_ATR_P80,Q1_2026,226,1141614464757.0,1518545686250.0,376931221494.0,33.02,192824206946.0,14.16,1.95,1.306,-6.39,20.13,2.4
LogicSpecific_ATR_Selected,Full_2015_2026Q1,13972,500000.0,181809306754733.0,181809306254733.0,36361861250.95,25235279524139.0,43.45,7.2,1.413,-23.3,37.0,3.87
LogicSpecific_ATR_Selected,StrictIS_2015_2024,12612,500000.0,14204001130458.0,14204000630458.0,2840800126.09,1439883535394.0,43.45,9.86,1.501,-23.3,33.93,3.79
LogicSpecific_ATR_Selected,StrictOOS_2025_2026Q1,1360,14204001130458.0,181809306754733.0,167605305624275.0,1179.99,25235279524139.0,24.1,6.64,1.407,-11.83,37.0,4.48
LogicSpecific_ATR_Selected,Q1_2026,307,123985638079153.0,181809306754733.0,57823668675579.0,46.64,25235279524139.0,14.54,2.29,1.274,-8.89,29.78,3.34
