Dataset,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance,PortfolioSet
Base_NoFilter,2015-01-05 06:00:00,500000.0,10000.0,22,-30499.0,-6.1,469501.0,Base_NoFilter
Base_NoFilter,2015-01-12 06:00:00,469501.0,9390.0,35,77721.0,16.55,547222.0,Base_NoFilter
Base_NoFilter,2015-01-19 06:00:00,547222.0,10944.0,24,78614.0,14.37,625836.0,Base_NoFilter
Base_NoFilter,2015-01-26 06:00:00,625836.0,12517.0,26,139351.0,22.27,765187.0,Base_NoFilter
Base_NoFilter,2015-02-02 06:00:00,765187.0,15304.0,18,-33358.0,-4.36,731829.0,Base_NoFilter
Base_NoFilter,2015-02-09 06:00:00,731829.0,14637.0,42,93618.0,12.79,825446.0,Base_NoFilter
Base_NoFilter,2015-02-16 06:00:00,825446.0,16509.0,24,-7653.0,-0.93,817794.0,Base_NoFilter
Base_NoFilter,2015-02-23 06:00:00,817794.0,16356.0,25,-32500.0,-3.97,785293.0,Base_NoFilter
Base_NoFilter,2015-03-02 06:00:00,785293.0,15706.0,20,-5766.0,-0.73,779528.0,Base_NoFilter
Base_NoFilter,2015-03-09 06:00:00,779528.0,15591.0,50,113981.0,14.62,893509.0,Base_NoFilter
Base_NoFilter,2015-03-16 06:00:00,893509.0,17870.0,21,96415.0,10.79,989924.0,Base_NoFilter
Base_NoFilter,2015-03-23 06:00:00,989924.0,19798.0,31,65823.0,6.65,1055747.0,Base_NoFilter
Base_NoFilter,2015-03-30 06:00:00,1055747.0,21115.0,20,-36776.0,-3.48,1018971.0,Base_NoFilter
Base_NoFilter,2015-04-06 06:00:00,1018971.0,20379.0,31,-12135.0,-1.19,1006836.0,Base_NoFilter
Base_NoFilter,2015-04-13 06:00:00,1006836.0,20137.0,29,-219251.0,-21.78,787585.0,Base_NoFilter
Base_NoFilter,2015-04-20 06:00:00,787585.0,15752.0,29,12579.0,1.6,800164.0,Base_NoFilter
Base_NoFilter,2015-04-27 06:00:00,800164.0,16003.0,22,129448.0,16.18,929612.0,Base_NoFilter
Base_NoFilter,2015-05-04 06:00:00,929612.0,18592.0,22,120806.0,13.0,1050418.0,Base_NoFilter
Base_NoFilter,2015-05-11 06:00:00,1050418.0,21008.0,45,-703.0,-0.07,1049714.0,Base_NoFilter
Base_NoFilter,2015-05-18 06:00:00,1049714.0,20994.0,22,-23628.0,-2.25,1026087.0,Base_NoFilter
Base_NoFilter,2015-05-25 06:00:00,1026087.0,20522.0,35,-54487.0,-5.31,971600.0,Base_NoFilter
Base_NoFilter,2015-06-01 06:00:00,971600.0,19432.0,13,68022.0,7.0,1039622.0,Base_NoFilter
Base_NoFilter,2015-06-08 06:00:00,1039622.0,20792.0,44,-8021.0,-0.77,1031601.0,Base_NoFilter
Base_NoFilter,2015-06-15 06:00:00,1031601.0,20632.0,20,87383.0,8.47,1118984.0,Base_NoFilter
Base_NoFilter,2015-06-22 06:00:00,1118984.0,22380.0,34,17263.0,1.54,1136247.0,Base_NoFilter
Base_NoFilter,2015-06-29 06:00:00,1136247.0,22725.0,22,210755.0,18.55,1347002.0,Base_NoFilter
Base_NoFilter,2015-07-06 06:00:00,1347002.0,26940.0,33,111079.0,8.25,1458081.0,Base_NoFilter
Base_NoFilter,2015-07-13 06:00:00,1458081.0,29162.0,31,300383.0,20.6,1758464.0,Base_NoFilter
Base_NoFilter,2015-07-20 06:00:00,1758464.0,35169.0,29,58104.0,3.3,1816568.0,Base_NoFilter
Base_NoFilter,2015-07-27 06:00:00,1816568.0,36331.0,28,167710.0,9.23,1984278.0,Base_NoFilter
Base_NoFilter,2015-08-03 06:00:00,1984278.0,39686.0,21,98787.0,4.98,2083065.0,Base_NoFilter
Base_NoFilter,2015-08-10 06:00:00,2083065.0,41661.0,24,270612.0,12.99,2353677.0,Base_NoFilter
