Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,PipSize,SpreadPips,SpreadPrice,CumPips,MaxCumPips,Drawdown,PrevDayRangePips,Range24hPips,DayToEntryRangePips,H1_ATR14_Pips,EntryDate,Group,LogicATR_SelectedOption,LogicATR_Threshold,LogicATR_Decision,RejectReason
1_EJ_Log1,EJ,Long,2015-01-05 13:55:00,2015-01-05 20:43:00,-70.0,SL,13,55,70,250,0.01,1.0,0.01,-120.0,-50.0,70.0,90.1,97.3,97.3,34.836,2015-01-05,CrossJPY_16,P80,26.057,Rejected,H1_ATR_Over_P80
2_EJ_NightBlitz_20,EJ,Long,2015-01-05 20:56:00,2015-01-05 23:03:00,-45.0,SL,20,56,45,70,0.01,1.0,0.01,-341.7,-50.0,291.7,90.1,101.7,101.7,34.214,2015-01-05,CrossJPY_16,P85,28.459,Rejected,H1_ATR_Over_P85
21_GA_B_3,GA,Long,2015-01-05 21:02:00,2015-01-06 10:00:00,-121.2,TimeExit,21,2,220,100,0.0001,2.0,0.0002,-461.0,-50.0,411.0,89.9,233.6,233.6,52.343,2015-01-05,GA,P90,44.611,Rejected,H1_ATR_Over_P90
1_EJ_Log1,EJ,Long,2015-01-07 13:55:00,2015-01-08 04:55:00,-38.3,TimeExit,13,55,70,250,0.01,1.0,0.01,-278.30000000000007,-50.0,228.30000000000007,158.6,191.5,124.6,32.857,2015-01-07,CrossJPY_16,P80,26.057,Rejected,H1_ATR_Over_P80
2_EJ_NightBlitz_20,EJ,Long,2015-01-07 20:56:00,2015-01-08 04:45:00,27.7,TimeExit,20,56,45,70,0.01,1.0,0.01,-240.00000000000009,-50.0,190.00000000000009,158.6,144.6,124.6,30.15,2015-01-07,CrossJPY_16,P85,28.459,Rejected,H1_ATR_Over_P85
2_EJ_NightBlitz_20,EJ,Long,2015-01-14 20:56:00,2015-01-15 04:17:00,70.0,TP,20,56,45,70,0.01,1.0,0.01,-339.90000000000003,10.099999999999966,350.0,115.4,291.5,278.9,37.579,2015-01-14,CrossJPY_16,P85,28.459,Rejected,H1_ATR_Over_P85
19_EA_3_WedThu_Long,EA,Long,2015-01-14 20:56:00,2015-01-15 09:32:00,-90.0,SL,20,56,90,999,0.0001,1.5,0.00015,-359.90000000000003,10.099999999999966,370.0,110.2,229.8,229.8,43.421,2015-01-14,EA_Rev4,P75,29.1,Rejected,H1_ATR_Over_P75
3_EJ_NightBlitz_21,EJ,Long,2015-01-14 21:56:00,2015-01-15 04:17:00,70.0,TP,21,56,75,70,0.01,1.0,0.01,-269.90000000000003,10.099999999999966,280.0,115.4,278.9,278.9,39.25,2015-01-14,CrossJPY_16,P95,38.275,Rejected,H1_ATR_Over_P95
22_GA_C_2,GA,Long,2015-01-15 16:56:00,2015-01-15 18:37:00,80.0,TP,16,56,70,80,0.0001,2.0,0.0002,-48.00000000000006,10.099999999999966,58.10000000000002,256.7,282.7,243.5,42.014,2015-01-15,GA,P80,37.336,Rejected,H1_ATR_Over_P80
19_EA_3_WedThu_Long,EA,Long,2015-01-15 20:56:00,2015-01-15 22:00:00,-90.0,SL,20,56,90,999,0.0001,1.5,0.00015,-138.00000000000006,10.099999999999966,148.10000000000002,229.8,342.2,331.2,57.393,2015-01-15,EA_Rev4,P75,29.1,Rejected,H1_ATR_Over_P75
