Strategy,Group,Option,Percentile,BaseTrades,AcceptedTrades,RejectedTrades,AcceptedRatePct,RejectedRatePct,Full_Trades,Full_MoneyRoMD,Full_MaxDDPct,Full_NetProfitYen,Full_PF_Yen,Full_WorstWeekReturnPct,OOS_Trades,OOS_MoneyRoMD,OOS_MaxDDPct,OOS_NetProfitYen,OOS_PF_Yen,OOS_WorstWeekReturnPct,Q1_Trades,Q1_MoneyRoMD,Q1_MaxDDPct,Q1_NetProfitYen,Q1_PF_Yen,Q1_WorstWeekReturnPct,Pips_Total,Pips_PF,Pips_RoMD,Pips_Avg,Delta_Full_MoneyRoMD,Delta_Full_MaxDDPct,Delta_Full_NetProfitYen,Delta_OOS_MoneyRoMD,Delta_OOS_MaxDDPct,Delta_OOS_NetProfitYen,Delta_Q1_MoneyRoMD,Delta_Q1_MaxDDPct,Delta_Q1_NetProfitYen
10_AJ_SatA,CrossJPY_16,NONE,999,353,353,0,100.0,0.0,353,0.59,13.41,44068.0,1.104,-2.0,8,-0.02,3.0,-262.0,0.986,-1.82,8,-0.02,3.0,-262.0,0.986,-1.82,228.7,1.113,0.65,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_AJ_SatA,CrossJPY_16,P70,70,353,250,103,70.82,29.18,250,-0.25,15.06,-19712.0,0.925,-2.0,1,0.1,9.21,4755.0,,1.0,1,0.1,9.21,4755.0,,1.0,-91.0,0.933,-0.23,-0.36,-0.84,1.6500000000000004,-63780.0,0.12000000000000001,6.210000000000001,5017.0,0.12000000000000001,6.210000000000001,5017.0
10_AJ_SatA,CrossJPY_16,P75,75,353,264,89,74.79,25.21,264,-0.01,13.17,-758.0,0.997,-2.0,1,0.15,6.26,4943.0,,1.0,1,0.15,6.26,4943.0,,1.0,6.4,1.005,0.02,0.02,-0.6,-0.2400000000000002,-44826.0,0.16999999999999998,3.26,5205.0,0.16999999999999998,3.26,5205.0
10_AJ_SatA,CrossJPY_16,P80,80,353,283,70,80.17,19.83,283,0.11,11.5,6675.0,1.022,-2.0,1,0.17,5.61,5017.0,,1.0,1,0.17,5.61,5017.0,,1.0,44.5,1.029,0.15,0.16,-0.48,-1.9100000000000001,-37393.0,0.19,2.6100000000000003,5279.0,0.19,2.6100000000000003,5279.0
10_AJ_SatA,CrossJPY_16,P85,85,353,295,58,83.57,16.43,295,0.11,11.85,7015.0,1.023,-2.0,4,0.21,4.48,5075.0,3.693,-0.24,4,0.21,4.48,5075.0,3.693,-0.24,46.6,1.03,0.15,0.16,-0.48,-1.5600000000000005,-37053.0,0.22999999999999998,1.4800000000000004,5337.0,0.22999999999999998,1.4800000000000004,5337.0
10_AJ_SatA,CrossJPY_16,P90,90,353,314,39,88.95,11.05,314,0.1,11.72,6471.0,1.019,-2.0,5,-0.2,3.98,-4246.0,0.625,-1.82,5,-0.2,3.98,-4246.0,0.625,-1.82,45.3,1.026,0.15,0.14,-0.49,-1.6899999999999995,-37597.0,-0.18000000000000002,0.98,-3984.0,-0.18000000000000002,0.98,-3984.0
10_AJ_SatA,CrossJPY_16,P95,95,353,329,24,93.2,6.8,329,0.45,12.85,32042.0,1.085,-2.0,6,-0.55,3.63,-10955.0,0.407,-1.82,6,-0.55,3.63,-10955.0,0.407,-1.82,170.2,1.094,0.5,0.52,-0.13999999999999996,-0.5600000000000005,-12026.0,-0.53,0.6299999999999999,-10693.0,-0.53,0.6299999999999999,-10693.0
11_AJ_SatB,CrossJPY_16,NONE,999,352,352,0,100.0,0.0,352,4.54,11.46,354762.0,1.363,-2.0,8,0.94,2.95,23571.0,2.036,-2.0,8,0.94,2.95,23571.0,2.036,-2.0,1551.6,1.395,4.71,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_AJ_SatB,CrossJPY_16,P70,70,352,264,88,75.0,25.0,264,1.29,11.19,87301.0,1.151,-2.0,1,0.39,3.55,8337.0,,1.44,1,0.39,3.55,8337.0,,1.44,485.1,1.173,1.51,1.84,-3.25,-0.27000000000000135,-267461.0,-0.5499999999999999,0.5999999999999996,-15234.0,-0.5499999999999999,0.5999999999999996,-15234.0
11_AJ_SatB,CrossJPY_16,P75,75,352,279,73,79.26,20.74,279,1.99,11.46,149227.0,1.231,-2.0,1,0.9,1.55,9216.0,,1.44,1,0.9,1.55,9216.0,,1.44,764.9,1.264,2.32,2.74,-2.55,0.0,-205535.0,-0.039999999999999925,-1.4000000000000001,-14355.0,-0.039999999999999925,-1.4000000000000001,-14355.0
11_AJ_SatB,CrossJPY_16,P80,80,352,293,59,83.24,16.76,293,2.86,11.46,218468.0,1.323,-2.0,3,22.36,0.15,23065.0,,0.47,3,22.36,0.15,23065.0,,0.47,1046.8,1.356,3.18,3.57,-1.6800000000000002,0.0,-136294.0,21.419999999999998,-2.8000000000000003,-506.0,21.419999999999998,-2.8000000000000003,-506.0
11_AJ_SatB,CrossJPY_16,P85,85,352,309,43,87.78,12.22,309,3.19,11.46,243751.0,1.333,-2.0,6,1.59,1.66,19587.0,4.826,-0.36,6,1.59,1.66,19587.0,4.826,-0.36,1146.7,1.365,3.48,3.71,-1.35,0.0,-111011.0,0.6500000000000001,-1.2900000000000003,-3984.0,0.6500000000000001,-1.2900000000000003,-3984.0
11_AJ_SatB,CrossJPY_16,P90,90,352,325,27,92.33,7.67,325,2.99,11.46,214372.0,1.271,-2.0,6,1.59,1.66,18814.0,4.826,-0.36,6,1.59,1.66,18814.0,4.826,-0.36,1043.1,1.294,3.17,3.21,-1.5499999999999998,0.0,-140390.0,0.6500000000000001,-1.2900000000000003,-4757.0,0.6500000000000001,-1.2900000000000003,-4757.0
