Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
10_AJ_SatA_NONE,Full_2015_2026Q1,353,500000.0,544068.0,44068.0,8.81,75110.0,13.41,0.59,1.104,-2.0,1.0,0.03
10_AJ_SatA_NONE,StrictIS_2015_2024,345,500000.0,544330.0,44330.0,8.87,75110.0,13.41,0.59,1.109,-2.0,1.0,0.03
10_AJ_SatA_NONE,StrictOOS_2025_2026Q1,8,544330.0,544068.0,-262.0,-0.05,16816.0,3.0,-0.02,0.986,-1.82,1.0,-0.0
10_AJ_SatA_NONE,Q1_2026,8,544330.0,544068.0,-262.0,-0.05,16816.0,3.0,-0.02,0.986,-1.82,1.0,-0.0
10_AJ_SatA_P70,Full_2015_2026Q1,250,500000.0,480288.0,-19712.0,-3.94,79670.0,15.06,-0.25,0.925,-2.0,1.0,-0.01
10_AJ_SatA_P70,StrictIS_2015_2024,249,500000.0,475533.0,-24467.0,-4.89,79670.0,15.06,-0.31,0.907,-2.0,1.0,-0.02
10_AJ_SatA_P70,StrictOOS_2025_2026Q1,1,475533.0,480288.0,4755.0,1.0,48748.0,9.21,0.1,,1.0,1.0,1.0
10_AJ_SatA_P70,Q1_2026,1,475533.0,480288.0,4755.0,1.0,48748.0,9.21,0.1,,1.0,1.0,1.0
10_AJ_SatA_P75,Full_2015_2026Q1,264,500000.0,499242.0,-758.0,-0.15,70140.0,13.17,-0.01,0.997,-2.0,1.0,0.0
10_AJ_SatA_P75,StrictIS_2015_2024,263,500000.0,494299.0,-5701.0,-1.14,70140.0,13.17,-0.08,0.979,-2.0,1.0,-0.0
10_AJ_SatA_P75,StrictOOS_2025_2026Q1,1,494299.0,499242.0,4943.0,1.0,33350.0,6.26,0.15,,1.0,1.0,1.0
10_AJ_SatA_P75,Q1_2026,1,494299.0,499242.0,4943.0,1.0,33350.0,6.26,0.15,,1.0,1.0,1.0
10_AJ_SatA_P80,Full_2015_2026Q1,283,500000.0,506675.0,6675.0,1.34,61716.0,11.5,0.11,1.022,-2.0,1.0,0.01
10_AJ_SatA_P80,StrictIS_2015_2024,282,500000.0,501659.0,1659.0,0.33,61716.0,11.5,0.03,1.005,-2.0,1.0,0.0
10_AJ_SatA_P80,StrictOOS_2025_2026Q1,1,501659.0,506675.0,5017.0,1.0,30090.0,5.61,0.17,,1.0,1.0,1.0
10_AJ_SatA_P80,Q1_2026,1,501659.0,506675.0,5017.0,1.0,30090.0,5.61,0.17,,1.0,1.0,1.0
10_AJ_SatA_P85,Full_2015_2026Q1,295,500000.0,507015.0,7015.0,1.4,62671.0,11.85,0.11,1.023,-2.0,1.0,0.01
10_AJ_SatA_P85,StrictIS_2015_2024,291,500000.0,501940.0,1940.0,0.39,62671.0,11.85,0.03,1.006,-2.0,1.0,0.0
10_AJ_SatA_P85,StrictOOS_2025_2026Q1,4,501940.0,507015.0,5075.0,1.01,23714.0,4.48,0.21,3.693,-0.24,1.0,0.25
10_AJ_SatA_P85,Q1_2026,4,501940.0,507015.0,5075.0,1.01,23714.0,4.48,0.21,3.693,-0.24,1.0,0.25
10_AJ_SatA_P90,Full_2015_2026Q1,314,500000.0,506471.0,6471.0,1.29,61791.0,11.72,0.1,1.019,-2.0,1.0,0.01
10_AJ_SatA_P90,StrictIS_2015_2024,309,500000.0,510717.0,10717.0,2.14,61791.0,11.72,0.17,1.033,-2.0,1.0,0.01
10_AJ_SatA_P90,StrictOOS_2025_2026Q1,5,510717.0,506471.0,-4246.0,-0.83,20983.0,3.98,-0.2,0.625,-1.82,1.0,-0.16
10_AJ_SatA_P90,Q1_2026,5,510717.0,506471.0,-4246.0,-0.83,20983.0,3.98,-0.2,0.625,-1.82,1.0,-0.16
