Dataset,RiskPct,RiskPctLabel,Month,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-01,23,500000.0,493733.0,-6267.0,-1.25,19827.0,3.91
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-02,41,493733.0,505313.0,11580.0,2.35,24354.0,4.77
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-03,65,505313.0,534822.0,29509.0,5.84,19307.0,3.78
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-04,73,534822.0,537793.0,2971.0,0.56,40078.0,7.35
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-05,59,537793.0,548683.0,10890.0,2.02,36110.0,6.27
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-06,53,548683.0,529923.0,-18760.0,-3.42,54804.0,9.51
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-07,51,529923.0,549690.0,19767.0,3.73,43502.0,7.55
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-08,45,549690.0,598571.0,48882.0,8.89,42632.0,7.4
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-09,31,598571.0,607980.0,9409.0,1.57,29409.0,4.72
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-10,43,607980.0,589462.0,-18519.0,-3.05,51037.0,8.11
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-11,99,589462.0,623480.0,34018.0,5.77,52047.0,8.27
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-12,47,623480.0,705556.0,82076.0,13.16,14870.0,2.11
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-01,15,705556.0,717410.0,11853.0,1.68,21167.0,3.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-02,9,717410.0,736084.0,18675.0,2.6,11131.0,1.51
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-03,55,736084.0,780022.0,43938.0,5.97,54050.0,6.83
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-04,29,780022.0,821968.0,41945.0,5.38,17009.0,2.12
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-05,69,821968.0,831530.0,9562.0,1.16,58862.0,6.71
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-06,27,831530.0,892021.0,60491.0,7.27,50643.0,5.77
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-07,35,892021.0,1059973.0,167952.0,18.83,22538.0,2.2
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-08,76,1059973.0,1151360.0,91387.0,8.62,33769.0,2.86
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-09,89,1151360.0,1085098.0,-66262.0,-5.76,140401.0,11.74
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-10,63,1085098.0,1181870.0,96772.0,8.92,125859.0,10.52
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-11,33,1181870.0,1303208.0,121338.0,10.27,24296.0,2.03
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-12,48,1303208.0,1352098.0,48890.0,3.75,89033.0,6.34
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-01,69,1352098.0,1286046.0,-66052.0,-4.89,176225.0,12.05
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-02,87,1286046.0,1534647.0,248602.0,19.33,206845.0,14.15
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-03,124,1534647.0,1915470.0,380823.0,24.82,106915.0,5.56
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-04,103,1915470.0,1704143.0,-211327.0,-11.03,232172.0,12.03
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-05,112,1704143.0,1797041.0,92898.0,5.45,363520.0,18.84
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-06,103,1797041.0,1992471.0,195430.0,10.88,176619.0,8.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-07,114,1992471.0,2227041.0,234570.0,11.77,82164.0,3.94
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-08,89,2227041.0,2603659.0,376619.0,16.91,69091.0,2.65
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-09,102,2603659.0,2530951.0,-72708.0,-2.79,168084.0,6.24
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-10,86,2530951.0,2602581.0,71630.0,2.83,250767.0,9.32
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-11,120,2602581.0,2748525.0,145944.0,5.61,246718.0,8.47
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-12,71,2748525.0,3068946.0,320421.0,11.66,159767.0,5.49
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-01,87,3068946.0,3436426.0,367480.0,11.97,248012.0,7.92
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-02,64,3436426.0,3419657.0,-16769.0,-0.49,152476.0,4.35
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-03,101,3419657.0,4031019.0,611361.0,17.88,176723.0,5.05
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-04,127,4031019.0,3840811.0,-190208.0,-4.72,500780.0,11.92
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-05,121,3840811.0,3959751.0,118939.0,3.1,468937.0,11.17
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-06,94,3959751.0,4086245.0,126494.0,3.19,248673.0,5.92
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-07,133,4086245.0,4516281.0,430036.0,10.52,353443.0,8.27
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-08,79,4516281.0,4787346.0,271066.0,6.0,158244.0,3.5
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-09,115,4787346.0,6162729.0,1375382.0,28.73,141171.0,2.27
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-10,76,6162729.0,5673739.0,-488990.0,-7.93,747384.0,11.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-11,110,5673739.0,6210119.0,536380.0,9.45,864832.0,13.6
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-12,64,6210119.0,6245917.0,35798.0,0.58,333046.0,5.15
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-01,83,6245917.0,6460049.0,214132.0,3.43,328617.0,4.88
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-02,96,6460049.0,7197413.0,737364.0,11.41,404473.0,5.99
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-03,102,7197413.0,7442474.0,245061.0,3.4,359913.0,4.92
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-04,127,7442474.0,7882338.0,439864.0,5.91,299489.0,3.69
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-05,126,7882338.0,7464664.0,-417674.0,-5.3,908936.0,11.2
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-06,118,7464664.0,6659761.0,-804903.0,-10.78,1650241.0,20.33
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-07,135,6659761.0,6330792.0,-328969.0,-4.94,1884274.0,23.21
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-08,71,6330792.0,6795680.0,464888.0,7.34,1846861.0,22.75
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-09,119,6795680.0,7644838.0,849157.0,12.5,1412730.0,17.4
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-10,70,7644838.0,8579413.0,934575.0,12.22,498498.0,6.14
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-11,131,8579413.0,9219128.0,639715.0,7.46,374570.0,4.34
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-12,83,9219128.0,9214397.0,-4731.0,-0.05,459281.0,4.77
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-01,102,9214397.0,10144550.0,930153.0,10.09,460779.0,4.79
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-02,98,10144550.0,10946659.0,802109.0,7.91,634184.0,5.48
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-03,2,10946659.0,11288873.0,342213.0,3.13,509079.0,4.4
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-04,46,11288873.0,10809557.0,-479316.0,-4.25,1042917.0,9.01
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-05,73,10809557.0,11332851.0,523294.0,4.84,1277388.0,11.03
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-06,53,11332851.0,10518580.0,-814270.0,-7.19,1069513.0,9.23
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-07,131,10518580.0,12650742.0,2132162.0,20.27,1136719.0,9.81
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-08,83,12650742.0,11787443.0,-863299.0,-6.82,1558448.0,11.95
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-09,103,11787443.0,13068625.0,1281181.0,10.87,1448422.0,11.11
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-10,88,13068625.0,13066244.0,-2381.0,-0.02,780939.0,5.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-11,107,13066244.0,15729213.0,2662970.0,20.38,781164.0,5.03
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-12,79,15729213.0,17924744.0,2195531.0,13.96,724457.0,4.01
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-01,100,17924744.0,16908718.0,-1016026.0,-5.67,1575164.0,8.59
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-02,95,16908718.0,17317143.0,408425.0,2.42,1609589.0,8.77
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-03,114,17317143.0,17288782.0,-28361.0,-0.16,1478178.0,8.06
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-04,133,17288782.0,18339501.0,1050719.0,6.08,2572690.0,14.02
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-05,132,18339501.0,18034166.0,-305336.0,-1.66,1808515.0,9.68
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-06,116,18034166.0,21788886.0,3754720.0,20.82,595041.0,3.18
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-07,130,21788886.0,22051666.0,262780.0,1.21,1688299.0,7.41
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-08,96,22051666.0,22245703.0,194037.0,0.88,1177483.0,5.16
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-09,123,22245703.0,22580819.0,335116.0,1.51,1481329.0,6.45
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-10,79,22580819.0,21989506.0,-591313.0,-2.62,1215927.0,5.27
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-11,116,21989506.0,23286377.0,1296871.0,5.9,1922144.0,8.32
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-12,79,23286377.0,26226675.0,2940298.0,12.63,975603.0,3.78
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-01,94,26226675.0,27433011.0,1206336.0,4.6,1320721.0,4.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-02,72,27433011.0,28276204.0,843193.0,3.07,1105055.0,3.9
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-03,62,28276204.0,29482140.0,1205935.0,4.26,1152793.0,3.87
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-04,79,29482140.0,30375014.0,892874.0,3.03,2179001.0,7.18
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-05,31,30375014.0,33069778.0,2694764.0,8.87,689008.0,2.27
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-06,37,33069778.0,30841548.0,-2228230.0,-6.74,2649347.0,7.97
