Dataset,RiskPct,RiskPctLabel,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015,630,500000.0,826928.0,326928.0,65.39,86562.0,13.99
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016,548,826928.0,2140947.0,1314019.0,158.9,314357.0,17.46
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017,1180,2140947.0,7060205.0,4919258.0,229.77,981716.0,27.29
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018,1171,7060205.0,19812248.0,12752043.0,180.62,4082463.0,19.94
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019,1261,19812248.0,34507275.0,14695026.0,74.17,9663695.0,33.19
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2020,965,34507275.0,90908803.0,56401528.0,163.45,9982131.0,17.49
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021,1313,90908803.0,157275698.0,66366896.0,73.0,19327514.0,20.53
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022,601,157275698.0,263095087.0,105819389.0,67.28,33796432.0,12.65
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2023,945,263095087.0,696485766.0,433390679.0,164.73,134841404.0,27.25
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2024,997,696485766.0,1845507670.0,1149021904.0,164.97,149523472.0,17.04
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025,764,1845507670.0,4168991232.0,2323483562.0,125.9,358677754.0,12.78
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2026,182,4168991232.0,5301047727.0,1132056495.0,27.15,325689351.0,6.26
