Dataset,RiskPct,RiskPctLabel,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct,NegativeWeeks,PositiveWeeks
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,Full_2015_2026Q1,10557,500000.0,288614627.0,288114627.0,57622.93,16259889.0,23.21,17.72,1.386,-10.8,15.28,1.19,225,339
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,StrictIS_2015_2024,9611,500000.0,140830495.0,140330495.0,28066.1,10740528.0,23.21,13.07,1.341,-10.8,15.28,1.19,203,299
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,StrictOOS_2025_2026Q1,946,140830495.0,288614627.0,147784132.0,104.94,16259889.0,8.67,9.09,1.44,-4.12,7.17,1.2,22,40
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,Q1_2026,182,245398313.0,288614627.0,43216314.0,17.61,11610407.0,4.23,3.72,1.472,-3.45,5.94,1.28,4,9
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,Full_2015_2026Q1,10557,500000.0,5301047727.0,5300547727.0,1060109.55,358677754.0,33.19,14.78,1.413,-16.2,22.92,1.79,226,339
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,StrictIS_2015_2024,9611,500000.0,1845507670.0,1845007670.0,369001.53,149523472.0,33.19,12.34,1.362,-16.2,22.92,1.78,204,299
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,StrictOOS_2025_2026Q1,946,1845507670.0,5301047727.0,3455540057.0,187.24,358677754.0,12.78,9.63,1.446,-6.18,10.76,1.81,22,40
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,Q1_2026,182,4168991232.0,5301047727.0,1132056495.0,27.15,325689351.0,6.26,3.48,1.469,-5.17,8.91,1.92,4,9
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,Full_2015_2026Q1,10557,500000.0,82063800842.0,82063300842.0,16412660.17,6846949876.0,42.18,11.99,1.43,-21.6,30.56,2.38,226,339
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,StrictIS_2015_2024,9611,500000.0,20661753483.0,20661253483.0,4132250.7,2157903422.0,42.18,9.57,1.379,-21.6,30.56,2.38,204,299
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,StrictOOS_2025_2026Q1,946,20661753483.0,82063800842.0,61402047360.0,297.18,6846949876.0,16.74,8.97,1.451,-8.24,14.35,2.41,22,40
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,Q1_2026,182,59813031232.0,82063800842.0,22250769611.0,37.2,6846949876.0,8.23,3.25,1.466,-6.89,11.88,2.56,4,9
