Dataset,RiskPct,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-01-05 06:00:00,500000.0,5000.0,8,-3117.0,-0.62,496883.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-01-12 06:00:00,496883.0,4969.0,11,-4786.0,-0.96,492096.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-01-19 06:00:00,492096.0,4921.0,3,-360.0,-0.07,491736.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-01-26 06:00:00,491736.0,4917.0,1,1996.0,0.41,493733.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-02-09 06:00:00,493733.0,4937.0,9,13880.0,2.81,507613.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-02-16 06:00:00,507613.0,5076.0,17,-34.0,-0.01,507579.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-02-23 06:00:00,507579.0,5076.0,15,-2266.0,-0.45,505313.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-03-02 06:00:00,505313.0,5053.0,18,-5073.0,-1.0,500241.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-03-09 06:00:00,500241.0,5002.0,18,24567.0,4.91,524808.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-03-16 06:00:00,524808.0,5248.0,10,11788.0,2.25,536596.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-03-23 06:00:00,536596.0,5366.0,14,-4087.0,-0.76,532508.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-03-30 06:00:00,532508.0,5325.0,7,4686.0,0.88,537194.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-04-06 06:00:00,537194.0,5372.0,24,-6734.0,-1.25,530460.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-04-13 06:00:00,530460.0,5305.0,13,-24891.0,-4.69,505569.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-04-20 06:00:00,505569.0,5056.0,22,1582.0,0.31,507151.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-04-27 06:00:00,507151.0,5072.0,14,33237.0,6.55,540388.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-05-04 06:00:00,540388.0,5404.0,10,16988.0,3.14,557376.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-05-11 06:00:00,557376.0,5574.0,8,10122.0,1.82,567498.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-05-18 06:00:00,567498.0,5675.0,16,-5285.0,-0.93,562213.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-05-25 06:00:00,562213.0,5622.0,23,-13530.0,-2.41,548683.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-06-01 06:00:00,548683.0,5487.0,6,7632.0,1.39,556315.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-06-08 06:00:00,556315.0,5563.0,12,-19400.0,-3.49,536915.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-06-15 06:00:00,536915.0,5369.0,9,-6211.0,-1.16,530704.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-06-22 06:00:00,530704.0,5307.0,26,-782.0,-0.15,529923.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-06-29 06:00:00,529923.0,5299.0,3,7955.0,1.5,537877.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-07-06 06:00:00,537877.0,5379.0,1,17762.0,3.3,555639.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-07-13 06:00:00,555639.0,5556.0,7,4353.0,0.78,559992.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-07-20 06:00:00,559992.0,5600.0,23,3316.0,0.59,563308.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-07-27 06:00:00,563308.0,5633.0,17,-13619.0,-2.42,549690.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-08-03 06:00:00,549690.0,5497.0,18,14343.0,2.61,564032.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-08-10 06:00:00,564032.0,5640.0,17,40876.0,7.25,604908.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-08-17 06:00:00,604908.0,6049.0,10,-6337.0,-1.05,598571.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-08-31 06:00:00,598571.0,5986.0,4,19789.0,3.31,618360.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-09-07 06:00:00,618360.0,6184.0,6,4388.0,0.71,622748.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-09-14 06:00:00,622748.0,6227.0,5,-23031.0,-3.7,599717.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-09-21 06:00:00,599717.0,5997.0,7,22354.0,3.73,622070.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-09-28 06:00:00,622070.0,6221.0,9,-14090.0,-2.27,607980.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-10-05 06:00:00,607980.0,6080.0,6,-9686.0,-1.59,598295.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,2015-10-12 06:00:00,598295.0,5983.0,10,-1719.0,-0.29,596576.0
