Dataset,RiskPct,RiskPctLabel,Month,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2019-06,118,81845521.0,64133003.0,-17712518.0,-21.64,36551601.0,37.66
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2017-04,103,6389725.0,5020599.0,-1369125.0,-21.43,1501336.0,23.16
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-04,103,3557431.0,2977209.0,-580222.0,-16.31,636845.0,17.7
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019-06,118,25652803.0,21495913.0,-4156890.0,-16.2,8545909.0,29.35
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2018-10,76,58149093.0,48845902.0,-9303191.0,-16.0,14119388.0,22.84
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2023-07,76,3126118015.0,2644426219.0,-481691796.0,-15.41,1313363330.0,35.16
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2023-01,38,1632503022.0,1396140178.0,-236362844.0,-14.48,320617703.0,19.11
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2020-06,53,174274400.0,149848994.0,-24425405.0,-14.02,34777717.0,18.84
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2020-08,83,213538259.0,184693909.0,-28844350.0,-13.51,51547326.0,22.74
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2022-06,37,1314585547.0,1142089807.0,-172495740.0,-13.12,203921934.0,15.37
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2016-09,89,2466988.0,2159888.0,-307100.0,-12.45,615007.0,23.09
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-10,76,19547049.0,17210452.0,-2336597.0,-11.95,3558446.0,17.38
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2023-07,76,433895165.0,384400774.0,-49494391.0,-11.41,134841404.0,27.25
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021-01,100,415082362.0,368727681.0,-46354681.0,-11.17,72041882.0,16.57
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-04,103,1915470.0,1704143.0,-211327.0,-11.03,232172.0,12.03
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2023-01,38,263095087.0,234188268.0,-28906819.0,-10.99,37816385.0,14.16
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-06,118,7464664.0,6659761.0,-804903.0,-10.78,1650241.0,20.33
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2019-05,126,91594729.0,81845521.0,-9749208.0,-10.64,21078988.0,21.72
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2020-06,53,46571697.0,41614675.0,-4957022.0,-10.64,6756139.0,13.97
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2020-08,83,54573045.0,49015157.0,-5557888.0,-10.18,9982131.0,17.49
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-06,37,221677208.0,199573057.0,-22104151.0,-9.97,26206417.0,11.74
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2017-01,69,3308104.0,2978165.0,-329938.0,-9.97,879508.0,22.8
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2018-04,127,26075993.0,23527220.0,-2548774.0,-9.77,6360973.0,22.56
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2019-07,135,64133003.0,57889231.0,-6243772.0,-9.74,40937524.0,42.18
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-09,89,1699946.0,1547237.0,-152709.0,-8.98,314357.0,17.46
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2020-04,46,174988958.0,159958459.0,-15030498.0,-8.59,32529799.0,17.62
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021-01,100,90908803.0,83236880.0,-7671923.0,-8.44,11908440.0,12.65
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019-05,126,27873251.0,25652803.0,-2220448.0,-7.97,4815716.0,16.54
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-10,76,6162729.0,5673739.0,-488990.0,-7.93,747384.0,11.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2023-07,76,52514800.0,48576363.0,-3938437.0,-7.5,10740528.0,18.76
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-01,69,2140947.0,1982372.0,-158575.0,-7.41,422790.0,17.58
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2023-01,38,37288639.0,34525164.0,-2763476.0,-7.41,3556170.0,9.46
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019-07,135,21495913.0,19914778.0,-1581135.0,-7.36,9663695.0,33.19
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-04,127,10528445.0,9769818.0,-758627.0,-7.21,1943986.0,17.39
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-06,53,11332851.0,10518580.0,-814270.0,-7.19,1069513.0,9.23
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015-06,53,594825.0,553939.0,-40886.0,-6.87,119848.0,18.28
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-08,83,12650742.0,11787443.0,-863299.0,-6.82,1558448.0,11.95
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-06,37,33069778.0,30841548.0,-2228230.0,-6.74,2649347.0,7.97
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2020-04,46,46509320.0,43529725.0,-2979595.0,-6.41,6463498.0,13.36
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015-10,43,720693.0,676734.0,-43959.0,-6.1,121325.0,15.7
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2017-09,102,11360476.0,10673597.0,-686878.0,-6.05,1490042.0,12.31
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-09,89,1151360.0,1085098.0,-66262.0,-5.76,140401.0,11.74
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-01,100,17924744.0,16908718.0,-1016026.0,-5.67,1575164.0,8.59
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021-10,79,633200044.0,599063004.0,-34137040.0,-5.39,67022104.0,10.13
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-05,126,7882338.0,7464664.0,-417674.0,-5.3,908936.0,11.2
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-06,53,572140.0,542719.0,-29420.0,-5.14,86083.0,13.99
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2022-09,45,1564769423.0,1484574385.0,-80195038.0,-5.13,194030622.0,11.56
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-07,135,6659761.0,6330792.0,-328969.0,-4.94,1884274.0,23.21
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-01,69,1352098.0,1286046.0,-66052.0,-4.89,176225.0,12.05
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-04,127,4031019.0,3840811.0,-190208.0,-4.72,500780.0,11.92
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-10,43,664007.0,633648.0,-30358.0,-4.57,83718.0,11.96
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-09,102,5556290.0,5313788.0,-242502.0,-4.36,542514.0,9.3
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2022-08,53,1635529368.0,1564769423.0,-70759945.0,-4.33,278414331.0,16.59
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-04,46,11288873.0,10809557.0,-479316.0,-4.25,1042917.0,9.01
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021-10,79,126635488.0,121587697.0,-5047791.0,-3.99,10139630.0,7.75
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2023-06,95,3255006626.0,3126118015.0,-128888611.0,-3.96,796798605.0,21.33
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-09,45,253775927.0,244122659.0,-9653268.0,-3.8,23098521.0,8.65
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021-05,132,428264058.0,412336862.0,-15927196.0,-3.72,82713823.0,18.64
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-06,53,548683.0,529923.0,-18760.0,-3.42,54804.0,9.51
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-08,53,261958683.0,253775927.0,-8182757.0,-3.12,33796432.0,12.65
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-10,43,607980.0,589462.0,-18519.0,-3.05,51037.0,8.11
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2023-06,95,446550498.0,433895165.0,-12655333.0,-2.83,80696051.0,16.31
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-09,102,2603659.0,2530951.0,-72708.0,-2.79,168084.0,6.24
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021-05,132,93572168.0,91096334.0,-2475834.0,-2.65,13698892.0,14.24
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-10,79,22580819.0,21989506.0,-591313.0,-2.62,1215927.0,5.27
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015-01,23,500000.0,487471.0,-12529.0,-2.51,39311.0,7.65
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-09,45,36300147.0,35389584.0,-910564.0,-2.51,2156367.0,5.74
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-08,53,37041297.0,36300147.0,-741150.0,-2.0,3219244.0,8.58
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2022-10,15,1484574385.0,1456271297.0,-28303088.0,-1.91,226932583.0,13.52
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-01,23,500000.0,490601.0,-9399.0,-1.88,29612.0,5.8
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2023-06,95,53477672.0,52514800.0,-962872.0,-1.8,6345486.0,11.09
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-05,132,18339501.0,18034166.0,-305336.0,-1.66,1808515.0,9.68
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-10,15,244122659.0,240653550.0,-3469109.0,-1.42,27134316.0,10.16
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-01,23,500000.0,493733.0,-6267.0,-1.25,19827.0,3.91
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2025-03,48,23863394082.0,23572031307.0,-291362775.0,-1.22,3313658856.0,13.63
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2018-02,64,19192271.0,18969311.0,-222960.0,-1.16,1713358.0,8.61
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-10,15,35389584.0,35056402.0,-333181.0,-0.94,2544278.0,6.78
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-02,64,8327310.0,8260534.0,-66775.0,-0.8,555944.0,6.49
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2024-01,87,5749620437.0,5707660256.0,-41960181.0,-0.73,967358920.0,14.71
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025-03,48,2058432805.0,2043405565.0,-15027241.0,-0.73,215749632.0,10.33
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021-03,114,386095019.0,383961363.0,-2133656.0,-0.55,69474983.0,15.98
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-02,64,3436426.0,3419657.0,-16769.0,-0.49,152476.0,4.35
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2024-01,87,696485766.0,693418307.0,-3067459.0,-0.44,86305983.0,11.2
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2019-12,83,118907844.0,118467110.0,-440734.0,-0.37,12242431.0,9.47
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025-03,48,151581774.0,151034932.0,-546842.0,-0.36,10659336.0,6.97
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021-03,114,86215488.0,85930559.0,-284929.0,-0.33,11333238.0,12.04
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2024-01,87,72789912.0,72628490.0,-161421.0,-0.22,5902716.0,7.58
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019-12,83,34568866.0,34507275.0,-61591.0,-0.18,2619286.0,7.11
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2020-10,88,226253536.0,225841101.0,-412435.0,-0.18,27178512.0,11.17
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-03,114,17317143.0,17288782.0,-28361.0,-0.16,1478178.0,8.06
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2023-12,50,5756943347.0,5749620437.0,-7322910.0,-0.13,895223356.0,14.41
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2020-10,88,57145919.0,57098890.0,-47030.0,-0.08,5136124.0,8.51
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2023-12,50,696889651.0,696485766.0,-403885.0,-0.06,81112945.0,10.99
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-12,83,9219128.0,9214397.0,-4731.0,-0.05,459281.0,4.77
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-10,88,13068625.0,13066244.0,-2381.0,-0.02,780939.0,5.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2023-12,50,72800078.0,72789912.0,-10166.0,-0.01,5638151.0,7.45
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015-04,73,569913.0,572868.0,2955.0,0.52,85109.0,14.35
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-04,73,534822.0,537793.0,2971.0,0.56,40078.0,7.35
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025-04,16,151034932.0,151895581.0,860650.0,0.57,3095517.0,2.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2024-03,124,77499332.0,77941261.0,441929.0,0.57,3935990.0,5.05
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-12,64,6210119.0,6245917.0,35798.0,0.58,333046.0,5.15
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-04,73,552340.0,555713.0,3372.0,0.61,61976.0,10.89
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025-04,16,2043405565.0,2060183860.0,16778295.0,0.82,63520333.0,2.99
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-12,64,19646756.0,19812248.0,165493.0,0.84,1602387.0,7.68
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2024-03,124,763175384.0,769635398.0,6460014.0,0.85,59163400.0,7.68
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-08,96,22051666.0,22245703.0,194037.0,0.88,1177483.0,5.16
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2025-04,16,23572031307.0,23819553955.0,247522648.0,1.05,987726258.0,3.98
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2018-12,64,58046516.0,58680580.0,634064.0,1.09,6399443.0,10.18
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2024-03,124,6472804233.0,6545079640.0,72275408.0,1.12,680909750.0,10.35
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-05,69,821968.0,831530.0,9562.0,1.16,58862.0,6.71
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-07,130,21788886.0,22051666.0,262780.0,1.21,1688299.0,7.41
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021-08,96,122525451.0,124058926.0,1533476.0,1.25,9922743.0,7.7
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025-08,65,174020448.0,176568461.0,2548013.0,1.46,12259031.0,6.54
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-09,123,22245703.0,22580819.0,335116.0,1.51,1481329.0,6.45
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-09,31,598571.0,607980.0,9409.0,1.57,29409.0,4.72
