Dataset,RiskPct,RiskPctLabel,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015,630,500000.0,705556.0,205556.0,41.11,54804.0,9.51
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016,548,705556.0,1352098.0,646541.0,91.64,140401.0,11.74
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017,1180,1352098.0,3068946.0,1716849.0,126.98,363520.0,18.84
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018,1171,3068946.0,6245917.0,3176970.0,103.52,864832.0,13.6
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019,1261,6245917.0,9214397.0,2968480.0,47.53,1884274.0,23.21
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020,965,9214397.0,17924744.0,8710347.0,94.53,1558448.0,11.95
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021,1313,17924744.0,26226675.0,8301931.0,46.32,2572690.0,14.02
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022,601,26226675.0,37288639.0,11061964.0,42.18,3219244.0,8.58
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2023,945,37288639.0,72789912.0,35501272.0,95.21,10740528.0,18.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2024,997,72789912.0,140830495.0,68040583.0,93.48,9064950.0,11.63
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025,764,140830495.0,245398313.0,104567818.0,74.25,16259889.0,8.67
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2026,182,245398313.0,288614627.0,43216314.0,17.61,11610407.0,4.23
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015,630,500000.0,826928.0,326928.0,65.39,86562.0,13.99
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016,548,826928.0,2140947.0,1314019.0,158.9,314357.0,17.46
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017,1180,2140947.0,7060205.0,4919258.0,229.77,981716.0,27.29
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018,1171,7060205.0,19812248.0,12752043.0,180.62,4082463.0,19.94
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019,1261,19812248.0,34507275.0,14695026.0,74.17,9663695.0,33.19
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2020,965,34507275.0,90908803.0,56401528.0,163.45,9982131.0,17.49
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021,1313,90908803.0,157275698.0,66366896.0,73.0,19327514.0,20.53
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022,601,157275698.0,263095087.0,105819389.0,67.28,33796432.0,12.65
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2023,945,263095087.0,696485766.0,433390679.0,164.73,134841404.0,27.25
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2024,997,696485766.0,1845507670.0,1149021904.0,164.97,149523472.0,17.04
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025,764,1845507670.0,4168991232.0,2323483562.0,125.9,358677754.0,12.78
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2026,182,4168991232.0,5301047727.0,1132056495.0,27.15,325689351.0,6.26
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015,630,500000.0,960870.0,460870.0,92.17,127115.0,18.28
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2016,548,960870.0,3308104.0,2347234.0,244.28,615007.0,23.09
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2017,1180,3308104.0,15491121.0,12183017.0,368.28,2282995.0,35.14
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2018,1171,15491121.0,58680580.0,43189459.0,278.8,16061097.0,25.98
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2019,1261,58680580.0,118467110.0,59786530.0,101.88,40937524.0,42.18
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2020,965,118467110.0,415082362.0,296615252.0,250.38,51547326.0,22.74
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021,1313,415082362.0,836843790.0,421761428.0,101.61,116123697.0,26.72
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2022,601,836843790.0,1632503022.0,795659232.0,95.08,278414331.0,16.59
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2023,945,1632503022.0,5749620437.0,4117117415.0,252.2,1313363330.0,35.16
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2024,997,5749620437.0,20661753483.0,14912133046.0,259.36,2157903422.0,22.19
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2025,764,20661753483.0,59813031232.0,39151277749.0,189.49,5968643126.0,16.74
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2026,182,59813031232.0,82063800842.0,22250769611.0,37.2,6846949876.0,8.23
