Dataset,Strategy,Trades,TotalYenPnL,WinRate,PF_Yen,AvgYenPnL,WorstTradeYen,BestTradeYen
Base_v1_2,6_GJ_Old_Mon,468,813184030116275.0,52.14,2.037,1737572713924.0,-139956394217197.0,186269909159394.0
Base_v1_2,22_GA_C_2,442,504166407272966.0,52.49,1.789,1140647980256.0,-98573456191856.0,171400882594336.0
Base_v1_2,28_GA_China_Demand,503,500488758762866.0,54.27,1.946,995007472690.0,-104739766079405.0,97757115007444.0
Base_v1_2,18_EA_2_MonWed_Short,910,500010339271991.0,51.43,1.368,549461911288.0,-149975772270044.0,151058018190075.0
Base_v1_2,3_EJ_NightBlitz_21,991,483251966982277.0,56.71,1.642,487640733585.0,-51857105302983.0,90872780220631.0
Base_v1_2,26_AJ_China_Demand,450,424368777337807.0,58.67,2.798,943041727417.0,-104739766079405.0,186204028585608.0
Base_v1_2,2_EJ_NightBlitz_20,991,391720248754865.0,56.1,1.226,395277748491.0,-139956394217197.0,163227747266656.0
Base_v1_2,17_EA_1B_Wed_Short,290,358016006506916.0,59.31,2.293,1234537953472.0,-95127489839856.0,95281326412831.0
Base_v1_2,25_AU_China_Demand,918,349402098023676.0,53.92,1.341,380612307215.0,-104932123242850.0,104932123242850.0
Base_v1_2,12_UJ_Short_Core,528,317718932520395.0,57.77,1.223,601740402501.0,-139947813481465.0,174945492771496.0
Base_v1_2,4_GJ_Port_Log1,918,308017501360835.0,56.75,1.576,335531047234.0,-43804538630394.0,69825370585606.0
Base_v1_2,27_EA_China_Demand,501,272327957554440.0,57.68,1.372,543568777554.0,-104739766079405.0,104739766079405.0
Base_v1_2,19_EA_3_WedThu_Long,666,257725487995626.0,55.86,1.282,386975207201.0,-102120345790597.0,159807517341080.0
Base_v1_2,14_UJ_Sat_3rd,69,231554225818134.0,71.01,5.523,3355858345190.0,-38200125685470.0,75206110947793.0
Base_v1_2,13_UJ_Fix_MidWeek,187,206588883044476.0,60.43,4.698,1104753385265.0,-32366521120163.0,39309439258148.0
Base_v1_2,7_GJ_Mon_Blitz,566,199285088076098.0,54.77,1.508,352093795187.0,-105828565781158.0,85031784624249.0
Base_v1_2,11_AJ_SatB,352,162482148736874.0,51.42,1.972,461597013457.0,-104932123242850.0,109016201478430.0
Base_v1_2,9_AJ_Core2,301,161266177825020.0,53.16,1.35,535768032641.0,-100858868623653.0,280535001660683.0
Base_v1_2,23_GA_F_2,416,159698453688133.0,50.96,1.672,383890513673.0,-42581374413563.0,59116333507668.0
Base_v1_2,5_GJ_Port_Log2,1196,79388239510014.0,50.5,1.031,66378126681.0,-104932123242850.0,253650854789241.0
Base_v1_2,24_GA_D_1,416,68155555370580.0,56.25,1.124,163835469641.0,-103606715943436.0,120661380171588.0
Base_v1_2,20_EA_1A_MonTue_Short,738,57321036345276.0,50.81,1.04,77670780956.0,-149975772270044.0,96360584793052.0
Base_v1_2,15_UJ_Sat_Aug,64,39003909521658.0,51.56,1.232,609436086276.0,-53927624826442.0,94373343446274.0
Base_v1_2,16_UJ_T10A,58,-11002399426571.0,65.52,0.927,-189696541837.0,-104739766079405.0,67848534849036.0
Base_v1_2,21_GA_B_3,566,-40628734254514.0,52.3,0.867,-71782215997.0,-29905658989860.0,30336008481895.0
Base_v1_2,1_EJ_Log1,889,-46253355733092.0,56.81,0.973,-52028521635.0,-149975772270044.0,98923045765402.0
Base_v1_2,10_AJ_SatA,353,-59758211226734.0,47.31,0.764,-169286717356.0,-136777904310280.0,52466061621425.0
Base_v1_2,8_AJ_Core1,518,-137071965264651.0,55.41,0.823,-264617693561.0,-149975772270044.0,144746024229401.0
