Dataset,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Base_v1_2,2015,1363,500000.0,2388523.0,1888523.0,377.7,970543.0,38.41
Base_v1_2,2016,1378,2388523.0,93251502.0,90862979.0,3804.15,18636858.0,27.76
Base_v1_2,2017,1360,93251502.0,482802356.0,389550854.0,417.74,82036883.0,41.58
Base_v1_2,2018,1369,482802356.0,3653719140.0,3170916784.0,656.77,743010556.0,22.22
Base_v1_2,2019,1378,3653719140.0,8687771811.0,5034052671.0,137.78,2966513996.0,42.95
Base_v1_2,2020,1393,8687771811.0,79540212421.0,70852440610.0,815.54,10439956942.0,30.9
Base_v1_2,2021,1382,79540212421.0,237128138821.0,157587926400.0,198.12,26423878010.0,20.47
Base_v1_2,2022,1360,237128138821.0,3729425308969.0,3492297170148.0,1472.75,657015402331.0,24.2
Base_v1_2,2023,1361,3729425308969.0,53130124391586.0,49400699082617.0,1324.62,12311218020689.0,41.3
Base_v1_2,2024,1380,53130124391586.0,517292965551638.0,464162841160052.0,873.63,50769879924488.0,25.6
Base_v1_2,2025,1193,517292965551638.0,4736421108767614.0,4219128143215976.0,815.62,428724273899582.0,25.76
Base_v1_2,2026,348,4736421108767614.0,6550427564991637.0,1814006456224023.0,38.3,1037057763728614.0,15.12
