Dataset,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Filter_v2_Best,2015,1004,500000.0,1395861.0,895861.0,179.17,375377.0,29.77
Filter_v2_Best,2016,964,1395861.0,14619024.0,13223163.0,947.31,3416999.0,26.19
Filter_v2_Best,2017,1266,14619024.0,73877792.0,59258768.0,405.35,11904517.0,38.15
Filter_v2_Best,2018,1271,73877792.0,376993052.0,303115260.0,410.29,74844088.0,21.99
Filter_v2_Best,2019,1320,376993052.0,970575888.0,593582836.0,157.45,280265523.0,42.11
Filter_v2_Best,2020,1167,970575888.0,4462753642.0,3492177754.0,359.8,627365588.0,28.95
Filter_v2_Best,2021,1334,4462753642.0,11596827593.0,7134073951.0,159.86,1411263769.0,22.16
Filter_v2_Best,2022,1015,11596827593.0,81270455753.0,69673628160.0,600.8,13252290602.0,25.14
Filter_v2_Best,2023,1156,81270455753.0,729189954217.0,647919498465.0,797.24,196548358479.0,35.2
Filter_v2_Best,2024,1169,729189954217.0,3526144688542.0,2796954734325.0,383.57,394373461217.0,26.09
Filter_v2_Best,2025,998,3526144688542.0,15447278365991.0,11921133677449.0,338.08,1431422099874.0,22.29
Filter_v2_Best,2026,284,15447278365991.0,21026378653713.0,5579100287722.0,36.12,2828898813897.0,14.97
