Dataset,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Base_v1_2,2015,1363,500000.0,2388523.0,1888523.0,377.7,970543.0,38.41
Base_v1_2,2016,1378,2388523.0,93251502.0,90862979.0,3804.15,18636858.0,27.76
Base_v1_2,2017,1360,93251502.0,482802356.0,389550854.0,417.74,82036883.0,41.58
Base_v1_2,2018,1369,482802356.0,3653719140.0,3170916784.0,656.77,743010556.0,22.22
Base_v1_2,2019,1378,3653719140.0,8687771811.0,5034052671.0,137.78,2966513996.0,42.95
Base_v1_2,2020,1393,8687771811.0,79540212421.0,70852440610.0,815.54,10439956942.0,30.9
Base_v1_2,2021,1382,79540212421.0,237128138821.0,157587926400.0,198.12,26423878010.0,20.47
Base_v1_2,2022,1360,237128138821.0,3729425308969.0,3492297170148.0,1472.75,657015402331.0,24.2
Base_v1_2,2023,1361,3729425308969.0,53130124391586.0,49400699082617.0,1324.62,12311218020689.0,41.3
Base_v1_2,2024,1380,53130124391586.0,517292965551638.0,464162841160052.0,873.63,50769879924488.0,25.6
Base_v1_2,2025,1193,517292965551638.0,4736421108767614.0,4219128143215976.0,815.62,428724273899582.0,25.76
Base_v1_2,2026,348,4736421108767614.0,6550427564991637.0,1814006456224023.0,38.3,1037057763728614.0,15.12
Filter_v1_Best,2015,1172,500000.0,1614028.0,1114028.0,222.81,451827.0,30.33
Filter_v1_Best,2016,1185,1614028.0,39542784.0,37928756.0,2349.94,7868305.0,25.23
Filter_v1_Best,2017,1168,39542784.0,255461435.0,215918651.0,546.04,37088301.0,39.93
Filter_v1_Best,2018,1175,255461435.0,1552762230.0,1297300795.0,507.83,142227793.0,19.22
Filter_v1_Best,2019,1184,1552762230.0,2701198788.0,1148436558.0,73.96,1133567747.0,41.47
Filter_v1_Best,2020,1201,2701198788.0,19368032373.0,16666833585.0,617.02,2384682535.0,22.9
Filter_v1_Best,2021,1191,19368032373.0,45458500854.0,26090468481.0,134.71,4983349595.0,20.66
Filter_v1_Best,2022,1171,45458500854.0,463008078298.0,417549577444.0,918.53,94090756526.0,22.95
Filter_v1_Best,2023,1172,463008078298.0,5911209002087.0,5448200923788.0,1176.7,1047538713815.0,31.46
Filter_v1_Best,2024,1188,5911209002087.0,32079755374244.0,26168546372158.0,442.69,3295014536223.0,24.17
Filter_v1_Best,2025,1079,32079755374244.0,275760422074126.0,243680666699881.0,759.61,26036936206682.0,21.67
Filter_v1_Best,2026,310,275760422074126.0,340884573822665.0,65124151748540.0,23.62,55637808658394.0,15.34
Filter_v2_Best,2015,1004,500000.0,1395861.0,895861.0,179.17,375377.0,29.77
Filter_v2_Best,2016,964,1395861.0,14619024.0,13223163.0,947.31,3416999.0,26.19
Filter_v2_Best,2017,1266,14619024.0,73877792.0,59258768.0,405.35,11904517.0,38.15
Filter_v2_Best,2018,1271,73877792.0,376993052.0,303115260.0,410.29,74844088.0,21.99
Filter_v2_Best,2019,1320,376993052.0,970575888.0,593582836.0,157.45,280265523.0,42.11
Filter_v2_Best,2020,1167,970575888.0,4462753642.0,3492177754.0,359.8,627365588.0,28.95
Filter_v2_Best,2021,1334,4462753642.0,11596827593.0,7134073951.0,159.86,1411263769.0,22.16
Filter_v2_Best,2022,1015,11596827593.0,81270455753.0,69673628160.0,600.8,13252290602.0,25.14
Filter_v2_Best,2023,1156,81270455753.0,729189954217.0,647919498465.0,797.24,196548358479.0,35.2
Filter_v2_Best,2024,1169,729189954217.0,3526144688542.0,2796954734325.0,383.57,394373461217.0,26.09
Filter_v2_Best,2025,998,3526144688542.0,15447278365991.0,11921133677449.0,338.08,1431422099874.0,22.29
Filter_v2_Best,2026,284,15447278365991.0,21026378653713.0,5579100287722.0,36.12,2828898813897.0,14.97
