Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
2026-03-30,6,16.67,0.075,-308.3,333.3,-0.92,-51.38,25.0,-333.3
2026-02-24,5,0.0,0.0,-220.6,175.6,-1.26,-44.12,0.0,-220.6
2026-01-26,4,25.0,0.028,-184.6,140.0,-1.32,-46.15,5.4,-190.0
2026-01-30,4,25.0,0.152,-140.0,145.0,-0.97,-35.0,25.0,-165.0
2026-03-05,5,20.0,0.12,-130.3,128.4,-1.01,-26.06,17.8,-148.1
2026-01-22,4,25.0,0.049,-106.4,111.9,-0.95,-26.6,5.5,-111.9
2026-02-09,2,0.0,0.0,-93.6,23.6,-3.97,-46.8,0.0,-93.6
2026-02-02,2,0.0,0.0,-88.6,18.6,-4.76,-44.3,0.0,-88.6
2026-02-20,4,25.0,0.25,-85.0,113.4,-0.75,-21.25,28.4,-113.4
2026-03-24,5,20.0,0.238,-72.5,95.1,-0.76,-14.5,22.6,-95.1
2026-03-23,5,40.0,0.574,-71.1,140.0,-0.51,-14.22,95.8,-166.9
2026-02-12,2,0.0,0.0,-69.8,39.8,-1.75,-34.9,0.0,-69.8
2026-02-13,2,50.0,0.278,-65.0,90.0,-0.72,-32.5,25.0,-90.0
2026-02-23,3,33.33,0.442,-57.6,33.2,-1.73,-19.2,45.6,-103.2
2026-02-11,1,0.0,0.0,-56.7,0.0,,-56.7,0.0,-56.7
2026-01-05,3,33.33,0.438,-53.3,24.9,-2.14,-17.77,41.6,-94.9
2026-01-13,5,60.0,0.57,-42.8,99.5,-0.43,-8.56,56.7,-99.5
2026-02-03,4,25.0,0.376,-42.3,38.2,-1.11,-10.58,25.5,-67.8
2026-03-27,2,50.0,0.072,-42.3,0.0,,-21.15,3.3,-45.6
2026-03-10,6,66.67,0.574,-39.6,48.0,-0.82,-6.6,53.4,-93.0
2026-03-20,3,33.33,0.222,-38.8,29.9,-1.3,-12.93,11.1,-49.9
2026-01-09,1,0.0,0.0,-30.0,0.0,,-30.0,0.0,-30.0
2026-03-11,1,0.0,0.0,-24.4,0.0,,-24.4,0.0,-24.4
2026-01-28,1,0.0,0.0,-21.4,0.0,,-21.4,0.0,-21.4
2026-01-14,1,0.0,0.0,-18.9,0.0,,-18.9,0.0,-18.9
2026-01-21,1,0.0,0.0,-18.6,0.0,,-18.6,0.0,-18.6
2026-01-23,1,0.0,0.0,-10.0,0.0,,-10.0,0.0,-10.0
2026-02-21,1,0.0,0.0,-10.0,0.0,,-10.0,0.0,-10.0
2026-03-31,1,0.0,0.0,-9.6,0.0,,-9.6,0.0,-9.6
2026-02-28,1,0.0,0.0,-9.2,0.0,,-9.2,0.0,-9.2
2026-02-27,1,0.0,0.0,-5.9,0.0,,-5.9,0.0,-5.9
2026-01-07,1,0.0,0.0,-4.0,0.0,,-4.0,0.0,-4.0
2026-03-28,1,100.0,,2.9,0.0,,2.9,2.9,0.0
2026-03-19,1,100.0,,3.1,0.0,,3.1,3.1,0.0
2026-02-05,1,100.0,,5.9,0.0,,5.9,5.9,0.0
2026-02-04,3,66.67,1.229,10.3,45.0,0.23,3.43,55.3,-45.0
2026-03-18,1,100.0,,11.1,0.0,,11.1,11.1,0.0
2026-03-21,1,100.0,,12.9,0.0,,12.9,12.9,0.0
2026-02-25,2,50.0,1.638,13.2,0.0,,6.6,33.9,-20.7
2026-03-26,6,66.67,1.895,17.9,16.0,1.12,2.98,37.9,-20.0
2026-03-12,1,100.0,,28.3,0.0,,28.3,28.3,0.0
2026-02-18,1,100.0,,28.6,0.0,,28.6,28.6,0.0
2026-02-16,2,50.0,2.162,37.3,32.1,1.16,18.65,69.4,-32.1
2026-03-14,1,100.0,,37.8,0.0,,37.8,37.8,0.0
2026-01-17,1,100.0,,39.6,0.0,,39.6,39.6,0.0
2026-01-19,2,50.0,4.833,46.0,12.0,3.83,23.0,58.0,-12.0
2026-01-29,4,50.0,10.137,46.6,5.1,9.14,11.65,51.7,-5.1
2026-03-25,2,100.0,,47.2,0.0,,23.6,47.2,0.0
2026-01-16,3,66.67,3.211,57.7,0.0,,19.23,83.8,-26.1
2026-03-03,4,25.0,1.896,58.8,50.3,1.17,14.7,124.4,-65.6
2026-02-14,1,100.0,,59.7,0.0,,59.7,59.7,0.0
2026-01-08,4,100.0,,60.6,0.0,,15.15,60.6,0.0
2026-01-20,6,83.33,1.674,60.7,90.0,0.67,10.12,150.7,-90.0
2026-01-12,2,100.0,,65.3,0.0,,32.65,65.3,0.0
2026-01-15,1,100.0,,66.9,0.0,,66.9,66.9,0.0
2026-03-16,4,75.0,2.017,71.2,0.0,,17.8,141.2,-70.0
2026-03-02,4,50.0,1.62,74.4,50.0,1.49,18.6,194.4,-120.0
2026-03-17,4,75.0,5.227,93.0,22.0,4.23,23.25,115.0,-22.0
2026-03-04,2,100.0,,94.8,0.0,,47.4,94.8,0.0
2026-02-19,2,100.0,,98.0,0.0,,49.0,98.0,0.0
2026-02-26,5,80.0,21.98,102.8,4.9,20.98,20.56,107.7,-4.9
2026-03-09,3,100.0,,144.6,0.0,,48.2,144.6,0.0
2026-01-27,4,75.0,6.866,149.0,25.4,5.87,37.25,174.4,-25.4
2026-01-06,4,100.0,,153.0,0.0,,38.25,153.0,0.0
2026-02-17,4,75.0,50.091,162.0,0.0,,40.5,165.3,-3.3
2026-03-13,3,100.0,,196.8,0.0,,65.6,196.8,0.0
2026-02-10,5,60.0,9.322,310.4,37.3,8.32,62.08,347.7,-37.3
